MUNICIPALITY,PER CAPITA INCOME - 2011 ESTIMATE
"ANDOVER",40118.0000
"ANSONIA",25645.0000
"ASHFORD",36117.0000
"AVON",58920.0000
"BARKHAMSTED",36380.0000
"BEACON FALLS",32023.0000
"BERLIN",37526.0000
"BETHANY",43906.0000
"BETHEL",38250.0000
"BETHLEHEM",39255.0000
"BLOOMFIELD",41504.0000
"BOLTON",42454.0000
"BOZRAH",37677.0000
"BRANFORD",42034.0000
"BRIDGEPORT",19979.0000
"BRIDGEWATER",60960.0000
"BRISTOL",30197.0000
"BROOKFIELD",49872.0000
"BROOKLYN",26985.0000
"BURLINGTON",43545.0000
"CANAAN",38552.0000
"CANTERBURY",31603.0000
"CANTON",45891.0000
"CHAPLIN",32451.0000
"CHESHIRE",42144.0000
"CHESTER",39635.0000
"CLINTON",38219.0000
"COLCHESTER",36593.0000
"COLEBROOK",40099.0000
"COLUMBIA",38892.0000
"CORNWALL",49190.0000
"COVENTRY",35349.0000
"CROMWELL",46448.0000
"DANBURY",30838.0000
"DARIEN",94376.0000
"DEEP RIVER",38210.0000
"DERBY",27646.0000
"DURHAM",41465.0000
"EAST GRANBY",41365.0000
"EAST HADDAM",38168.0000
"EAST HAMPTON",39127.0000
"EAST HARTFORD",25356.0000
"EAST HAVEN",30188.0000
"EAST LYME",36761.0000
"EAST WINDSOR",32137.0000
"EASTFORD",39084.0000
"EASTON",63429.0000
"ELLINGTON",38554.0000
"ENFIELD",29646.0000
"ESSEX",61309.0000
"FAIRFIELD",59188.0000
"FARMINGTON",51142.0000
"FRANKLIN",31821.0000
"GLASTONBURY",50484.0000
"GOSHEN",42385.0000
"GRANBY",53437.0000
"GREENWICH",91478.0000
"GRISWOLD",30801.0000
"GROTON",31948.0000
"GROTON (City of)",
"GUILFORD",52709.0000
"HADDAM",38965.0000
"HAMDEN",33947.0000
"HAMPTON",36470.0000
"HARTFORD",16959.0000
"HARTLAND",37266.0000
"HARWINTON",42165.0000
"HEBRON",41517.0000
"KENT",45368.0000
"KILLINGLY",26023.0000
"KILLINGWORTH",48831.0000
"LEBANON",33084.0000
"LEDYARD",37268.0000
"LISBON",34958.0000
"LITCHFIELD",42175.0000
"LYME",71474.0000
"MADISON",51173.0000
"MANCHESTER",32939.0000
"MANSFIELD",22817.0000
"MARLBOROUGH",45126.0000
"MERIDEN",27647.0000
"MIDDLEBURY",46013.0000
"MIDDLEFIELD",39061.0000
"MIDDLETOWN",31850.0000
"MILFORD",39890.0000
"MONROE",45908.0000
"MONTVILLE",29777.0000
"MORRIS",36669.0000
"NAUGATUCK",28801.0000
"NEW BRITAIN",20768.0000
"NEW CANAAN",99016.0000
"NEW FAIRFIELD",40330.0000
"NEW HARTFORD",42379.0000
"NEW HAVEN",22814.0000
"NEW LONDON",22386.0000
"NEW MILFORD",41828.0000
"NEWINGTON",35055.0000
"NEWTOWN",47393.0000
"NORFOLK",43861.0000
"NORTH BRANFORD",39245.0000
"NORTH CANAAN",26905.0000
"NORTH HAVEN",38834.0000
"NORTH STONINGTON",38970.0000
"NORWALK",45122.0000
"NORWICH",26563.0000
"OLD LYME",51990.0000
"OLD SAYBROOK",43266.0000
"ORANGE",45704.0000
"OXFORD",44495.0000
"PLAINFIELD",25131.0000
"PLAINVILLE",31271.0000
"PLYMOUTH",31160.0000
"POMFRET",37214.0000
"PORTLAND",41622.0000
"PRESTON",34462.0000
"PROSPECT",41460.0000
"PUTNAM",26994.0000
"REDDING",63905.0000
"RIDGEFIELD",75717.0000
"ROCKY HILL",38180.0000
"ROXBURY",62357.0000
"SALEM",43069.0000
"SALISBURY",53390.0000
"SCOTLAND",31301.0000
"SEYMOUR",33466.0000
"SHARON",44702.0000
"SHELTON",40441.0000
"SHERMAN",51083.0000
"SIMSBURY",57031.0000
"SOMERS",33868.0000
"SOUTH WINDSOR",39248.0000
"SOUTHBURY",44331.0000
"SOUTHINGTON",36682.0000
"SPRAGUE",30055.0000
"STAFFORD",28161.0000
"STAMFORD",44595.0000
"STERLING",25630.0000
"STONINGTON",43505.0000
"STRATFORD",33716.0000
"SUFFIELD",40353.0000
"THOMASTON",32512.0000
"THOMPSON",28781.0000
"TOLLAND",42762.0000
"TORRINGTON",27449.0000
"TRUMBULL",45172.0000
"UNION",34792.0000
"VERNON",33784.0000
"VOLUNTOWN",32700.0000
"WALLINGFORD",35418.0000
"WARREN",53591.0000
"WASHINGTON",48670.0000
"WATERBURY",22004.0000
"WATERFORD",38245.0000
"WATERTOWN",36207.0000
"WEST HARTFORD",45453.0000
"WEST HAVEN",26601.0000
"WESTBROOK",40506.0000
"WESTON",88161.0000
"WESTPORT",93089.0000
"WETHERSFIELD",38912.0000
"WILLINGTON",30808.0000
"WILTON",77169.0000
"WINCHESTER",28061.0000
"WINDHAM",21342.0000
"WINDSOR",35806.0000
"WINDSOR LOCKS",31712.0000
"WOLCOTT",34349.0000
"WOODBRIDGE",72438.0000
"WOODBURY",44458.0000
"WOODSTOCK",38046.0000
