Municipality,Numbered,April 2010 Census Population,April 2000 Population,Population2000vs2010Change
"STONINGTON",138,1.8545000000000000e+04,1.7906000000000000e+04,3.5686362113258124e-02
"STRATFORD",139,5.1384000000000000e+04,4.9976000000000000e+04,2.8173523291179767e-02
"SUFFIELD",140,1.5735000000000000e+04,1.3552000000000000e+04,1.6108323494687132e-01
"THOMASTON",141,7.8870000000000000e+03,7.5030000000000000e+03,5.1179528188724510e-02
"THOMPSON",142,9.4580000000000000e+03,8.8780000000000000e+03,6.5330029285875196e-02
"TOLLAND",143,1.5052000000000000e+04,1.3086000000000000e+04,1.5023689439095217e-01
"TORRINGTON",144,3.6383000000000000e+04,3.5202000000000000e+04,3.3549230157377423e-02
"TRUMBULL",145,3.6018000000000000e+04,3.4243000000000000e+04,5.1835411616972811e-02
"UNION",146,8.5400000000000000e+02,6.9300000000000000e+02,2.3232323232323232e-01
"VERNON",147,2.9179000000000000e+04,2.8063000000000000e+04,3.9767665609521434e-02
"VOLUNTOWN",148,2.6030000000000000e+03,2.5280000000000000e+03,2.9667721518987340e-02
"WALLINGFORD",149,4.5135000000000000e+04,4.3026000000000000e+04,4.9016873518337750e-02
"WARREN",150,1.4610000000000000e+03,1.2540000000000000e+03,1.6507177033492823e-01
"WASHINGTON",151,3.5780000000000000e+03,3.6390000000000000e+03,-1.6762846935971420e-02
"WATERBURY",152,1.1036600000000000e+05,1.0727100000000000e+05,2.8852159483923893e-02
"WATERFORD",153,1.9517000000000000e+04,1.8638000000000000e+04,4.7161712630110528e-02
"WATERTOWN",154,2.2514000000000000e+04,2.1661000000000000e+04,3.9379530030931163e-02
"WEST HARTFORD",155,6.3268000000000000e+04,6.1046000000000000e+04,3.6398781246928545e-02
"WEST HAVEN",156,5.5564000000000000e+04,5.2360000000000000e+04,6.1191749427043543e-02
"WESTBROOK",157,6.9380000000000000e+03,6.2920000000000000e+03,1.0267005721551176e-01
"WESTON",158,1.0179000000000000e+04,1.0037000000000000e+04,1.4147653681378897e-02
"WESTPORT",159,2.6391000000000000e+04,2.5749000000000000e+04,2.4933007107072119e-02
"WETHERSFIELD",160,2.6668000000000000e+04,2.6271000000000000e+04,1.5111720147691370e-02
"WILLINGTON",161,6.0410000000000000e+03,5.9590000000000000e+03,1.3760698103708675e-02
"WILTON",162,1.8062000000000000e+04,1.7633000000000000e+04,2.4329382407985028e-02
"WINCHESTER",163,1.1242000000000000e+04,1.0664000000000000e+04,5.4201050262565643e-02
"WINDHAM",164,2.5268000000000000e+04,2.2857000000000000e+04,1.0548190926193289e-01
"WINDSOR",165,2.9044000000000000e+04,2.8237000000000000e+04,2.8579523320466056e-02
"WINDSOR LOCKS",166,1.2498000000000000e+04,1.2043000000000000e+04,3.7781283733289046e-02
"WOLCOTT",167,1.6680000000000000e+04,1.5215000000000000e+04,9.6286559316464015e-02
"WOODBRIDGE",168,8.9900000000000000e+03,8.9830000000000000e+03,7.7924969386619170e-04
"WOODBURY",169,9.9750000000000000e+03,9.1960000000000000e+03,8.4710743801652888e-02
"WOODSTOCK",170,7.9640000000000000e+03,7.2210000000000000e+03,1.0289433596454785e-01
"KILLINGWORTH",71,6.5250000000000000e+03,6.0180000000000000e+03,8.4247258225324029e-02
"LEBANON",72,7.3080000000000000e+03,6.9070000000000000e+03,5.8057043578977847e-02
"LEDYARD",73,1.5051000000000000e+04,1.4687000000000000e+04,2.4783822427997548e-02
"LISBON",74,4.3380000000000000e+03,4.0690000000000000e+03,6.6109609240599651e-02
"LITCHFIELD",75,8.4660000000000000e+03,8.3160000000000000e+03,1.8037518037518036e-02
"LYME",76,2.4060000000000000e+03,2.0160000000000000e+03,1.9345238095238096e-01
"MADISON",77,1.8269000000000000e+04,1.7858000000000000e+04,2.3014895285026319e-02
"MANCHESTER",78,5.8241000000000000e+04,5.4740000000000000e+04,6.3956887102667156e-02
"MANSFIELD",79,2.6543000000000000e+04,2.0816000000000000e+04,2.7512490392006150e-01
"MARLBOROUGH",80,6.4040000000000000e+03,5.7090000000000000e+03,1.2173760728674024e-01
"MERIDEN",81,6.0868000000000000e+04,5.8244000000000000e+04,4.5051850834420711e-02
"MIDDLEBURY",82,7.5750000000000000e+03,6.4510000000000000e+03,1.7423655247248487e-01
"MIDDLEFIELD",83,4.4250000000000000e+03,4.2030000000000000e+03,5.2819414703783013e-02
"MIDDLETOWN",84,4.7648000000000000e+04,4.5563000000000000e+04,4.5760814696135022e-02
"MILFORD",85,5.2759000000000000e+04,5.2305000000000000e+04,8.6798585221298154e-03
"MONROE",86,1.9479000000000000e+04,1.9247000000000000e+04,1.2053826570374604e-02
"MONTVILLE",87,1.9571000000000000e+04,1.8546000000000000e+04,5.5267982314245657e-02
"MORRIS",88,2.3880000000000000e+03,2.3010000000000000e+03,3.7809647979139507e-02
"NAUGATUCK",89,3.1862000000000000e+04,3.0989000000000000e+04,2.8171286585562619e-02
"NEW BRITAIN",90,7.3206000000000000e+04,7.1538000000000000e+04,2.3316279459867483e-02
"NEW CANAAN",91,1.9738000000000000e+04,1.9395000000000000e+04,1.7684970353183810e-02
"NEW FAIRFIELD",92,1.3881000000000000e+04,1.3953000000000000e+04,-5.1601806063212210e-03
"NEW HARTFORD",93,6.9700000000000000e+03,6.0880000000000000e+03,1.4487516425755584e-01
"NEW HAVEN",94,1.2977900000000000e+05,1.2377600000000000e+05,4.8498901240951395e-02
"NEW LONDON",95,2.7620000000000000e+04,2.6185000000000000e+04,5.4802367767805997e-02
"NEW MILFORD",96,2.8142000000000000e+04,2.7098000000000000e+04,3.8526828548232341e-02
"NEWINGTON",97,3.0562000000000000e+04,2.9306000000000000e+04,4.2858117791578519e-02
"NEWTOWN",98,2.7560000000000000e+04,2.5031000000000000e+04,1.0103471695098079e-01
"NORFOLK",99,1.7090000000000000e+03,1.6600000000000000e+03,2.9518072289156625e-02
"NORTH BRANFORD",100,1.4407000000000000e+04,1.3906000000000000e+04,3.6027613979577162e-02
"NORTH CANAAN",101,3.3150000000000000e+03,3.3500000000000000e+03,-1.0447761194029851e-02
"NORTH HAVEN",102,2.4093000000000000e+04,2.3035000000000000e+04,4.5930106359887125e-02
"NORTH STONINGTON",103,5.2970000000000000e+03,4.9910000000000000e+03,6.1310358645562009e-02
"NORWALK",104,8.5603000000000000e+04,8.2951000000000000e+04,3.1970681486660803e-02
"NORWICH",105,4.0493000000000000e+04,3.6117000000000000e+04,1.2116177977129883e-01
"OLD LYME",106,7.6030000000000000e+03,7.4060000000000000e+03,2.6600054010261949e-02
"OLD SAYBROOK",107,1.0242000000000000e+04,1.0367000000000000e+04,-1.2057490112858107e-02
"ORANGE",108,1.3956000000000000e+04,1.3233000000000000e+04,5.4636136930401272e-02
"OXFORD",109,1.2683000000000000e+04,9.8210000000000000e+03,2.9141635271357297e-01
"PLAINFIELD",110,1.5405000000000000e+04,1.4619000000000000e+04,5.3765647445105681e-02
"PLAINVILLE",111,1.7716000000000000e+04,1.7328000000000000e+04,2.2391505078485689e-02
"PLYMOUTH",112,1.2243000000000000e+04,1.1634000000000000e+04,5.2346570397111915e-02
"POMFRET",113,4.2470000000000000e+03,3.7980000000000000e+03,1.1822011585044760e-01
