MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,235180430.0000,4650100.0000,1141200.0000,415000.0000,1613100.0000,249752530.0000,1028460.0000,248724070.0000,23809692.0000,460020.0000,23349672.0000,5965878.0000,260612.0000,5705266.0000,279528100.0000,277779008.0000,6752700.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,906853000.0000,104242600.0000,19985500.0000,333600.0000,16937100.0000,1048476095.0000,7405411.0000,1041070684.0000,87207242.0000,687500.0000,86519742.0000,43278684.0000,5487036.0000,37791648.0000,1178962021.0000,1165382074.0000,124295.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,268439500.0000,14933000.0000,0.0000,0.0000,10896000.0000,309754760.0000,866805.0000,308887955.0000,28524192.0000,1063666.0000,27460526.0000,8024428.0000,535142.0000,7489286.0000,346303380.0000,343837767.0000,15486260.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2087996930.0000,248285160.0000,28613150.0000,340090.0000,35277660.0000,2406051670.0000,5174980.0000,2400876690.0000,162444580.0000,988600.0000,161455980.0000,91608040.0000,15323850.0000,76284190.0000,2660104290.0000,2638616860.0000,5538680.0000
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,277417450.0000,13308230.0000,4505030.0000,0.0000,2132050.0000,332706850.0000,1127250.0000,331579600.0000,29161557.0000,784420.0000,28377137.0000,13595215.0000,2891770.0000,10703445.0000,375463622.0000,370660182.0000,35344090.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,428641650.0000,10281800.0000,32017590.0000,0.0000,779780.0000,486449640.0000,4223288.0000,482226352.0000,40194745.0000,1080705.0000,39114040.0000,21283512.0000,2168263.0000,19115249.0000,547927897.0000,540455641.0000,14728820.0000
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1518476460.0000,280825200.0000,138631500.0000,3557500.0000,0.0000,1989990940.0000,12389083.0000,1977601857.0000,175008640.0000,9848008.0000,165160632.0000,223962440.0000,51329800.0000,172632640.0000,2388962020.0000,2315395129.0000,48500280.0000
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,517058810.0000,14646270.0000,19352070.0000,0.0000,0.0000,558350830.0000,4970230.0000,553380600.0000,43482054.0000,463814.0000,43018240.0000,24095146.0000,3406079.0000,20689067.0000,625928030.0000,617087907.0000,7293680.0000
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1668120070.0000,226445360.0000,91045660.0000,0.0000,20779840.0000,2066807280.0000,7216550.0000,2059590730.0000,128286390.0000,490000.0000,127796390.0000,149101120.0000,23655790.0000,125445330.0000,2344194790.0000,2312832450.0000,60416350.0000
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,332005200.0000,21836200.0000,3146000.0000,0.0000,0.0000,369307130.0000,2725640.0000,366581490.0000,31750682.0000,250830.0000,31499852.0000,8922488.0000,1365957.0000,7556531.0000,409980300.0000,405637873.0000,12319730.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1097891520.0000,266643050.0000,177681010.0000,0.0000,100433840.0000,1646134840.0000,5104544.0000,1641030296.0000,142261952.0000,8893439.0000,133368513.0000,261922473.0000,81489050.0000,180433423.0000,2050319265.0000,1954832232.0000,3485420.0000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,388499540.0000,22070840.0000,2997530.0000,0.0000,161530.0000,432567100.0000,2021875.0000,430545225.0000,37535640.0000,586160.0000,36949480.0000,11665090.0000,1871510.0000,9793580.0000,481767830.0000,477288285.0000,18837660.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,163464390.0000,10953810.0000,23268670.0000,0.0000,1087780.0000,209504640.0000,1046430.0000,208458210.0000,23116655.0000,257880.0000,22858775.0000,22671474.0000,10584240.0000,12087234.0000,255292769.0000,243404219.0000,10729990.0000
