Sort ID,Municipality,numbered,PER CAPITA INCOME - 2011 ESTIMATE,Population_Range,PercentOfState
1,"NEW CANAAN",9.1000000000000000e+01,99016.0000,"10,000 to 30,000",2.6315146038748769e+00
2,"DARIEN",3.5000000000000000e+01,94376.0000,"10,000 to 30,000",2.5081988997262603e+00
3,"WESTPORT",1.5900000000000000e+02,93089.0000,"10,000 to 30,000",2.4739947378212452e+00
4,"GREENWICH",5.7000000000000000e+01,91478.0000,"30,000 to 70,000",2.4311797379541287e+00
5,"WESTON",1.5800000000000000e+02,88161.0000,"0 to 10,000",2.3430249554840938e+00
6,"WILTON",1.6200000000000000e+02,77169.0000,"10,000 to 30,000",2.0508943046216812e+00
7,"RIDGEFIELD",1.1900000000000000e+02,75717.0000,"10,000 to 30,000",2.0123049937544848e+00
8,"WOODBRIDGE",1.6800000000000000e+02,72438.0000,"0 to 10,000",1.9251601243787706e+00
9,"LYME",7.6000000000000000e+01,71474.0000,"0 to 10,000",1.8995402237754804e+00
10,"REDDING",1.1800000000000000e+02,63905.0000,"0 to 10,000",1.6983814813830493e+00
11,"EASTON",4.7000000000000000e+01,63429.0000,"0 to 10,000",1.6857309910436655e+00
12,"ROXBURY",1.2100000000000000e+02,62357.0000,"0 to 10,000",1.6572408111196748e+00
13,"ESSEX",5.0000000000000000e+01,61309.0000,"0 to 10,000",1.6293884710447286e+00
14,"BRIDGEWATER",1.6000000000000000e+01,60960.0000,"0 to 10,000",1.6201132165732055e+00
15,"FAIRFIELD",5.1000000000000000e+01,59188.0000,"30,000 to 70,000",1.5730193743854148e+00
16,"AVON",4.0000000000000000e+00,58920.0000,"10,000 to 30,000",1.5658968294044171e+00
17,"SIMSBURY",1.2900000000000000e+02,57031.0000,"10,000 to 30,000",1.5156935179525342e+00
18,"WARREN",1.5000000000000000e+02,53591.0000,"0 to 10,000",1.4242698062561459e+00
19,"GRANBY",5.6000000000000000e+01,53437.0000,"0 to 10,000",1.4201770005581098e+00
20,"SALISBURY",1.2300000000000000e+02,53390.0000,"0 to 10,000",1.4189278975203976e+00
21,"GUILFORD",6.1000000000000000e+01,52709.0000,"10,000 to 30,000",1.4008291918037579e+00
22,"OLD LYME",1.0600000000000000e+02,51990.0000,"0 to 10,000",1.3817205729927977e+00
23,"MADISON",7.7000000000000000e+01,51173.0000,"10,000 to 30,000",1.3600074414649055e+00
24,"FARMINGTON",5.2000000000000000e+01,51142.0000,"10,000 to 30,000",1.3591835649932229e+00
25,"SHERMAN",1.2800000000000000e+02,51083.0000,"0 to 10,000",1.3576155420309883e+00
26,"GLASTONBURY",5.4000000000000000e+01,50484.0000,"10,000 to 30,000",1.3416961224652511e+00
27,"BROOKFIELD",1.8000000000000000e+01,49872.0000,"10,000 to 30,000",1.3254312063146145e+00
28,"CORNWALL",3.1000000000000000e+01,49190.0000,"0 to 10,000",1.3073059239375979e+00
29,"KILLINGWORTH",7.1000000000000000e+01,48831.0000,"0 to 10,000",1.2977649028623064e+00
