MUNICIPALITY,Numbered,2010 LABOR FORCE,2010 UNEMPLOYED,2010 UNEMP RATE
"ANDOVER",1,2.0100000000000000e+03,1.4200000000000000e+02,7.0646766169154232e-02
"ANSONIA",2,1.0181000000000000e+04,1.1220000000000000e+03,1.1020528435320695e-01
"ASHFORD",3,2.6870000000000000e+03,2.1000000000000000e+02,7.8154075176777069e-02
"AVON",4,9.2850000000000000e+03,5.5800000000000000e+02,6.0096930533117932e-02
"BARKHAMSTED",5,2.2860000000000000e+03,2.0900000000000000e+02,9.1426071741032372e-02
"BEACON FALLS",6,3.3890000000000000e+03,3.2300000000000000e+02,9.5308350545883741e-02
"BERLIN",7,1.1683000000000000e+04,8.9800000000000000e+02,7.6863819224514254e-02
"BETHANY",8,3.1830000000000000e+03,2.2000000000000000e+02,6.9117185045554502e-02
"BETHEL",9,1.0808000000000000e+04,8.3400000000000000e+02,7.7165062916358260e-02
"BETHLEHEM",10,2.0170000000000000e+03,1.5600000000000000e+02,7.7342588001983140e-02
"BLOOMFIELD",11,1.0388000000000000e+04,1.0790000000000000e+03,1.0386984982672315e-01
"BOLTON",12,3.0900000000000000e+03,2.1600000000000000e+02,6.9902912621359226e-02
"BOZRAH",13,1.5120000000000000e+03,1.2400000000000000e+02,8.2010582010582006e-02
"BRANFORD",14,1.7564000000000000e+04,1.3420000000000000e+03,7.6406285584149400e-02
"BRIDGEPORT",15,6.4957000000000000e+04,8.9360000000000000e+03,1.3756792955339686e-01
"BRIDGEWATER",16,1.0290000000000000e+03,6.6000000000000000e+01,6.4139941690962099e-02
"BRISTOL",17,3.5001000000000000e+04,3.4440000000000000e+03,9.8397188651752801e-02
"BROOKFIELD",18,9.2140000000000000e+03,6.7600000000000000e+02,7.3366616019101369e-02
"BROOKLYN",19,3.9900000000000000e+03,4.0600000000000000e+02,1.0175438596491228e-01
"BURLINGTON",20,5.4480000000000000e+03,3.8600000000000000e+02,7.0851688693098380e-02
"CANAAN",21,6.0700000000000000e+02,4.9000000000000000e+01,8.0724876441515644e-02
"CANTERBURY",22,3.2940000000000000e+03,2.9300000000000000e+02,8.8949605343047966e-02
"CANTON",23,5.8940000000000000e+03,4.3600000000000000e+02,7.3973532405836442e-02
"CHAPLIN",24,1.4980000000000000e+03,1.1200000000000000e+02,7.4766355140186910e-02
"CHESHIRE",25,1.4874000000000000e+04,1.0510000000000000e+03,7.0660212451257226e-02
"CHESTER",26,2.2940000000000000e+03,1.4700000000000000e+02,6.4080209241499569e-02
"CLINTON",27,8.0810000000000000e+03,6.1500000000000000e+02,7.6104442519490167e-02
"COLCHESTER",28,9.0750000000000000e+03,7.2500000000000000e+02,7.9889807162534437e-02
"COLEBROOK",29,8.1000000000000000e+02,3.7000000000000000e+01,4.5679012345679011e-02
"COLUMBIA",30,3.1270000000000000e+03,2.4200000000000000e+02,7.7390470099136549e-02
"CORNWALL",31,8.2800000000000000e+02,5.6000000000000000e+01,6.7632850241545889e-02
"COVENTRY",32,7.2100000000000000e+03,5.8400000000000000e+02,8.0998613037447986e-02
"CROMWELL",33,8.0140000000000000e+03,6.4000000000000000e+02,7.9860244571999001e-02
"DANBURY",34,4.4865000000000000e+04,3.5400000000000000e+03,7.8903376797057834e-02
"DARIEN",35,9.2000000000000000e+03,5.6500000000000000e+02,6.1413043478260869e-02
"DEEP RIVER",36,2.6230000000000000e+03,2.0400000000000000e+02,7.7773541746092259e-02
"DERBY",37,7.0310000000000000e+03,7.5500000000000000e+02,1.0738159579007253e-01
"DURHAM",38,4.3670000000000000e+03,2.7500000000000000e+02,6.2972292191435769e-02
"EAST GRANBY",39,3.0360000000000000e+03,2.0700000000000000e+02,6.8181818181818177e-02
"EAST HADDAM",40,5.2820000000000000e+03,3.8100000000000000e+02,7.2131768269594845e-02
"EAST HAMPTON",41,7.3190000000000000e+03,6.6000000000000000e+02,9.0176253586555538e-02
