MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2011 ESTIMATE
"ANDOVER",91406.0000
"ANSONIA",55250.0000
"ASHFORD",71346.0000
"AVON",107733.0000
"BARKHAMSTED",83056.0000
"BEACON FALLS",80182.0000
"BERLIN",87091.0000
"BETHANY",106579.0000
"BETHEL",87475.0000
"BETHLEHEM",86891.0000
"BLOOMFIELD",72065.0000
"BOLTON",93348.0000
"BOZRAH",81122.0000
"BRANFORD",71314.0000
"BRIDGEPORT",40947.0000
"BRIDGEWATER",85481.0000
"BRISTOL",60032.0000
"BROOKFIELD",108576.0000
"BROOKLYN",66023.0000
"BURLINGTON",114792.0000
"CANAAN",56161.0000
"CANTERBURY",73000.0000
"CANTON",82619.0000
"CHAPLIN",67981.0000
"CHESHIRE",109535.0000
"CHESTER",80192.0000
"CLINTON",75122.0000
"COLCHESTER",95034.0000
"COLEBROOK",71125.0000
"COLUMBIA",91715.0000
"CORNWALL",75000.0000
"COVENTRY",90502.0000
"CROMWELL",80426.0000
"DANBURY",65656.0000
"DARIEN",193896.0000
"DEEP RIVER",76319.0000
"DERBY",55478.0000
"DURHAM",106000.0000
"EAST GRANBY",73188.0000
"EAST HADDAM",87074.0000
"EAST HAMPTON",91770.0000
"EAST HARTFORD",49611.0000
"EAST HAVEN",63136.0000
"EAST LYME",80293.0000
"EAST WINDSOR",66699.0000
"EASTFORD",80147.0000
"EASTON",141372.0000
"ELLINGTON",84758.0000
"ENFIELD",67809.0000
"ESSEX",84095.0000
"FAIRFIELD",118476.0000
"FARMINGTON",86675.0000
"FRANKLIN",78342.0000
"GLASTONBURY",104967.0000
"GOSHEN",83125.0000
"GRANBY",99190.0000
"GREENWICH",127201.0000
"GRISWOLD",66303.0000
"GROTON",59887.0000
"GROTON (City of)",
"GUILFORD",95085.0000
"HADDAM",87883.0000
"HAMDEN",67955.0000
"HAMPTON",81307.0000
"HARTFORD",29107.0000
"HARTLAND",90278.0000
"HARWINTON",85920.0000
"HEBRON",107807.0000
"KENT",71736.0000
"KILLINGLY",54446.0000
"KILLINGWORTH",105764.0000
"LEBANON",80601.0000
"LEDYARD",87344.0000
"LISBON",74190.0000
"LITCHFIELD",82155.0000
"LYME",91522.0000
"MADISON",106609.0000
"MANCHESTER",62436.0000
"MANSFIELD",70208.0000
"MARLBOROUGH",112665.0000
"MERIDEN",53722.0000
"MIDDLEBURY",99679.0000
"MIDDLEFIELD",81638.0000
"MIDDLETOWN",59966.0000
"MILFORD",79828.0000
"MONROE",108478.0000
"MONTVILLE",67734.0000
"MORRIS",87974.0000
"NAUGATUCK",63414.0000
"NEW BRITAIN",39838.0000
"NEW CANAAN",191750.0000
"NEW FAIRFIELD",102159.0000
"NEW HARTFORD",84297.0000
"NEW HAVEN",39094.0000
"NEW LONDON",45509.0000
"NEW MILFORD",84818.0000
"NEWINGTON",71817.0000
"NEWTOWN",114695.0000
"NORFOLK",82250.0000
"NORTH BRANFORD",78720.0000
"NORTH CANAAN",45139.0000
"NORTH HAVEN",81789.0000
"NORTH STONINGTON",81905.0000
"NORWALK",76384.0000
"NORWICH",51225.0000
"OLD LYME",93682.0000
"OLD SAYBROOK",80347.0000
"ORANGE",104335.0000
"OXFORD",111122.0000
"PLAINFIELD",61058.0000
"PLAINVILLE",61489.0000
"PLYMOUTH",74317.0000
"POMFRET",77422.0000
"PORTLAND",93438.0000
"PRESTON",78250.0000
"PROSPECT",93631.0000
"PUTNAM",51171.0000
"REDDING",113697.0000
"RIDGEFIELD",145000.0000
"ROCKY HILL",75582.0000
"ROXBURY",98833.0000
"SALEM",97424.0000
"SALISBURY",70250.0000
"SCOTLAND",77143.0000
"SEYMOUR",75482.0000
"SHARON",73661.0000
"SHELTON",83128.0000
"SHERMAN",120458.0000
"SIMSBURY",116554.0000
"SOMERS",100573.0000
"SOUTH WINDSOR",92513.0000
"SOUTHBURY",72177.0000
"SOUTHINGTON",77112.0000
"SPRAGUE",63155.0000
"STAFFORD",65570.0000
"STAMFORD",78201.0000
"STERLING",75000.0000
"STONINGTON",75972.0000
"STRATFORD",67761.0000
"SUFFIELD",89802.0000
"THOMASTON",64982.0000
"THOMPSON",61517.0000
"TOLLAND",102370.0000
"TORRINGTON",48742.0000
"TRUMBULL",106058.0000
"UNION",84028.0000
"VERNON",62115.0000
"VOLUNTOWN",76208.0000
"WALLINGFORD",72540.0000
"WARREN",97794.0000
"WASHINGTON",70068.0000
"WATERBURY",41499.0000
"WATERFORD",72036.0000
"WATERTOWN",81203.0000
"WEST HARTFORD",80061.0000
"WEST HAVEN",53057.0000
"WESTBROOK",60422.0000
"WESTON",205563.0000
"WESTPORT",155792.0000
"WETHERSFIELD",72041.0000
"WILLINGTON",67736.0000
"WILTON",159720.0000
"WINCHESTER",57050.0000
"WINDHAM",42178.0000
"WINDSOR",79927.0000
"WINDSOR LOCKS",62212.0000
"WOLCOTT",80529.0000
"WOODBRIDGE",129583.0000
"WOODBURY",86802.0000
"WOODSTOCK",81320.0000
