MUNICIPALITY,TANF RECIPIENTS FY 2004-05
"ANDOVER",1.0000000000000000e+01
"ANSONIA",4.8100000000000000e+02
"ASHFORD",1.6000000000000000e+01
"AVON",2.2000000000000000e+01
"BARKHAMSTED",8.0000000000000000e+00
"BEACON FALLS",3.0000000000000000e+01
"BERLIN",4.4000000000000000e+01
"BETHANY",5.0000000000000000e+00
"BETHEL",1.2000000000000000e+01
"BETHLEHEM",3.0000000000000000e+00
"BLOOMFIELD",2.2500000000000000e+02
"BOLTON",1.2000000000000000e+01
"BOZRAH",1.6000000000000000e+01
"BRANFORD",1.3000000000000000e+02
"BRIDGEPORT",4.7870000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",1.0190000000000000e+03
"BROOKFIELD",1.2000000000000000e+01
"BROOKLYN",2.7000000000000000e+01
"BURLINGTON",2.3000000000000000e+01
"CANAAN",4.0000000000000000e+00
"CANTERBURY",1.8000000000000000e+01
"CANTON",1.5000000000000000e+01
"CHAPLIN",1.6000000000000000e+01
"CHESHIRE",2.6000000000000000e+01
"CHESTER",1.2000000000000000e+01
"CLINTON",3.9000000000000000e+01
"COLCHESTER",5.9000000000000000e+01
"COLEBROOK",1.0000000000000000e+00
"COLUMBIA",1.0000000000000000e+01
"CORNWALL",3.0000000000000000e+00
"COVENTRY",2.1000000000000000e+01
"CROMWELL",3.3000000000000000e+01
"DANBURY",4.7100000000000000e+02
"DARIEN",3.0000000000000000e+00
"DEEP RIVER",1.6000000000000000e+01
"DERBY",1.9600000000000000e+02
"DURHAM",1.0000000000000000e+00
"EAST GRANBY",1.5000000000000000e+01
"EAST HADDAM",2.2000000000000000e+01
"EAST HAMPTON",3.4000000000000000e+01
"EAST HARTFORD",1.0870000000000000e+03
"EAST HAVEN",3.0200000000000000e+02
"EAST LYME",3.9000000000000000e+01
"EAST WINDSOR",7.8000000000000000e+01
"EASTFORD",2.0000000000000000e+00
"EASTON",3.0000000000000000e+00
"ELLINGTON",2.7000000000000000e+01
"ENFIELD",3.7800000000000000e+02
"ESSEX",7.0000000000000000e+00
"FAIRFIELD",1.0700000000000000e+02
"FARMINGTON",4.9000000000000000e+01
"FRANKLIN",7.0000000000000000e+00
"GLASTONBURY",5.5000000000000000e+01
"GOSHEN",7.0000000000000000e+00
"GRANBY",9.0000000000000000e+00
"GREENWICH",9.2000000000000000e+01
"GRISWOLD",1.1700000000000000e+02
"GROTON",4.4300000000000000e+02
"GROTON (City of)",
"GUILFORD",3.6000000000000000e+01
"HADDAM",1.7000000000000000e+01
"HAMDEN",5.2300000000000000e+02
"HAMPTON",5.0000000000000000e+00
"HARTFORD",8.5440000000000000e+03
"HARTLAND",3.0000000000000000e+00
"HARWINTON",9.0000000000000000e+00
"HEBRON",7.0000000000000000e+00
"KENT",7.0000000000000000e+00
