MUNICIPALITY,TANF RECIPIENTS FY 2007-08
"ANDOVER",3.0000000000000000e+00
"ANSONIA",3.5200000000000000e+02
"ASHFORD",2.5000000000000000e+01
"AVON",1.1000000000000000e+01
"BARKHAMSTED",8.0000000000000000e+00
"BEACON FALLS",1.3000000000000000e+01
"BERLIN",2.9000000000000000e+01
"BETHANY",5.0000000000000000e+00
"BETHEL",4.1000000000000000e+01
"BETHLEHEM",3.0000000000000000e+00
"BLOOMFIELD",1.6400000000000000e+02
"BOLTON",1.2000000000000000e+01
"BOZRAH",5.0000000000000000e+00
"BRANFORD",7.8000000000000000e+01
"BRIDGEPORT",3.5920000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",7.8400000000000000e+02
"BROOKFIELD",1.2000000000000000e+01
"BROOKLYN",5.2000000000000000e+01
"BURLINGTON",5.0000000000000000e+00
"CANAAN",0.0000000000000000e+00
"CANTERBURY",3.0000000000000000e+01
"CANTON",9.0000000000000000e+00
"CHAPLIN",1.5000000000000000e+01
"CHESHIRE",3.3000000000000000e+01
"CHESTER",1.0000000000000000e+01
"CLINTON",3.6000000000000000e+01
"COLCHESTER",3.4000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",6.0000000000000000e+00
"CORNWALL",1.0000000000000000e+00
"COVENTRY",4.2000000000000000e+01
"CROMWELL",3.3000000000000000e+01
"DANBURY",3.7900000000000000e+02
"DARIEN",2.0000000000000000e+00
"DEEP RIVER",2.0000000000000000e+00
"DERBY",1.5500000000000000e+02
"DURHAM",0.0000000000000000e+00
"EAST GRANBY",1.2000000000000000e+01
"EAST HADDAM",1.5000000000000000e+01
"EAST HAMPTON",2.8000000000000000e+01
"EAST HARTFORD",1.1320000000000000e+03
"EAST HAVEN",2.2700000000000000e+02
"EAST LYME",4.1000000000000000e+01
"EAST WINDSOR",6.1000000000000000e+01
"EASTFORD",3.0000000000000000e+00
"EASTON",3.0000000000000000e+00
"ELLINGTON",3.0000000000000000e+01
"ENFIELD",3.3900000000000000e+02
"ESSEX",8.0000000000000000e+00
"FAIRFIELD",6.2000000000000000e+01
"FARMINGTON",3.9000000000000000e+01
"FRANKLIN",1.0000000000000000e+00
"GLASTONBURY",3.8000000000000000e+01
"GOSHEN",1.0000000000000000e+00
"GRANBY",3.0000000000000000e+00
"GREENWICH",5.0000000000000000e+01
"GRISWOLD",9.3000000000000000e+01
