MUNICIPALITY,Numbered,Nov11 Labor Force,Nov11 Unemployed
"ANDOVER",1.0000000000000000e+00,2.0600000000000000e+03,1.0400000000000000e+02
"ANSONIA",2.0000000000000000e+00,1.0383000000000000e+04,9.1700000000000000e+02
"ASHFORD",3.0000000000000000e+00,2.6250000000000000e+03,1.9000000000000000e+02
"AVON",4.0000000000000000e+00,9.7350000000000000e+03,4.7400000000000000e+02
"BARKHAMSTED",5.0000000000000000e+00,2.3340000000000000e+03,1.5900000000000000e+02
"BEACON FALLS",6.0000000000000000e+00,3.4080000000000000e+03,2.3500000000000000e+02
"BERLIN",7.0000000000000000e+00,1.1372000000000000e+04,7.1800000000000000e+02
"BETHANY",8.0000000000000000e+00,3.1530000000000000e+03,1.6700000000000000e+02
"BETHEL",9.0000000000000000e+00,1.1106000000000000e+04,6.6200000000000000e+02
"BETHLEHEM",1.0000000000000000e+01,2.0560000000000000e+03,1.2200000000000000e+02
"BLOOMFIELD",1.1000000000000000e+01,1.0372000000000000e+04,9.9400000000000000e+02
"BOLTON",1.2000000000000000e+01,2.9830000000000000e+03,1.5700000000000000e+02
"BOZRAH",1.3000000000000000e+01,1.5590000000000000e+03,1.3000000000000000e+02
"BRANFORD",1.4000000000000000e+01,1.6982000000000000e+04,1.1360000000000000e+03
"BRIDGEPORT",1.5000000000000000e+01,6.6964000000000000e+04,7.8240000000000000e+03
"BRIDGEWATER",1.6000000000000000e+01,9.7000000000000000e+02,5.0000000000000000e+01
"BRISTOL",1.7000000000000000e+01,3.4601000000000000e+04,2.7720000000000000e+03
"BROOKFIELD",1.8000000000000000e+01,9.3730000000000000e+03,5.7800000000000000e+02
"BROOKLYN",1.9000000000000000e+01,4.1210000000000000e+03,3.6700000000000000e+02
"BURLINGTON",2.0000000000000000e+01,5.5360000000000000e+03,3.1500000000000000e+02
"CANAAN",2.1000000000000000e+01,6.8800000000000000e+02,4.2000000000000000e+01
"CANTERBURY",2.2000000000000000e+01,3.1590000000000000e+03,2.5800000000000000e+02
"CANTON",2.3000000000000000e+01,5.9800000000000000e+03,3.3300000000000000e+02
"CHAPLIN",2.4000000000000000e+01,1.3590000000000000e+03,8.8000000000000000e+01
"CHESHIRE",2.5000000000000000e+01,1.4989000000000000e+04,9.5300000000000000e+02
"CHESTER",2.6000000000000000e+01,2.3710000000000000e+03,1.0800000000000000e+02
"CLINTON",2.7000000000000000e+01,7.8490000000000000e+03,4.9300000000000000e+02
"COLCHESTER",2.8000000000000000e+01,9.3230000000000000e+03,6.1700000000000000e+02
"COLEBROOK",2.9000000000000000e+01,8.0200000000000000e+02,3.1000000000000000e+01
"COLUMBIA",3.0000000000000000e+01,3.1840000000000000e+03,1.8400000000000000e+02
"CORNWALL",3.1000000000000000e+01,7.9400000000000000e+02,3.6000000000000000e+01
"COVENTRY",3.2000000000000000e+01,7.2970000000000000e+03,4.8400000000000000e+02
"CROMWELL",3.3000000000000000e+01,8.2440000000000000e+03,5.5500000000000000e+02
"DANBURY",3.4000000000000000e+01,4.6644000000000000e+04,2.8670000000000000e+03
"DARIEN",3.5000000000000000e+01,9.3710000000000000e+03,5.0400000000000000e+02
"DEEP RIVER",3.6000000000000000e+01,2.5830000000000000e+03,1.6500000000000000e+02
"DERBY",3.7000000000000000e+01,7.1790000000000000e+03,6.0900000000000000e+02
"DURHAM",3.8000000000000000e+01,4.3500000000000000e+03,2.5700000000000000e+02
"EAST GRANBY",3.9000000000000000e+01,3.0310000000000000e+03,1.8600000000000000e+02
"EAST HADDAM",4.0000000000000000e+01,5.4060000000000000e+03,3.1500000000000000e+02
"EAST HAMPTON",4.1000000000000000e+01,7.4170000000000000e+03,5.3800000000000000e+02
"EAST HARTFORD",4.2000000000000000e+01,2.7476000000000000e+04,2.7710000000000000e+03
"EAST HAVEN",4.3000000000000000e+01,1.6802000000000000e+04,1.4170000000000000e+03
"EAST LYME",4.4000000000000000e+01,9.7610000000000000e+03,7.1200000000000000e+02
"EAST WINDSOR",4.5000000000000000e+01,6.7700000000000000e+03,5.3400000000000000e+02
"EASTFORD",4.6000000000000000e+01,1.0010000000000000e+03,6.0000000000000000e+01
"EASTON",4.7000000000000000e+01,3.7950000000000000e+03,2.2200000000000000e+02
"ELLINGTON",4.8000000000000000e+01,9.6380000000000000e+03,5.8600000000000000e+02
"ENFIELD",4.9000000000000000e+01,2.4316000000000000e+04,1.8260000000000000e+03
"ESSEX",5.0000000000000000e+01,3.7790000000000000e+03,2.1600000000000000e+02
"FAIRFIELD",5.1000000000000000e+01,2.9404000000000000e+04,1.9400000000000000e+03
"FARMINGTON",5.2000000000000000e+01,1.3251000000000000e+04,7.2200000000000000e+02
