Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7533283.0000,7602980.0000,7571850.0000,7657412.0000
"ANSONIA",2.0000000000000000e+00,"NH",28877719.0000,29887189.0000,29594471.0000,32416514.0000
"ASHFORD",3.0000000000000000e+00,"W",8520060.0000,8706950.0000,8605264.0000,9180724.0000
"AVON",4.0000000000000000e+00,"H",64016578.0000,64184141.0000,64111785.0000,64308416.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",8096916.0000,8276044.0000,8221187.0000,8692666.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",13079066.0000,13512456.0000,13378183.0000,14454982.0000
"BERLIN",7.0000000000000000e+00,"H",53367466.0000,54154344.0000,53970191.0000,55788506.0000
"BETHANY",8.0000000000000000e+00,"NH",16778437.0000,16965326.0000,16911458.0000,17178412.0000
"BETHEL",9.0000000000000000e+00,"F",49883970.0000,50571935.0000,50429699.0000,51453899.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8282104.0000,8517336.0000,8414777.0000,8968199.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",62292477.0000,63290257.0000,63507533.0000,65628916.0000
"BOLTON",1.2000000000000000e+01,"T",13461241.0000,13624279.0000,13610005.0000,13934659.0000
"BOZRAH",1.3000000000000000e+01,"NL",4923215.0000,5065586.0000,5012777.0000,5375255.0000
"BRANFORD",1.4000000000000000e+01,"NH",79502818.0000,80799955.0000,80731140.0000,83723727.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",267033575.0000,273823500.0000,269003160.0000,307251745.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6392694.0000,6422588.0000,6462436.0000,6529416.0000
"BRISTOL",1.7000000000000000e+01,"H",115416000.0000,116732000.0000,116991000.0000,119459000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",49538893.0000,50060590.0000,49888935.0000,50752967.0000
"BROOKLYN",1.9000000000000000e+01,"W",11235499.0000,11556584.0000,11514452.0000,12257230.0000
"BURLINGTON",2.0000000000000000e+01,"H",23914038.0000,24217093.0000,24206774.0000,24884611.0000
"CANAAN",2.1000000000000000e+01,"L",3547387.0000,3616485.0000,3593607.0000,3692350.0000
"CANTERBURY",2.2000000000000000e+01,"W",7869001.0000,8071906.0000,8035245.0000,8415613.0000
"CANTON",2.3000000000000000e+01,"H",28696728.0000,29053116.0000,28847232.0000,29830778.0000
"CHAPLIN",2.4000000000000000e+01,"W",5098018.0000,5185179.0000,5170596.0000,5280695.0000
"CHESHIRE",2.5000000000000000e+01,"NH",74262252.0000,74558659.0000,74344261.0000,74685312.0000
"CHESTER",2.6000000000000000e+01,"M",10898819.0000,11032580.0000,11037303.0000,11299883.0000
"CLINTON",2.7000000000000000e+01,"M",36806256.0000,37002482.0000,37014269.0000,37534328.0000
"COLCHESTER",2.8000000000000000e+01,"NL",31793600.0000,32238714.0000,32308258.0000,33508175.0000
"COLEBROOK",2.9000000000000000e+01,"L",4581293.0000,4675741.0000,4620662.0000,4811605.0000
