Municipality,Mil Rates FY 2009-10,Comments
"ANDOVER",2.7600000000000001e+01,
"ANSONIA",2.5250000000000000e+01,
"ASHFORD",2.4650000000000002e+01,
"AVON",2.3410000000000000e+01,
"BARKHAMSTED",2.2030000000000001e+01,
"BEACON FALLS",2.4230000000000000e+01,
"BERLIN",2.2690000000000001e+01,
"BETHANY",2.7000000000000000e+01,
"BETHEL",2.1640000000000001e+01,
"BETHLEHEM",2.1410000000000000e+01,
"BLOOMFIELD",3.5530000000000001e+01,
"BOLTON",2.8180000000000000e+01,
"BOZRAH",2.0250000000000000e+01,
"BRANFORD",2.3580000000000002e+01,
"BRIDGEPORT",3.8740000000000002e+01,
"BRIDGEWATER",1.5200000000000001e+01,
"BRISTOL",2.5990000000000002e+01,
"BROOKFIELD",1.8859999999999999e+01,
"BROOKLYN",2.2289999999999999e+01,
"BURLINGTON",2.5820000000000000e+01,
"CANAAN",1.9000000000000000e+01,
"CANTERBURY",2.1949999999999999e+01,
"CANTON",2.5640000000000001e+01,
"CHAPLIN",2.9850000000000001e+01,
"CHESHIRE",2.6050000000000001e+01,
"CHESTER",2.1109999999999999e+01,
"CLINTON",2.1879999999999999e+01,
"COLCHESTER",2.3650000000000002e+01,
"COLEBROOK",2.4100000000000001e+01,
"COLUMBIA",2.3010000000000002e+01,
"CORNWALL",1.2050000000000001e+01,
"COVENTRY",2.8539999999999999e+01,
"CROMWELL",2.6160000000000000e+01,
"DANBURY",2.1660000000000000e+01,
"DARIEN",1.1370000000000001e+01,
"DEEP RIVER",2.1730000000000000e+01,
"DERBY",2.6400000000000002e+01,
"DURHAM",2.6199999999999999e+01,
"EAST GRANBY",2.6300000000000001e+01,
"EAST HADDAM",2.0550000000000001e+01,
"EAST HAMPTON",2.4010000000000002e+01,
"EAST HARTFORD",3.1670000000000002e+01,
"EAST HAVEN",2.2850000000000001e+01,
"EAST LYME",1.9186000000000000e+01,
"EAST WINDSOR",2.1748799999999999e+01,
"EASTFORD",2.0270000000000000e+01,
"EASTON",2.1699999999999999e+01,
"ELLINGTON",2.5000000000000000e+01,
"ENFIELD",2.3879999999999999e+01,
"ESSEX",1.6949999999999999e+01,
"FAIRFIELD",1.8900000000000002e+01,
"FARMINGTON",1.9760000000000002e+01,
"FRANKLIN",1.9289999999999999e+01,
"GLASTONBURY",2.9050000000000001e+01,
"GOSHEN",1.4400000000000000e+01,
"GRANBY",2.9460000000000001e+01,
"GREENWICH",8.3160000000000007e+00,
"GRISWOLD",1.6750000000000000e+01,
"GROTON",1.7949999999999999e+01,
"GROTON (City of)",,
"GUILFORD",2.0039999999999999e+01,
"HADDAM",2.6400000000000002e+01,
"HAMDEN",2.9410000000000000e+01,
"HAMPTON",2.4850000000000001e+01,
"HARTFORD",7.2790000000000006e+01,
"HARTLAND",2.3250000000000000e+01,
"HARWINTON",2.3000000000000000e+01,
"HEBRON",2.8170000000000002e+01,
"KENT",1.4109999999999999e+01,
"KILLINGLY",1.8150000000000002e+01,
"KILLINGWORTH",2.1000000000000000e+01,
"LEBANON",2.1300000000000001e+01,
"LEDYARD",2.5650000000000002e+01,
"LISBON",1.6899999999999999e+01,
"LITCHFIELD",2.1199999999999999e+01,
"LYME",1.2750000000000000e+01,
"MADISON",1.8620000000000001e+01,
"MANCHESTER",3.0320000000000000e+01,
"MANSFIELD",2.5710000000000001e+01,
"MARLBOROUGH",2.6480000000000000e+01,
"MERIDEN",2.8850000000000001e+01,
"MIDDLEBURY",2.3629999999999999e+01,
"MIDDLEFIELD",2.5690000000000001e+01,
"MIDDLETOWN",2.5500000000000000e+01,
"MILFORD",2.7500000000000000e+01,
"MONROE",2.9500000000000000e+01,
"MONTVILLE",2.1430000000000000e+01,
"MORRIS",2.0600000000000001e+01,
"NAUGATUCK",3.1520000000000000e+01,
"NEW BRITAIN",3.4980000000000004e+01,
"NEW CANAAN",1.3351000000000001e+01,
"NEW FAIRFIELD",2.0609999999999999e+01,
"NEW HARTFORD",2.3900000000000002e+01,
"NEW HAVEN",4.2210000000000001e+01,
"NEW LONDON",2.5490000000000002e+01,
"NEW MILFORD",2.2520000000000000e+01,
"NEWINGTON",2.8400000000000002e+01,
"NEWTOWN",2.3430000000000000e+01,
"NORFOLK",1.9420000000000002e+01,
"NORTH BRANFORD",2.5949999999999999e+01,
"NORTH CANAAN",2.1000000000000000e+01,
"NORTH HAVEN",2.3480000000000000e+01,
"NORTH STONINGTON",1.9940000000000001e+01,
"NORWALK",1.9779000000000000e+01,
"NORWICH",2.3840000000000000e+01,
"OLD LYME",1.9500000000000000e+01,
"OLD SAYBROOK",1.3440000000000000e+01,
"ORANGE",2.8300000000000001e+01,
"OXFORD",2.0440000000000001e+01,
"PLAINFIELD",1.9940000000000001e+01,
"PLAINVILLE",2.6330000000000002e+01,
"PLYMOUTH",3.0100000000000001e+01,
"POMFRET",2.0590000000000000e+01,
"PORTLAND",2.7240000000000002e+01,
"PRESTON",1.8960000000000001e+01,
"PROSPECT",2.5000000000000000e+01,
"PUTNAM",1.3940000000000000e+01,
"REDDING",2.1800000000000001e+01,
"RIDGEFIELD",2.0000000000000000e+01,
"ROCKY HILL",2.2900000000000002e+01,
"ROXBURY",1.0900000000000000e+01,
"SALEM",2.3300000000000001e+01,
"SALISBURY",9.3000000000000007e+00,
"SCOTLAND",2.6000000000000000e+01,
"SEYMOUR",2.5800000000000001e+01,
"SHARON",1.0350000000000000e+01,
"SHELTON",1.8609999999999999e+01,
"SHERMAN",1.5200000000000001e+01,
"SIMSBURY",3.0100000000000001e+01,
"SOMERS",2.2109999999999999e+01,
"SOUTH WINDSOR",2.7840000000000000e+01,
"SOUTHBURY",2.0900000000000002e+01,
"SOUTHINGTON",2.3270000000000000e+01,
"SPRAGUE",2.5750000000000000e+01,
"STAFFORD",2.7210000000000001e+01,
"STAMFORD",1.6820000000000000e+01,
"STERLING",2.0000000000000000e+01,
"STONINGTON",1.5100000000000000e+01,
"STRATFORD",3.0359999999999999e+01,
"SUFFIELD",2.3150000000000002e+01,
"THOMASTON",2.6280000000000001e+01,
"THOMPSON",1.8210000000000001e+01,
"TOLLAND",2.9490000000000002e+01,
"TORRINGTON",3.5320000000000000e+01,
"TRUMBULL",2.4070000000000000e+01,
"UNION",2.2629999999999999e+01,
"VERNON",2.8420000000000002e+01,
"VOLUNTOWN",2.0000000000000000e+01,
"WALLINGFORD",2.3199999999999999e+01,
