Municipality,Mil Rates FY 2009-10,Comments
"WARREN",1.2000000000000000e+01,
"WASHINGTON",1.0750000000000000e+01,
"WATERBURY",3.9920200000000001e+01,
"WATERFORD",1.6859999999999999e+01,
"WATERTOWN",2.2590000000000000e+01,"VR phone call"
"WEST HARTFORD",3.7539999999999999e+01,
"WEST HAVEN",2.7960000000000001e+01,
"WESTBROOK",1.6300000000000001e+01,
"WESTON",2.3609999999999999e+01,
"WESTPORT",1.4410000000000000e+01,
"WETHERSFIELD",3.0680000000000000e+01,
"WILLINGTON",2.3350000000000001e+01,
"WILTON",1.9580000000000002e+01,
"WINCHESTER",2.4670000000000002e+01,
"WINDHAM",2.6670000000000002e+01,
"WINDSOR",2.8340000000000000e+01,
"WINDSOR LOCKS",2.1650000000000002e+01,
"WOLCOTT",2.2690000000000001e+01,
"WOODBRIDGE",3.1090000000000000e+01,
"WOODBURY",2.1129999999999999e+01,
"WOODSTOCK",1.7500000000000000e+01,
