Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2011 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,205563.0000,"0 to 10,000",2.9687188596681251e+00
2,"DARIEN",3.5000000000000000e+01,193896.0000,"10,000 to 30,000",2.8002252935314762e+00
3,"NEW CANAAN",9.1000000000000000e+01,191750.0000,"10,000 to 30,000",2.7692329910604681e+00
4,"WILTON",1.6200000000000000e+02,159720.0000,"10,000 to 30,000",2.3066591568822843e+00
5,"WESTPORT",1.5900000000000000e+02,155792.0000,"10,000 to 30,000",2.2499314010080442e+00
6,"RIDGEFIELD",1.1900000000000000e+02,145000.0000,"10,000 to 30,000",2.0940744912843177e+00
7,"EASTON",4.7000000000000000e+01,141372.0000,"0 to 10,000",2.0416793033230798e+00
8,"WOODBRIDGE",1.6800000000000000e+02,129583.0000,"0 to 10,000",1.8714238262351428e+00
9,"GREENWICH",5.7000000000000000e+01,127201.0000,"30,000 to 70,000",1.8370232370059068e+00
10,"SHERMAN",1.2800000000000000e+02,120458.0000,"0 to 10,000",1.7396415522146642e+00
11,"FAIRFIELD",5.1000000000000000e+01,118476.0000,"30,000 to 70,000",1.7110177202027641e+00
12,"SIMSBURY",1.2900000000000000e+02,116554.0000,"10,000 to 30,000",1.6832604017734645e+00
13,"BURLINGTON",2.0000000000000000e+01,114792.0000,"0 to 10,000",1.6578137862310991e+00
14,"NEWTOWN",9.8000000000000000e+01,114695.0000,"10,000 to 30,000",1.6564129226058952e+00
15,"REDDING",1.1800000000000000e+02,113697.0000,"0 to 10,000",1.6419999133486418e+00
16,"MARLBOROUGH",8.0000000000000000e+01,112665.0000,"0 to 10,000",1.6270958797279147e+00
17,"OXFORD",1.0900000000000000e+02,111122.0000,"0 to 10,000",1.6048120387620410e+00
18,"CHESHIRE",2.5000000000000000e+01,109535.0000,"10,000 to 30,000",1.5818927545022601e+00
19,"BROOKFIELD",1.8000000000000000e+01,108576.0000,"10,000 to 30,000",1.5680429790736969e+00
20,"MONROE",8.6000000000000000e+01,108478.0000,"10,000 to 30,000",1.5666276735554496e+00
21,"HEBRON",6.8000000000000000e+01,107807.0000,"0 to 10,000",1.5569371633233684e+00
22,"AVON",4.0000000000000000e+00,107733.0000,"10,000 to 30,000",1.5558684632381612e+00
23,"MADISON",7.7000000000000000e+01,106609.0000,"10,000 to 30,000",1.5396357754574470e+00
24,"BETHANY",8.0000000000000000e+00,106579.0000,"0 to 10,000",1.5392025186661467e+00
25,"TRUMBULL",1.4500000000000000e+02,106058.0000,"30,000 to 70,000",1.5316782923905665e+00
26,"DURHAM",3.8000000000000000e+01,106000.0000,"0 to 10,000",1.5308406625940529e+00
27,"KILLINGWORTH",7.1000000000000000e+01,105764.0000,"0 to 10,000",1.5274323758358246e+00
28,"GLASTONBURY",5.4000000000000000e+01,104967.0000,"10,000 to 30,000",1.5159221870802826e+00
29,"ORANGE",1.0800000000000000e+02,104335.0000,"10,000 to 30,000",1.5067949106768914e+00
30,"TOLLAND",1.4300000000000000e+02,102370.0000,"10,000 to 30,000",1.4784165908467282e+00
31,"NEW FAIRFIELD",9.2000000000000000e+01,102159.0000,"10,000 to 30,000",1.4753693514145834e+00
32,"SOMERS",1.3000000000000000e+02,100573.0000,"0 to 10,000",1.4524645090478461e+00
33,"MIDDLEBURY",8.2000000000000000e+01,99679.0000,"0 to 10,000",1.4395534566671000e+00
34,"GRANBY",5.6000000000000000e+01,99190.0000,"0 to 10,000",1.4324913709689067e+00
35,"ROXBURY",1.2100000000000000e+02,98833.0000,"0 to 10,000",1.4273356151524341e+00
36,"WARREN",1.5000000000000000e+02,97794.0000,"0 to 10,000",1.4123304882804038e+00
37,"SALEM",1.2200000000000000e+02,97424.0000,"0 to 10,000",1.4069869878543679e+00
38,"GUILFORD",6.1000000000000000e+01,95085.0000,"10,000 to 30,000",1.3732074000259955e+00
39,"COLCHESTER",2.8000000000000000e+01,95034.0000,"10,000 to 30,000",1.3724708634807850e+00
40,"OLD LYME",1.0600000000000000e+02,93682.0000,"0 to 10,000",1.3529454240861891e+00
41,"PROSPECT",1.1600000000000000e+02,93631.0000,"0 to 10,000",1.3522088875409788e+00
42,"PORTLAND",1.1400000000000000e+02,93438.0000,"0 to 10,000",1.3494216021836143e+00
43,"BOLTON",1.2000000000000000e+01,93348.0000,"0 to 10,000",1.3481218318097137e+00
44,"SOUTH WINDSOR",1.3100000000000000e+02,92513.0000,"10,000 to 30,000",1.3360628511185246e+00
45,"EAST HAMPTON",4.1000000000000000e+01,91770.0000,"10,000 to 30,000",1.3253325245873229e+00
46,"COLUMBIA",3.0000000000000000e+01,91715.0000,"0 to 10,000",1.3245382204699392e+00
47,"LYME",7.6000000000000000e+01,91522.0000,"0 to 10,000",1.3217509351125745e+00
48,"ANDOVER",1.0000000000000000e+00,91406.0000,"0 to 10,000",1.3200756755195471e+00
