"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","SFY 2000-2001","Mill Rate","Actual Mill Rate",28.6
"Ansonia","0900901220","SFY 2000-2001","Mill Rate","Actual Mill Rate",31.4
"Ashford","0901501430","SFY 2000-2001","Mill Rate","Actual Mill Rate",31
"Avon","0900302060","SFY 2000-2001","Mill Rate","Actual Mill Rate",24.5
"Barkhamsted","0900502760","SFY 2000-2001","Mill Rate","Actual Mill Rate",28
"Beacon Falls","0900903250","SFY 2000-2001","Mill Rate","Actual Mill Rate",24.5
"Berlin","0900304300","SFY 2000-2001","Mill Rate","Actual Mill Rate",30.3
"Bethany","0900904580","SFY 2000-2001","Mill Rate","Actual Mill Rate",29.23
"Bethel","0900104720","SFY 2000-2001","Mill Rate","Actual Mill Rate",28.06
"Bethlehem","0900504930","SFY 2000-2001","Mill Rate","Actual Mill Rate",23.79
"Bloomfield","0900305910","SFY 2000-2001","Mill Rate","Actual Mill Rate",26.69
"Bolton","0901306260","SFY 2000-2001","Mill Rate","Actual Mill Rate",31.35
"Bozrah","0901106820","SFY 2000-2001","Mill Rate","Actual Mill Rate",23
"Branford","0900907310","SFY 2000-2001","Mill Rate","Actual Mill Rate",26.19
"Bridgeport","0900108070","SFY 2000-2001","Mill Rate","Actual Mill Rate",65
"Bridgewater","0900508210","SFY 2000-2001","Mill Rate","Actual Mill Rate",23
"Bristol","0900308490","SFY 2000-2001","Mill Rate","Actual Mill Rate",29.55
"Brookfield","0900108980","SFY 2000-2001","Mill Rate","Actual Mill Rate",26.9
"Brooklyn","0901509190","SFY 2000-2001","Mill Rate","Actual Mill Rate",21.97
"Burlington","0900310100","SFY 2000-2001","Mill Rate","Actual Mill Rate",27.75
"Canaan","0900510940","SFY 2000-2001","Mill Rate","Actual Mill Rate",31.25
"Canterbury","0901512130","SFY 2000-2001","Mill Rate","Actual Mill Rate",24.16
"Canton","0900312270","SFY 2000-2001","Mill Rate","Actual Mill Rate",30.25
"Chaplin","0901513810","SFY 2000-2001","Mill Rate","Actual Mill Rate",29.33
"Cheshire","0900914160","SFY 2000-2001","Mill Rate","Actual Mill Rate",30
"Chester","0900714300","SFY 2000-2001","Mill Rate","Actual Mill Rate",24.5
"Clinton","0900715350","SFY 2000-2001","Mill Rate","Actual Mill Rate",29.35
"Colchester","0901115910","SFY 2000-2001","Mill Rate","Actual Mill Rate",27.53
"Colebrook","0900516050","SFY 2000-2001","Mill Rate","Actual Mill Rate",26.3
"Columbia","0901316400","SFY 2000-2001","Mill Rate","Actual Mill Rate",27
"Cornwall","0900517240","SFY 2000-2001","Mill Rate","Actual Mill Rate",19
"Coventry","0901317800","SFY 2000-2001","Mill Rate","Actual Mill Rate",26.59
"Cromwell","0900718080","SFY 2000-2001","Mill Rate","Actual Mill Rate",28.14
"Danbury","0900118500","SFY 2000-2001","Mill Rate","Actual Mill Rate",23.19
"Darien","0900118850","SFY 2000-2001","Mill Rate","Actual Mill Rate",13.06
"Deep River","0900719130","SFY 2000-2001","Mill Rate","Actual Mill Rate",25.4
