"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","SFY 2000-2001","Mill Rate","Actual Mill Rate",28.6
"Andover","0901301080","SFY 2000-2001","Mill Rate","Equalized Mill Rate",17.57
"Andover","0901301080","SFY 2000-2001","Number","Equalized Net Grand List",231093337
"Andover","0901301080","SFY 2000-2001","Number","Equalized Net Grand List per Capita",72694
"Andover","0901301080","SFY 2000-2001","Number","Gross Commercial Grand List",1983750
"Andover","0901301080","SFY 2000-2001","Number","Gross Industrial Grand List",1178760
"Andover","0901301080","SFY 2000-2001","Number","Gross Residential Grand List",111061230
"Andover","0901301080","SFY 2000-2001","Number","Net Grand List",140215702
"Andover","0901301080","SFY 2000-2001","Number","Total Gross Grand List",141623628
"Andover","0901301080","SFY 2000-2001","Percent","Commercial and Industrial Share of Total Net Grand List",2.26
"Andover","0901301080","SFY 2000-2001","Percent","Equalized Net Grand List per Capita as Percent of State Average",77.85
"Andover","0901301080","SFY 2001-2002","Mill Rate","Actual Mill Rate",30.3
"Andover","0901301080","SFY 2001-2002","Mill Rate","Equalized Mill Rate",18.02
"Andover","0901301080","SFY 2001-2002","Number","Equalized Net Grand List",242903876
"Andover","0901301080","SFY 2001-2002","Number","Equalized Net Grand List per Capita",77979
"Andover","0901301080","SFY 2001-2002","Number","Gross Commercial Grand List",2061810
"Andover","0901301080","SFY 2001-2002","Number","Gross Industrial Grand List",1232140
"Andover","0901301080","SFY 2001-2002","Number","Gross Residential Grand List",112654080
"Andover","0901301080","SFY 2001-2002","Number","Net Grand List",143043422
"Andover","0901301080","SFY 2001-2002","Number","Total Gross Grand List",144393939
"Andover","0901301080","SFY 2001-2002","Percent","Commercial and Industrial Share of Total Net Grand List",2.3
"Andover","0901301080","SFY 2001-2002","Percent","Equalized Net Grand List per Capita as Percent of State Average",74.89
"Andover","0901301080","SFY 2002-2003","Mill Rate","Actual Mill Rate",29.9
"Andover","0901301080","SFY 2002-2003","Mill Rate","Equalized Mill Rate",21.05
"Andover","0901301080","SFY 2002-2003","Number","Equalized Net Grand List",231740222.86
"Andover","0901301080","SFY 2002-2003","Number","Equalized Net Grand List per Capita",73220
"Andover","0901301080","SFY 2002-2003","Number","Gross Commercial Grand List",2522400
"Andover","0901301080","SFY 2002-2003","Number","Gross Industrial Grand List",773600
"Andover","0901301080","SFY 2002-2003","Number","Gross Residential Grand List",128955150
"Andover","0901301080","SFY 2002-2003","Number","Net Grand List",161501150
"Andover","0901301080","SFY 2002-2003","Number","Total Gross Grand List",162835688
"Andover","0901301080","SFY 2002-2003","Percent","Commercial and Industrial Share of Total Net Grand List",2.04
"Andover","0901301080","SFY 2002-2003","Percent","Equalized Net Grand List per Capita as Percent of State Average",65.03
"Andover","0901301080","SFY 2003-2004","Mill Rate","Actual Mill Rate",31.9
"Andover","0901301080","SFY 2003-2004","Mill Rate","Equalized Mill Rate",18.75
"Andover","0901301080","SFY 2003-2004","Number","Equalized Net Grand List",283350872.19
"Andover","0901301080","SFY 2003-2004","Number","Equalized Net Grand List per Capita",89188
"Andover","0901301080","SFY 2003-2004","Number","Gross Commercial Grand List",2718800
"Andover","0901301080","SFY 2003-2004","Number","Gross Industrial Grand List",773600
"Andover","0901301080","SFY 2003-2004","Number","Gross Residential Grand List",131782480
"Andover","0901301080","SFY 2003-2004","Number","Net Grand List",165688246
"Andover","0901301080","SFY 2003-2004","Number","Total Gross Grand List",166508681
"Andover","0901301080","SFY 2003-2004","Percent","Commercial and Industrial Share of Total Net Grand List",2.11
"Andover","0901301080","SFY 2003-2004","Percent","Equalized Net Grand List per Capita as Percent of State Average",70.39
"Andover","0901301080","SFY 2004-2005","Mill Rate","Actual Mill Rate",31.3
"Andover","0901301080","SFY 2004-2005","Mill Rate","Equalized Mill Rate",15.7
"Andover","0901301080","SFY 2004-2005","Number","Equalized Net Grand List",338067466
"Andover","0901301080","SFY 2004-2005","Number","Equalized Net Grand List per Capita",105350
"Andover","0901301080","SFY 2004-2005","Number","Gross Commercial Grand List",2779700
"Andover","0901301080","SFY 2004-2005","Number","Gross Industrial Grand List",773600
"Andover","0901301080","SFY 2004-2005","Number","Gross Residential Grand List",134430280
"Andover","0901301080","SFY 2004-2005","Number","Net Grand List",167942662
"Andover","0901301080","SFY 2004-2005","Number","Total Gross Grand List",169201624
"Andover","0901301080","SFY 2004-2005","Percent","Commercial and Industrial Share of Total Net Grand List",2.12
"Andover","0901301080","SFY 2004-2005","Percent","Equalized Net Grand List per Capita as Percent of State Average",75.43
"Andover","0901301080","SFY 2005-2006","Mill Rate","Actual Mill Rate",34.5
"Andover","0901301080","SFY 2005-2006","Mill Rate","Equalized Mill Rate",15.95
"Andover","0901301080","SFY 2005-2006","Number","Equalized Net Grand List",383370381.14
"Andover","0901301080","SFY 2005-2006","Number","Equalized Net Grand List per Capita",119393
"Andover","0901301080","SFY 2005-2006","Number","Gross Commercial Grand List",2692150
"Andover","0901301080","SFY 2005-2006","Number","Gross Industrial Grand List",773600
"Andover","0901301080","SFY 2005-2006","Number","Gross Residential Grand List",139863880
"Andover","0901301080","SFY 2005-2006","Number","Net Grand List",175372416
"Andover","0901301080","SFY 2005-2006","Number","Total Gross Grand List",172744534
"Andover","0901301080","SFY 2005-2006","Percent","Commercial and Industrial Share of Total Net Grand List",1.98
"Andover","0901301080","SFY 2005-2006","Percent","Equalized Net Grand List per Capita as Percent of State Average",74.81
"Andover","0901301080","SFY 2006-2007","Mill Rate","Actual Mill Rate",41.3
"Andover","0901301080","SFY 2006-2007","Mill Rate","Equalized Mill Rate",18.38
"Andover","0901301080","SFY 2006-2007","Number","Equalized Net Grand List",411321603.97
"Andover","0901301080","SFY 2006-2007","Number","Equalized Net Grand List per Capita",129306
"Andover","0901301080","SFY 2006-2007","Number","Gross Commercial Grand List",2692150
"Andover","0901301080","SFY 2006-2007","Number","Gross Industrial Grand List",773600
"Andover","0901301080","SFY 2006-2007","Number","Gross Residential Grand List",139863880
"Andover","0901301080","SFY 2006-2007","Number","Net Grand List",177097532
"Andover","0901301080","SFY 2006-2007","Number","Total Gross Grand List",178187582
"Andover","0901301080","SFY 2006-2007","Percent","Commercial and Industrial Share of Total Net Grand List",1.96
"Andover","0901301080","SFY 2006-2007","Percent","Equalized Net Grand List per Capita as Percent of State Average",76.44
"Andover","0901301080","SFY 2007-2008","Mill Rate","Actual Mill Rate",26.3
"Andover","0901301080","SFY 2007-2008","Mill Rate","Equalized Mill Rate",18.52
"Andover","0901301080","SFY 2007-2008","Number","Equalized Net Grand List",384665337.14
"Andover","0901301080","SFY 2007-2008","Number","Equalized Net Grand List per Capita",120850
"Andover","0901301080","SFY 2007-2008","Number","Gross Commercial Grand List",5071900
"Andover","0901301080","SFY 2007-2008","Number","Gross Industrial Grand List",902600
"Andover","0901301080","SFY 2007-2008","Number","Gross Residential Grand List",226633050
"Andover","0901301080","SFY 2007-2008","Number","Net Grand List",269050981
"Andover","0901301080","SFY 2007-2008","Number","Total Gross Grand List",264530195
"Andover","0901301080","SFY 2007-2008","Percent","Commercial and Industrial Share of Total Net Grand List",2.22
"Andover","0901301080","SFY 2007-2008","Percent","Equalized Net Grand List per Capita as Percent of State Average",74.02
"Andover","0901301080","SFY 2008-2009","Mill Rate","Actual Mill Rate",27.6
"Andover","0901301080","SFY 2008-2009","Mill Rate","Equalized Mill Rate",18.06
"Andover","0901301080","SFY 2008-2009","Number","Equalized Net Grand List",416011483.37
"Andover","0901301080","SFY 2008-2009","Number","Equalized Net Grand List per Capita",129599
"Andover","0901301080","SFY 2008-2009","Number","Gross Commercial Grand List",5096000
