MUNICIPALITY,Numbered,Sept10 Labor Force,Sept10 Unemployed
"PLAINVILLE",1.1100000000000000e+02,1.0241000000000000e+04,8.7100000000000000e+02
"PLYMOUTH",1.1200000000000000e+02,6.9670000000000000e+03,6.9600000000000000e+02
"POMFRET",1.1300000000000000e+02,2.2840000000000000e+03,1.7700000000000000e+02
"PORTLAND",1.1400000000000000e+02,5.4480000000000000e+03,4.0800000000000000e+02
"PRESTON",1.1500000000000000e+02,2.9530000000000000e+03,2.3300000000000000e+02
"PROSPECT",1.1600000000000000e+02,5.3250000000000000e+03,4.1400000000000000e+02
"PUTNAM",1.1700000000000000e+02,5.2400000000000000e+03,5.2100000000000000e+02
"REDDING",1.1800000000000000e+02,4.6730000000000000e+03,2.7700000000000000e+02
"RIDGEFIELD",1.1900000000000000e+02,1.1847000000000000e+04,7.3600000000000000e+02
"ROCKY HILL",1.2000000000000000e+02,1.0873000000000000e+04,7.6800000000000000e+02
"ROXBURY",1.2100000000000000e+02,1.3570000000000000e+03,7.2000000000000000e+01
"SALEM",1.2200000000000000e+02,2.6890000000000000e+03,2.0300000000000000e+02
"SALISBURY",1.2300000000000000e+02,1.9580000000000000e+03,1.2900000000000000e+02
"SCOTLAND",1.2400000000000000e+02,1.0200000000000000e+03,6.2000000000000000e+01
"SEYMOUR",1.2500000000000000e+02,9.4620000000000000e+03,8.6800000000000000e+02
"SHARON",1.2600000000000000e+02,1.5410000000000000e+03,7.8000000000000000e+01
"SHELTON",1.2700000000000000e+02,2.3353000000000000e+04,1.8490000000000000e+03
"SHERMAN",1.2800000000000000e+02,2.1570000000000000e+03,1.5800000000000000e+02
"SIMSBURY",1.2900000000000000e+02,1.2181000000000000e+04,7.4600000000000000e+02
"SOMERS",1.3000000000000000e+02,4.8890000000000000e+03,4.1300000000000000e+02
"SOUTH WINDSOR",1.3100000000000000e+02,1.5151000000000000e+04,1.0610000000000000e+03
"SOUTHBURY",1.3200000000000000e+02,9.2080000000000000e+03,7.1200000000000000e+02
"SOUTHINGTON",1.3300000000000000e+02,2.4775000000000000e+04,1.9000000000000000e+03
"SPRAGUE",1.3400000000000000e+02,1.8610000000000000e+03,1.8100000000000000e+02
"STAFFORD",1.3500000000000000e+02,6.9690000000000000e+03,5.7700000000000000e+02
"STAMFORD",1.3600000000000000e+02,6.7816000000000000e+04,4.9500000000000000e+03
"STERLING",1.3700000000000000e+02,2.1400000000000000e+03,2.1500000000000000e+02
"STONINGTON",1.3800000000000000e+02,1.0744000000000000e+04,7.0200000000000000e+02
"STRATFORD",1.3900000000000000e+02,2.6234000000000000e+04,2.5600000000000000e+03
"SUFFIELD",1.4000000000000000e+02,7.5650000000000000e+03,5.8200000000000000e+02
"THOMASTON",1.4100000000000000e+02,4.5930000000000000e+03,3.4000000000000000e+02
"THOMPSON",1.4200000000000000e+02,5.3970000000000000e+03,5.6100000000000000e+02
"TOLLAND",1.4300000000000000e+02,8.5390000000000000e+03,5.3800000000000000e+02
"TORRINGTON",1.4400000000000000e+02,2.0118000000000000e+04,2.0340000000000000e+03
"TRUMBULL",1.4500000000000000e+02,1.7925000000000000e+04,1.2770000000000000e+03
"UNION",1.4600000000000000e+02,4.9900000000000000e+02,4.5000000000000000e+01
"VERNON",1.4700000000000000e+02,1.7905000000000000e+04,1.4090000000000000e+03
"VOLUNTOWN",1.4800000000000000e+02,1.6660000000000000e+03,1.4900000000000000e+02
"WALLINGFORD",1.4900000000000000e+02,2.5857000000000000e+04,2.1240000000000000e+03
"WARREN",1.5000000000000000e+02,7.4300000000000000e+02,4.5000000000000000e+01
"WASHINGTON",1.5100000000000000e+02,1.9270000000000000e+03,1.1200000000000000e+02
"WATERBURY",1.5200000000000000e+02,5.0591000000000000e+04,7.0580000000000000e+03
"WATERFORD",1.5300000000000000e+02,1.0705000000000000e+04,8.8900000000000000e+02
"WATERTOWN",1.5400000000000000e+02,1.2230000000000000e+04,1.0870000000000000e+03
"WEST HARTFORD",1.5500000000000000e+02,2.9825000000000000e+04,2.3750000000000000e+03
"WEST HAVEN",1.5600000000000000e+02,3.0612000000000000e+04,3.1750000000000000e+03
