Municipality,Numbered,ADM 2008-09,NCE 2008-09,ADM 2009-10,NCE 2009-10
"ANDOVER            ",1.0000000000000000e+00,6.4175999999999999e+02,7.4034440000000000e+06,6.3135000000000002e+02,7.5256550000000000e+06
"ANSONIA            ",2.0000000000000000e+00,2.8547800000000002e+03,2.9436353000000000e+07,2.8679699999999998e+03,3.0173580000000000e+07
"ASHFORD            ",3.0000000000000000e+00,6.9588999999999999e+02,1.0585690000000000e+07,6.9674000000000001e+02,1.0607901000000000e+07
"AVON               ",4.0000000000000000e+00,3.5738099999999999e+03,4.0318507000000000e+07,3.6165200000000000e+03,4.2223213000000000e+07
"BARKHAMSTED        ",5.0000000000000000e+00,6.7646000000000004e+02,7.7932650000000000e+06,6.7183000000000004e+02,7.8238400000000000e+06
"BEACON FALLS       ",6.0000000000000000e+00,1.0250699999999999e+03,1.2104751000000000e+07,1.0389000000000001e+03,1.3029689000000000e+07
"BERLIN             ",7.0000000000000000e+00,3.2667300000000000e+03,3.9409696000000000e+07,3.2193400000000001e+03,4.0252339000000000e+07
"BETHANY            ",8.0000000000000000e+00,1.0745500000000000e+03,1.3538170000000000e+07,1.0395899999999999e+03,1.3649313000000000e+07
"BETHEL             ",9.0000000000000000e+00,3.1021700000000001e+03,4.0037351000000000e+07,3.0613099999999999e+03,4.0385303000000000e+07
"BETHLEHEM          ",1.0000000000000000e+01,4.9864999999999998e+02,6.8124520000000000e+06,4.9504000000000002e+02,7.0860650000000000e+06
"BLOOMFIELD         ",1.1000000000000000e+01,2.5565000000000000e+03,4.0599109000000000e+07,2.5294099999999999e+03,4.1579674000000000e+07
"BOLTON             ",1.2000000000000000e+01,8.4382000000000005e+02,1.1698563000000000e+07,8.3924000000000001e+02,1.1960280000000000e+07
"BOZRAH             ",1.3000000000000000e+01,3.9167000000000002e+02,5.0668000000000000e+06,3.8781000000000000e+02,5.3148590000000000e+06
"BRANFORD           ",1.4000000000000000e+01,3.5368699999999999e+03,4.6385052000000000e+07,3.5812700000000000e+03,4.7965639000000000e+07
"BRIDGEPORT         ",1.5000000000000000e+01,2.1288930000000000e+04,2.6984221600000000e+08,2.1022700000000001e+04,2.7442224800000000e+08
"BRIDGEWATER        ",1.6000000000000000e+01,2.3237000000000000e+02,4.3008470000000000e+06,2.3206999999999999e+02,4.5906920000000000e+06
"BRISTOL            ",1.7000000000000000e+01,8.9137800000000007e+03,1.0406792900000000e+08,8.7836399999999994e+03,1.0677736800000000e+08
"BROOKFIELD         ",1.8000000000000000e+01,3.0296900000000001e+03,3.4140341000000000e+07,2.9880100000000002e+03,3.4609738000000000e+07
"BROOKLYN           ",1.9000000000000000e+01,1.3145200000000000e+03,1.4859022000000000e+07,1.3129300000000001e+03,1.5268128000000000e+07
"BURLINGTON         ",2.0000000000000000e+01,1.8704900000000000e+03,2.0725888000000000e+07,1.8742000000000000e+03,2.1262514000000000e+07
"CANAAN             ",2.1000000000000000e+01,1.3050000000000000e+02,2.8358420000000000e+06,1.3609999999999999e+02,2.7164310000000000e+06
"CANTERBURY         ",2.2000000000000000e+01,8.2470000000000005e+02,1.0331438000000000e+07,7.7025999999999999e+02,1.0719713000000000e+07
"CANTON             ",2.3000000000000000e+01,1.7839000000000001e+03,2.1401185000000000e+07,1.7933199999999999e+03,2.2564618000000000e+07
"CHAPLIN            ",2.4000000000000000e+01,3.1411000000000001e+02,5.7915790000000000e+06,2.9044999999999999e+02,5.6215250000000000e+06
"CHESHIRE           ",2.5000000000000000e+01,4.9974399999999996e+03,5.7737330000000000e+07,4.9433699999999999e+03,5.8206376000000000e+07
"CHESTER            ",2.6000000000000000e+01,5.8457000000000005e+02,8.1089950000000000e+06,5.7403999999999996e+02,8.1785710000000000e+06
"CLINTON            ",2.7000000000000000e+01,2.1294299999999998e+03,2.9570253000000000e+07,2.0692199999999998e+03,2.9244877000000000e+07
"COLCHESTER         ",2.8000000000000000e+01,3.2099299999999998e+03,3.4411480000000000e+07,3.2373000000000002e+03,3.5383455000000000e+07
"COLEBROOK          ",2.9000000000000000e+01,2.5578999999999999e+02,3.5032300000000000e+06,2.5502000000000001e+02,3.4917190000000000e+06
"COLUMBIA           ",3.0000000000000000e+01,8.4713000000000000e+02,1.1193044000000000e+07,7.8583000000000004e+02,1.0817013000000000e+07
"CORNWALL           ",3.1000000000000000e+01,1.8605000000000001e+02,3.6836110000000000e+06,1.8219000000000000e+02,3.7663450000000000e+06
"COVENTRY           ",3.2000000000000000e+01,2.0245899999999999e+03,2.4075121000000000e+07,1.9878599999999999e+03,2.4485533000000000e+07
"CROMWELL           ",3.3000000000000000e+01,2.0097700000000000e+03,2.5112776000000000e+07,2.0503299999999999e+03,2.5456797000000000e+07
"DANBURY            ",3.4000000000000000e+01,1.0132820000000000e+04,1.2071206700000000e+08,1.0255040000000001e+04,1.2113248000000000e+08
"DARIEN             ",3.5000000000000000e+01,4.7146199999999999e+03,6.9946159000000000e+07,4.7946300000000001e+03,7.1654322000000000e+07
"DEEP RIVER         ",3.6000000000000000e+01,6.6147000000000003e+02,9.4027740000000000e+06,6.5463999999999999e+02,9.4912220000000000e+06
"DERBY              ",3.7000000000000000e+01,1.5689800000000000e+03,1.7984515000000000e+07,1.5806900000000001e+03,1.8609128000000000e+07
"DURHAM             ",3.8000000000000000e+01,1.4282700000000000e+03,1.9245583000000000e+07,1.3716800000000001e+03,1.9381210000000000e+07
"EAST GRANBY        ",3.9000000000000000e+01,9.0636000000000001e+02,1.2747967000000000e+07,9.3907000000000005e+02,1.3561601000000000e+07
"EAST HADDAM        ",4.0000000000000000e+01,1.4582200000000000e+03,1.8100794000000000e+07,1.4240000000000000e+03,1.8155885000000000e+07
"EAST HAMPTON       ",4.1000000000000000e+01,2.0660700000000002e+03,2.5694604000000000e+07,2.0404700000000000e+03,2.5879986000000000e+07
"EAST HARTFORD      ",4.2000000000000000e+01,7.9175900000000001e+03,9.2633940000000000e+07,8.0093900000000003e+03,9.1408687000000000e+07
"EAST HAVEN         ",4.3000000000000000e+01,3.8100300000000002e+03,4.7865697000000000e+07,3.8032399999999998e+03,4.9825466000000000e+07
"EAST LYME          ",4.4000000000000000e+01,2.9345300000000002e+03,3.6927338000000000e+07,2.8786100000000001e+03,3.7700690000000000e+07
"EAST WINDSOR       ",4.5000000000000000e+01,1.5258099999999999e+03,1.9579041000000000e+07,1.4758599999999999e+03,1.9051583000000000e+07
"EASTFORD           ",4.6000000000000000e+01,2.6669000000000000e+02,3.6940380000000000e+06,2.3652000000000001e+02,3.6802780000000000e+06
"EASTON             ",4.7000000000000000e+01,1.5900400000000000e+03,2.2566408000000000e+07,1.5559600000000000e+03,2.2832669000000000e+07
"ELLINGTON          ",4.8000000000000000e+01,2.6617900000000000e+03,2.8186963000000000e+07,2.6699899999999998e+03,2.8154945000000000e+07
"ENFIELD            ",4.9000000000000000e+01,6.3988199999999997e+03,7.5088022000000000e+07,6.2150299999999997e+03,7.3620564000000000e+07
"ESSEX              ",5.0000000000000000e+01,9.7522000000000003e+02,1.2820323000000000e+07,9.8628999999999996e+02,1.3226218000000000e+07
"FAIRFIELD          ",5.1000000000000000e+01,9.9569200000000001e+03,1.4395876900000000e+08,1.0114330000000000e+04,1.4622871800000000e+08
"FARMINGTON         ",5.2000000000000000e+01,4.1676700000000001e+03,4.9879154000000000e+07,4.1432700000000004e+03,5.2286036000000000e+07
