MUNICIPALITY,2011 TANF RECIPIENTS
"ANDOVER",1.1000000000000000e+01
"ANSONIA",3.4100000000000000e+02
"ASHFORD",2.6000000000000000e+01
"AVON",1.5000000000000000e+01
"BARKHAMSTED",4.0000000000000000e+00
"BEACON FALLS",1.7000000000000000e+01
"BERLIN",2.8000000000000000e+01
"BETHANY",4.0000000000000000e+00
"BETHEL",6.0000000000000000e+01
"BETHLEHEM",1.0000000000000000e+00
"BLOOMFIELD",1.8800000000000000e+02
"BOLTON",1.3000000000000000e+01
"BOZRAH",1.3000000000000000e+01
"BRANFORD",9.7000000000000000e+01
"BRIDGEPORT",4.1800000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.7000000000000000e+02
"BROOKFIELD",2.9000000000000000e+01
"BROOKLYN",6.0000000000000000e+01
"BURLINGTON",9.0000000000000000e+00
"CANAAN",1.6000000000000000e+01
"CANTERBURY",2.6000000000000000e+01
"CANTON",1.8000000000000000e+01
"CHAPLIN",1.6000000000000000e+01
"CHESHIRE",1.6000000000000000e+01
"CHESTER",7.0000000000000000e+00
"CLINTON",4.1000000000000000e+01
"COLCHESTER",7.0000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",1.1000000000000000e+01
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.7000000000000000e+01
"CROMWELL",4.9000000000000000e+01
"DANBURY",5.5400000000000000e+02
"DARIEN",1.2000000000000000e+01
"DEEP RIVER",8.0000000000000000e+00
"DERBY",1.6200000000000000e+02
"DURHAM",3.0000000000000000e+00
"EAST GRANBY",1.2000000000000000e+01
"EAST HADDAM",1.4000000000000000e+01
"EAST HAMPTON",4.2000000000000000e+01
"EAST HARTFORD",1.0540000000000000e+03
"EAST HAVEN",2.5600000000000000e+02
"EAST LYME",4.7000000000000000e+01
"EAST WINDSOR",7.3000000000000000e+01
"EASTFORD",0.0000000000000000e+00
"EASTON",3.0000000000000000e+00
"ELLINGTON",3.9000000000000000e+01
"ENFIELD",2.6600000000000000e+02
"ESSEX",1.0000000000000000e+01
"FAIRFIELD",5.7000000000000000e+01
"FARMINGTON",4.7000000000000000e+01
"FRANKLIN",6.0000000000000000e+00
"GLASTONBURY",4.9000000000000000e+01
"GOSHEN",4.0000000000000000e+00
"GRANBY",1.6000000000000000e+01
"GREENWICH",1.1700000000000000e+02
"GRISWOLD",1.2400000000000000e+02
"GROTON",3.5400000000000000e+02
"GROTON (City of)",
"GUILFORD",5.0000000000000000e+01
"HADDAM",9.0000000000000000e+00
"HAMDEN",4.7800000000000000e+02
"HAMPTON",3.0000000000000000e+00
"HARTFORD",6.4680000000000000e+03
"HARTLAND",4.0000000000000000e+00
"HARWINTON",7.0000000000000000e+00
"HEBRON",9.0000000000000000e+00
"KENT",4.0000000000000000e+00
"KILLINGLY",1.9900000000000000e+02
"KILLINGWORTH",6.0000000000000000e+00
"LEBANON",2.9000000000000000e+01
"LEDYARD",6.2000000000000000e+01
"LISBON",1.5000000000000000e+01
"LITCHFIELD",1.8000000000000000e+01
"LYME",1.0000000000000000e+00
"MADISON",1.0000000000000000e+01
"MANCHESTER",7.2000000000000000e+02
"MANSFIELD",4.2000000000000000e+01
"MARLBOROUGH",1.3000000000000000e+01
"MERIDEN",1.4160000000000000e+03
"MIDDLEBURY",1.1000000000000000e+01
"MIDDLEFIELD",3.0000000000000000e+00
"MIDDLETOWN",4.7400000000000000e+02
"MILFORD",2.0400000000000000e+02
"MONROE",2.6000000000000000e+01
"MONTVILLE",1.0100000000000000e+02
"MORRIS",5.0000000000000000e+00
"NAUGATUCK",2.3700000000000000e+02
"NEW BRITAIN",2.6150000000000000e+03
"NEW CANAAN",8.0000000000000000e+00
"NEW FAIRFIELD",3.1000000000000000e+01
"NEW HARTFORD",8.0000000000000000e+00
"NEW HAVEN",4.2510000000000000e+03
"NEW LONDON",7.2600000000000000e+02
"NEW MILFORD",9.1000000000000000e+01
"NEWINGTON",6.8000000000000000e+01
"NEWTOWN",4.9000000000000000e+01
"NORFOLK",6.0000000000000000e+00
"NORTH BRANFORD",4.0000000000000000e+01
"NORTH CANAAN",5.0000000000000000e+00
"NORTH HAVEN",4.7000000000000000e+01
"NORTH STONINGTON",7.0000000000000000e+00
"NORWALK",6.4500000000000000e+02
"NORWICH",9.0800000000000000e+02
"OLD LYME",8.0000000000000000e+00
"OLD SAYBROOK",2.5000000000000000e+01
"ORANGE",1.1000000000000000e+01
"OXFORD",1.7000000000000000e+01
"PLAINFIELD",1.8300000000000000e+02
"PLAINVILLE",8.9000000000000000e+01
"PLYMOUTH",6.7000000000000000e+01
"POMFRET",8.0000000000000000e+00
"PORTLAND",3.2000000000000000e+01
"PRESTON",1.7000000000000000e+01
"PROSPECT",2.7000000000000000e+01
"PUTNAM",1.2900000000000000e+02
"REDDING",7.0000000000000000e+00
"RIDGEFIELD",1.3000000000000000e+01
"ROCKY HILL",3.3000000000000000e+01
"ROXBURY",1.0000000000000000e+00
