Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7498858.0000,7543508.0000,7612306.0000,7670979.0000
"ANSONIA",2.0000000000000000e+00,"NH",28460138.0000,29387424.0000,29235841.0000,31832641.0000
"ASHFORD",3.0000000000000000e+00,"W",8216323.0000,8371275.0000,8319109.0000,8792801.0000
"AVON",4.0000000000000000e+00,"H",60965260.0000,61073939.0000,61062537.0000,61193847.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",7928572.0000,8092241.0000,8074797.0000,8512289.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",12190644.0000,12619510.0000,12430242.0000,13258903.0000
"BERLIN",7.0000000000000000e+00,"H",50315554.0000,51124528.0000,50836464.0000,52568314.0000
"BETHANY",8.0000000000000000e+00,"NH",16495305.0000,16634942.0000,16663398.0000,16912662.0000
"BETHEL",9.0000000000000000e+00,"F",48405405.0000,49090160.0000,49125725.0000,50034431.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8302768.0000,8488564.0000,8463300.0000,8893100.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",60677058.0000,62068048.0000,61374489.0000,63702931.0000
"BOLTON",1.2000000000000000e+01,"T",13000677.0000,13161954.0000,13084122.0000,13402778.0000
"BOZRAH",1.3000000000000000e+01,"NL",4752713.0000,4888956.0000,4806017.0000,5125347.0000
"BRANFORD",1.4000000000000000e+01,"NH",77203372.0000,78567255.0000,77967396.0000,80946784.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",260055196.0000,266479224.0000,262654439.0000,296629871.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6249242.0000,6275770.0000,6298011.0000,6413153.0000
"BRISTOL",1.7000000000000000e+01,"H",108912000.0000,110520000.0000,110790000.0000,113693000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",47501986.0000,47990624.0000,47887854.0000,48631471.0000
"BROOKLYN",1.9000000000000000e+01,"W",11068644.0000,11415926.0000,11389288.0000,12135458.0000
"BURLINGTON",2.0000000000000000e+01,"H",23137930.0000,23432886.0000,23525134.0000,24161111.0000
