Municipality,April 2000 Population,April 1990 Population
"ANDOVER",3.0360000000000000e+03,2.5400000000000000e+03
"ANSONIA",1.8554000000000000e+04,1.8403000000000000e+04
"ASHFORD",4.0980000000000000e+03,3.7650000000000000e+03
"AVON",1.5832000000000000e+04,1.3937000000000000e+04
"BARKHAMSTED",3.4940000000000000e+03,3.3690000000000000e+03
"BEACON FALLS",5.2460000000000000e+03,5.0830000000000000e+03
"BERLIN",1.8215000000000000e+04,1.6787000000000000e+04
"BETHANY",5.0400000000000000e+03,4.6080000000000000e+03
"BETHEL",1.8067000000000000e+04,1.7541000000000000e+04
"BETHLEHEM",3.4220000000000000e+03,3.0710000000000000e+03
"BLOOMFIELD",1.9587000000000000e+04,1.9483000000000000e+04
"BOLTON",5.0170000000000000e+03,4.5750000000000000e+03
"BOZRAH",2.3570000000000000e+03,2.2970000000000000e+03
"BRANFORD",2.8683000000000000e+04,2.7603000000000000e+04
"BRIDGEPORT",1.3952900000000000e+05,1.4168600000000000e+05
"BRIDGEWATER",1.8240000000000000e+03,1.6540000000000000e+03
"BRISTOL",6.0062000000000000e+04,6.0640000000000000e+04
"BROOKFIELD",1.5664000000000000e+04,1.4113000000000000e+04
"BROOKLYN",7.1730000000000000e+03,6.6810000000000000e+03
"BURLINGTON",8.1900000000000000e+03,7.0260000000000000e+03
"CANAAN",1.0810000000000000e+03,1.0570000000000000e+03
"CANTERBURY",4.6920000000000000e+03,4.4670000000000000e+03
"CANTON",8.8400000000000000e+03,8.2680000000000000e+03
"CHAPLIN",2.2500000000000000e+03,2.0480000000000000e+03
"CHESHIRE",2.8543000000000000e+04,2.5684000000000000e+04
"CHESTER",3.7430000000000000e+03,3.4170000000000000e+03
"CLINTON",1.3094000000000000e+04,1.2767000000000000e+04
"COLCHESTER",1.4551000000000000e+04,1.0980000000000000e+04
"COLEBROOK",1.4710000000000000e+03,1.3650000000000000e+03
"COLUMBIA",4.9710000000000000e+03,4.5100000000000000e+03
"CORNWALL",1.4340000000000000e+03,1.4140000000000000e+03
"COVENTRY",1.1468000000000000e+04,1.0063000000000000e+04
"CROMWELL",1.2871000000000000e+04,1.2286000000000000e+04
"DANBURY",7.4848000000000000e+04,6.5585000000000000e+04
"DARIEN",1.9607000000000000e+04,1.8196000000000000e+04
"DEEP RIVER",4.6100000000000000e+03,4.3320000000000000e+03
"DERBY",1.2391000000000000e+04,1.2199000000000000e+04
"DURHAM",6.6270000000000000e+03,5.7320000000000000e+03
"EAST GRANBY",4.7450000000000000e+03,4.3020000000000000e+03
"EAST HADDAM",8.3330000000000000e+03,6.6760000000000000e+03
"EAST HAMPTON",1.0956000000000000e+04,1.0428000000000000e+04
"EAST HARTFORD",4.9575000000000000e+04,5.0452000000000000e+04
"EAST HAVEN",2.8189000000000000e+04,2.6144000000000000e+04
"EAST LYME",1.8118000000000000e+04,1.5340000000000000e+04
"EAST WINDSOR",9.8180000000000000e+03,1.0081000000000000e+04
"EASTFORD",1.6180000000000000e+03,1.3140000000000000e+03
"EASTON",7.2720000000000000e+03,6.3030000000000000e+03
"ELLINGTON",1.2921000000000000e+04,1.1197000000000000e+04
"ENFIELD",4.5212000000000000e+04,4.5532000000000000e+04
"ESSEX",6.5050000000000000e+03,5.9040000000000000e+03
"FAIRFIELD",5.7340000000000000e+04,5.3418000000000000e+04
"FARMINGTON",2.3641000000000000e+04,2.0608000000000000e+04
"FRANKLIN",1.8350000000000000e+03,1.8100000000000000e+03
"GLASTONBURY",3.1876000000000000e+04,2.7901000000000000e+04
"GOSHEN",2.6970000000000000e+03,2.3290000000000000e+03
"GRANBY",1.0347000000000000e+04,9.3690000000000000e+03
"GREENWICH",6.1101000000000000e+04,5.8441000000000000e+04
"GRISWOLD",1.0807000000000000e+04,1.0384000000000000e+04
"GROTON",3.9925000000000000e+04,4.5144000000000000e+04
"GROTON (City of)",,
