Sort ID,Municipality,numbered,Median Household Income,Population_Range,PercentOfStateMedian
1,"DARIEN",3.5000000000000000e+01,146755.0000,"10,000 to 30,000",2.7209604153147309e+00
2,"WESTON",1.5800000000000000e+02,146697.0000,"0 to 10,000",2.7198850468156115e+00
3,"NEW CANAAN",9.1000000000000000e+01,141788.0000,"10,000 to 30,000",2.6288680819504959e+00
4,"WILTON",1.6200000000000000e+02,141428.0000,"10,000 to 30,000",2.6221933809214795e+00
5,"EASTON",4.7000000000000000e+01,125557.0000,"0 to 10,000",2.3279317697228143e+00
6,"WESTPORT",1.5900000000000000e+02,119872.0000,"10,000 to 30,000",2.2225271159729303e+00
7,"RIDGEFIELD",1.1900000000000000e+02,107351.0000,"10,000 to 30,000",1.9903773060165013e+00
8,"REDDING",1.1800000000000000e+02,104137.0000,"0 to 10,000",1.9307870584963382e+00
9,"WOODBRIDGE",1.6800000000000000e+02,102121.0000,"0 to 10,000",1.8934087327338462e+00
10,"GREENWICH",5.7000000000000000e+01,99086.0000,"30,000 to 70,000",1.8371372948919997e+00
11,"AVON",4.0000000000000000e+00,90934.0000,"10,000 to 30,000",1.6859923982571614e+00
12,"NEWTOWN",9.8000000000000000e+01,90193.0000,"10,000 to 30,000",1.6722536386391027e+00
13,"ROXBURY",1.2100000000000000e+02,87794.0000,"0 to 10,000",1.6277741726151849e+00
14,"MADISON",7.7000000000000000e+01,87497.0000,"10,000 to 30,000",1.6222675442662464e+00
15,"MONROE",8.6000000000000000e+01,85000.0000,"10,000 to 30,000",1.5759710762955410e+00
16,"NEW FAIRFIELD",9.2000000000000000e+01,84375.0000,"10,000 to 30,000",1.5643830536757208e+00
17,"FAIRFIELD",5.1000000000000000e+01,83512.0000,"30,000 to 70,000",1.5483823120422731e+00
18,"SIMSBURY",1.2900000000000000e+02,82996.0000,"10,000 to 30,000",1.5388152405673496e+00
19,"BURLINGTON",2.0000000000000000e+01,82711.0000,"0 to 10,000",1.5335311022527116e+00
20,"BROOKFIELD",1.8000000000000000e+01,82706.0000,"10,000 to 30,000",1.5334383980717530e+00
21,"GRANBY",5.6000000000000000e+01,81151.0000,"0 to 10,000",1.5046073977936405e+00
22,"KILLINGWORTH",7.1000000000000000e+01,80805.0000,"0 to 10,000",1.4981922684713080e+00
23,"GLASTONBURY",5.4000000000000000e+01,80660.0000,"10,000 to 30,000",1.4955038472235098e+00
24,"CHESHIRE",2.5000000000000000e+01,80466.0000,"10,000 to 30,000",1.4919069250023176e+00
25,"BRIDGEWATER",1.6000000000000000e+01,80420.0000,"0 to 10,000",1.4910540465374988e+00
26,"MARLBOROUGH",8.0000000000000000e+01,80265.0000,"0 to 10,000",1.4881802169277834e+00
27,"TRUMBULL",1.4500000000000000e+02,79507.0000,"30,000 to 70,000",1.4741262630944656e+00
28,"ORANGE",1.0800000000000000e+02,79365.0000,"10,000 to 30,000",1.4714934643552424e+00
29,"HADDAM",6.2000000000000000e+01,78571.0000,"0 to 10,000",1.4567720404190230e+00
30,"DURHAM",3.8000000000000000e+01,77639.0000,"0 to 10,000",1.4394919810883471e+00
31,"TOLLAND",1.4300000000000000e+02,77398.0000,"10,000 to 30,000",1.4350236395661444e+00
32,"OXFORD",1.0900000000000000e+02,77126.0000,"0 to 10,000",1.4299805321219987e+00
33,"GUILFORD",6.1000000000000000e+01,76843.0000,"10,000 to 30,000",1.4247334754797440e+00
34,"SHERMAN",1.2800000000000000e+02,76202.0000,"0 to 10,000",1.4128487994808565e+00
35,"HEBRON",6.8000000000000000e+01,75138.0000,"0 to 10,000",1.3931213497728747e+00
36,"BETHANY",8.0000000000000000e+00,74898.0000,"0 to 10,000",1.3886715490868637e+00
37,"SOUTH WINDSOR",1.3100000000000000e+02,73990.0000,"10,000 to 30,000",1.3718364698247891e+00
38,"LYME",7.6000000000000000e+01,73250.0000,"0 to 10,000",1.3581162510429221e+00
39,"MIDDLEBURY",8.2000000000000000e+01,70469.0000,"0 to 10,000",1.3065541855937703e+00
40,"COLUMBIA",3.0000000000000000e+01,70208.0000,"0 to 10,000",1.3017150273477334e+00
41,"NEW HARTFORD",9.3000000000000000e+01,69321.0000,"0 to 10,000",1.2852693056456845e+00
42,"BETHEL",9.0000000000000000e+00,68891.0000,"10,000 to 30,000",1.2772967460832483e+00
43,"SALEM",1.2200000000000000e+02,68750.0000,"0 to 10,000",1.2746824881802170e+00
44,"EAST GRANBY",3.9000000000000000e+01,68696.0000,"0 to 10,000",1.2736812830258644e+00
45,"BETHLEHEM",1.0000000000000000e+01,68542.0000,"0 to 10,000",1.2708259942523408e+00
46,"OLD LYME",1.0600000000000000e+02,68386.0000,"0 to 10,000",1.2679336238064336e+00
47,"WOODBURY",1.6900000000000000e+02,68322.0000,"0 to 10,000",1.2667470102901641e+00
48,"BERLIN",7.0000000000000000e+00,68068.0000,"10,000 to 30,000",1.2620376378974691e+00
49,"PROSPECT",1.1600000000000000e+02,67560.0000,"0 to 10,000",1.2526188931120794e+00
50,"ANDOVER",1.0000000000000000e+00,67452.0000,"0 to 10,000",1.2506164828033743e+00
51,"BOLTON",1.2000000000000000e+01,67394.0000,"0 to 10,000",1.2495411143042552e+00
52,"SHELTON",1.2700000000000000e+02,67292.0000,"30,000 to 70,000",1.2476499490127004e+00
53,"FARMINGTON",5.2000000000000000e+01,67073.0000,"10,000 to 30,000",1.2435895058867155e+00
54,"ESSEX",5.0000000000000000e+01,66746.0000,"0 to 10,000",1.2375266524520256e+00
55,"SUFFIELD",1.4000000000000000e+02,66698.0000,"10,000 to 30,000",1.2366366923148233e+00
56,"EAST LYME",4.4000000000000000e+01,66539.0000,"10,000 to 30,000",1.2336886993603411e+00
57,"EAST HAMPTON",4.1000000000000000e+01,66326.0000,"10,000 to 30,000",1.2297395012515064e+00
58,"HARWINTON",6.7000000000000000e+01,66222.0000,"0 to 10,000",1.2278112542875683e+00
59,"BARKHAMSTED",5.0000000000000000e+00,65972.0000,"0 to 10,000",1.2231760452396403e+00
60,"NORTH HAVEN",1.0200000000000000e+02,65703.0000,"10,000 to 30,000",1.2181885603040696e+00
61,"NEW MILFORD",9.6000000000000000e+01,65354.0000,"10,000 to 30,000",1.2117178084731621e+00
62,"WASHINGTON",1.5100000000000000e+02,65288.0000,"0 to 10,000",1.2104941132845091e+00
63,"SOMERS",1.3000000000000000e+02,65273.0000,"0 to 10,000",1.2102160007416334e+00
64,"CHESTER",2.6000000000000000e+01,65156.0000,"0 to 10,000",1.2080467229072032e+00
65,"CANTON",2.3000000000000000e+01,65013.0000,"0 to 10,000",1.2053953833317883e+00
66,"COLCHESTER",2.8000000000000000e+01,64807.0000,"10,000 to 30,000",1.2015759710762954e+00
67,"COVENTRY",3.2000000000000000e+01,64680.0000,"10,000 to 30,000",1.1992212848799482e+00
68,"HARTLAND",6.6000000000000000e+01,64674.0000,"0 to 10,000",1.1991100398627978e+00
69,"NORTH BRANFORD",1.0000000000000000e+02,64438.0000,"10,000 to 30,000",1.1947344025215538e+00
70,"GOSHEN",5.5000000000000000e+01,64432.0000,"0 to 10,000",1.1946231575044035e+00
71,"WINDSOR",1.6500000000000000e+02,64137.0000,"10,000 to 30,000",1.1891536108278484e+00
72,"PORTLAND",1.1400000000000000e+02,63285.0000,"0 to 10,000",1.1733568183925096e+00
73,"WARREN",1.5000000000000000e+02,62798.0000,"0 to 10,000",1.1643274311671457e+00
74,"OLD SAYBROOK",1.0700000000000000e+02,62742.0000,"0 to 10,000",1.1632891443404096e+00
75,"LEDYARD",7.3000000000000000e+01,62647.0000,"10,000 to 30,000",1.1615277649021971e+00
76,"ELLINGTON",4.8000000000000000e+01,62405.0000,"10,000 to 30,000",1.1570408825438028e+00
