TANF11%,TANF10%,MUNICIPALITY,numbered,2011 TANF RECIPIENTS,2010 TANF RECIPIENTS,SORTID
5.1850189187455910e-02,5.4688001026101454e-02,"HARTFORD",6.5000000000000000e+01,6.4680000000000000e+03,6.8220000000000000e+03,1
3.5698196660887610e-02,3.5288657119844920e-02,"NEW BRITAIN",9.0000000000000000e+01,2.6150000000000000e+03,2.5850000000000000e+03,2
3.5516032926133534e-02,3.8812268516422319e-02,"WATERBURY",1.5200000000000000e+02,3.9220000000000000e+03,4.2860000000000000e+03,3
3.2713588721468921e-02,3.3921782894433074e-02,"NEW HAVEN",9.4000000000000000e+01,4.2510000000000000e+03,4.4080000000000000e+03,4
2.8956392227494718e-02,2.8526895500675418e-02,"BRIDGEPORT",1.5000000000000000e+01,4.1800000000000000e+03,4.1180000000000000e+03,5
2.8632360491291812e-02,2.9659176177876070e-02,"WINDHAM",1.6400000000000000e+02,7.2500000000000000e+02,7.5100000000000000e+02,6
2.6263430163151611e-02,2.8578663676156711e-02,"NEW LONDON",9.5000000000000000e+01,7.2600000000000000e+02,7.9000000000000000e+02,7
2.3237495076801892e-02,2.5091899698043849e-02,"MERIDEN",8.1000000000000000e+01,1.4160000000000000e+03,1.5290000000000000e+03,8
2.2361778106144564e-02,2.3716291097155524e-02,"NORWICH",1.0500000000000000e+02,9.0800000000000000e+02,9.6300000000000000e+02,9
2.0538602439689777e-02,2.1532405783545733e-02,"EAST HARTFORD",4.2000000000000000e+01,1.0540000000000000e+03,1.1050000000000000e+03,10
1.7683970336565887e-02,1.5661463465228440e-02,"ANSONIA",2.0000000000000000e+00,3.4100000000000000e+02,3.0200000000000000e+02,11
1.4377788795240456e-02,1.4460419765328044e-02,"BRISTOL",1.7000000000000000e+01,8.7000000000000000e+02,8.7500000000000000e+02,12
1.4098690835850957e-02,1.7119838872104734e-02,"SPRAGUE",1.3400000000000000e+02,4.2000000000000000e+01,5.1000000000000000e+01,13
1.3492149042434695e-02,1.2863353814092199e-02,"WEST HAVEN",1.5600000000000000e+02,7.5100000000000000e+02,7.1600000000000000e+02,14
1.3434701103936681e-02,1.5101020620704019e-02,"PUTNAM",1.1700000000000000e+02,1.2900000000000000e+02,1.4500000000000000e+02,15
1.2924071082390954e-02,3.2310177705977385e-03,"CANAAN",2.1000000000000000e+01,1.6000000000000000e+01,4.0000000000000000e+00,16
1.2549384150592610e-02,1.3478968161747618e-02,"DERBY",3.7000000000000000e+01,1.6200000000000000e+02,1.7400000000000000e+02,17
1.2338485793604552e-02,1.3812249374507318e-02,"MANCHESTER",7.8000000000000000e+01,7.2000000000000000e+02,8.0600000000000000e+02,18
1.1984249272384865e-02,1.3045711350796097e-02,"VERNON",1.4700000000000000e+02,3.5000000000000000e+02,3.8100000000000000e+02,19
1.1861550427793622e-02,1.2639357013222711e-02,"PLAINFIELD",1.1000000000000000e+02,1.8300000000000000e+02,1.9500000000000000e+02,20
1.1429556027798517e-02,1.2865429900637528e-02,"KILLINGLY",7.0000000000000000e+01,1.9900000000000000e+02,2.2400000000000000e+02,21
1.1284876488359694e-02,1.1995734849831172e-02,"WINCHESTER",1.6300000000000000e+02,1.2700000000000000e+02,1.3500000000000000e+02,22
1.0703112135682528e-02,1.3035841703715901e-02,"TORRINGTON",1.4400000000000000e+02,3.9000000000000000e+02,4.7500000000000000e+02,23
1.0353176922434667e-02,1.0102696835601570e-02,"GRISWOLD",5.8000000000000000e+01,1.2400000000000000e+02,1.2100000000000000e+02,24
9.9377319328259640e-03,1.1216638362999770e-02,"MIDDLETOWN",8.4000000000000000e+01,4.7400000000000000e+02,5.3500000000000000e+02,25
9.1595615103532285e-03,7.7953714981729601e-03,"BLOOMFIELD",1.1000000000000000e+01,1.8800000000000000e+02,1.6000000000000000e+02,26
8.8224299065420564e-03,1.0317757009345794e-02,"GROTON",5.9000000000000000e+01,3.5400000000000000e+02,4.1400000000000000e+02,27
8.7470529948406057e-03,9.1570711039737594e-03,"EAST HAVEN",4.3000000000000000e+01,2.5600000000000000e+02,2.6800000000000000e+02,28
7.9125921029609032e-03,7.2904718393374422e-03,"STRATFORD",1.3900000000000000e+02,4.0700000000000000e+02,3.7500000000000000e+02,29
7.8291348642185610e-03,7.0593245323811709e-03,"HAMDEN",6.3000000000000000e+01,4.7800000000000000e+02,4.3100000000000000e+02,30
7.5363825363825368e-03,8.3160083160083165e-03,"STERLING",1.3700000000000000e+02,2.9000000000000000e+01,3.2000000000000000e+01,31
7.5303842247206754e-03,7.6704843963433852e-03,"NORWALK",1.0400000000000000e+02,6.4500000000000000e+02,6.5700000000000000e+02,32
7.4796324480942804e-03,6.3076334573156341e-03,"STAMFORD",1.3600000000000000e+02,9.1900000000000000e+02,7.7500000000000000e+02,33
7.4341279799247173e-03,9.1279799247176909e-03,"NAUGATUCK",8.9000000000000000e+01,2.3700000000000000e+02,2.9100000000000000e+02,34
7.4328974535443912e-03,6.2973158981417757e-03,"WINDSOR",1.6500000000000000e+02,2.1600000000000000e+02,1.8300000000000000e+02,35
7.2921730675741371e-03,6.9275644141954303e-03,"BROOKLYN",1.9000000000000000e+01,6.0000000000000000e+01,5.7000000000000000e+01,36
7.1188609822428412e-03,7.7587585986242198e-03,"WINDSOR LOCKS",1.6600000000000000e+02,8.9000000000000000e+01,9.7000000000000000e+01,37
6.9234097793163130e-03,6.4906966681090436e-03,"CHAPLIN",2.4000000000000000e+01,1.6000000000000000e+01,1.5000000000000000e+01,38
6.9018404907975461e-03,4.9846625766871164e-03,"VOLUNTOWN",1.4800000000000000e+02,1.8000000000000000e+01,1.3000000000000000e+01,39
6.8347808922226607e-03,6.5263521515988949e-03,"DANBURY",3.4000000000000000e+01,5.5400000000000000e+02,5.2900000000000000e+02,40
6.5172752432818499e-03,8.5706633336309259e-03,"EAST WINDSOR",4.5000000000000000e+01,7.3000000000000000e+01,9.6000000000000000e+01,41
6.0199120166705257e-03,7.4091224820560311e-03,"ASHFORD",3.0000000000000000e+00,2.6000000000000000e+01,3.2000000000000000e+01,42
5.9594488629998877e-03,7.5949367088607592e-03,"ENFIELD",4.9000000000000000e+01,2.6600000000000000e+02,3.3900000000000000e+02,43
5.5385632801521036e-03,6.7785401339174999e-03,"STAFFORD",1.3500000000000000e+02,6.7000000000000000e+01,8.2000000000000000e+01,44
5.4711742609831783e-03,6.1244487996080354e-03,"PLYMOUTH",1.1200000000000000e+02,6.7000000000000000e+01,7.5000000000000000e+01,45
5.2804569211703217e-03,6.2503367638342584e-03,"STONINGTON",1.3800000000000000e+02,9.8000000000000000e+01,1.1600000000000000e+02,46
5.1720498205615369e-03,5.5942579691788050e-03,"THOMPSON",1.4200000000000000e+02,4.9000000000000000e+01,5.3000000000000000e+01,47
5.1546391752577319e-03,6.3795039297744206e-03,"MONTVILLE",8.7000000000000000e+01,1.0100000000000000e+02,1.2500000000000000e+02,48
5.0544323483670299e-03,6.2208398133748056e-03,"CANTERBURY",2.2000000000000000e+01,2.6000000000000000e+01,3.2000000000000000e+01,49
5.0214398555630787e-03,3.7801850598059130e-03,"PLAINVILLE",1.1100000000000000e+02,8.9000000000000000e+01,6.7000000000000000e+01,50
4.9528871708142061e-03,3.9864701618748492e-03,"SEYMOUR",1.2500000000000000e+02,8.2000000000000000e+01,6.6000000000000000e+01,51
4.9410870391486126e-03,4.9410870391486126e-03,"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.3000000000000000e+01,52
4.8157958102576452e-03,4.0934264387189985e-03,"SALEM",1.2200000000000000e+02,2.0000000000000000e+01,1.7000000000000000e+01,53
4.4348707551951343e-03,3.4211860111505320e-03,"THOMASTON",1.4100000000000000e+02,3.5000000000000000e+01,2.7000000000000000e+01,54
4.3499875714640814e-03,4.7228436490181457e-03,"COLCHESTER",2.8000000000000000e+01,7.0000000000000000e+01,7.6000000000000000e+01,55
4.1182331451345066e-03,2.9226170707406175e-03,"LEDYARD",7.3000000000000000e+01,6.2000000000000000e+01,4.4000000000000000e+01,56
4.0718411666298415e-03,3.7719768946687291e-03,"WEST HARTFORD",1.5500000000000000e+02,2.5800000000000000e+02,2.3900000000000000e+02,57
3.9639147074904315e-03,2.4603608529250955e-03,"LEBANON",7.2000000000000000e+01,2.9000000000000000e+01,1.8000000000000000e+01,58
3.8666388673022612e-03,4.2078128850054023e-03,"MILFORD",8.5000000000000000e+01,2.0400000000000000e+02,2.2200000000000000e+02,59
3.5978835978835977e-03,5.5026455026455029e-03,"PRESTON",1.1500000000000000e+02,1.7000000000000000e+01,2.6000000000000000e+01,60
3.5067212156633548e-03,5.2600818234950324e-03,"NORFOLK",9.9000000000000000e+01,6.0000000000000000e+00,9.0000000000000000e+00,61
3.4905257159139479e-03,3.0631144037612194e-03,"CROMWELL",3.3000000000000000e+01,4.9000000000000000e+01,4.3000000000000000e+01,62
3.4642857142857145e-03,3.1785714285714286e-03,"BRANFORD",1.4000000000000000e+01,9.7000000000000000e+01,8.9000000000000000e+01,63
3.4642032332563512e-03,3.4642032332563512e-03,"SCOTLAND",1.2400000000000000e+02,6.0000000000000000e+00,6.0000000000000000e+00,64
3.4522439585730723e-03,6.2140391254315308e-03,"LISBON",7.4000000000000000e+01,1.5000000000000000e+01,2.7000000000000000e+01,65
3.4305696958965961e-03,3.9396219733522199e-03,"WALLINGFORD",1.4900000000000000e+02,1.5500000000000000e+02,1.7800000000000000e+02,66
3.3606385213190504e-03,3.2556185675278303e-03,"PORTLAND",1.1400000000000000e+02,3.2000000000000000e+01,3.1000000000000000e+01,67
3.3282904689863843e-03,2.4205748865355520e-03,"ANDOVER",1.0000000000000000e+00,1.1000000000000000e+01,8.0000000000000000e+00,68
3.2753326509723643e-03,3.7359263050153529e-03,"WATERFORD",1.5300000000000000e+02,6.4000000000000000e+01,7.3000000000000000e+01,69
3.2332563510392609e-03,3.6240895363297211e-03,"NEW MILFORD",9.6000000000000000e+01,9.1000000000000000e+01,1.0200000000000000e+02,70
3.2310177705977385e-03,3.6925917378259868e-03,"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,4.8000000000000000e+01,71
3.2258064516129032e-03,3.4946236559139786e-03,"BETHEL",9.0000000000000000e+00,6.0000000000000000e+01,6.5000000000000000e+01,72
3.1996290285184327e-03,3.1996290285184327e-03,"SOUTHINGTON",1.3300000000000000e+02,1.3800000000000000e+02,1.3800000000000000e+02,73
3.1963064902779011e-03,2.7523750332948591e-03,"WATERTOWN",1.5400000000000000e+02,7.2000000000000000e+01,6.2000000000000000e+01,74
3.1217481789802288e-03,2.0811654526534861e-03,"FRANKLIN",5.3000000000000000e+01,6.0000000000000000e+00,4.0000000000000000e+00,75
3.0934057642975706e-03,3.4706503696997132e-03,"CLINTON",2.7000000000000000e+01,4.1000000000000000e+01,4.6000000000000000e+01,76
2.9826014913007458e-03,2.6512013256006629e-03,"WILLINGTON",1.6100000000000000e+02,1.8000000000000000e+01,1.6000000000000000e+01,77
2.9711716052356861e-03,2.3287561230225648e-03,"COVENTRY",3.2000000000000000e+01,3.7000000000000000e+01,2.9000000000000000e+01,78
2.9560384032339564e-03,2.8297119757453261e-03,"SHELTON",1.2700000000000000e+02,1.1700000000000000e+02,1.1200000000000000e+02,79
2.8677642060541690e-03,2.5491237387148167e-03,"PROSPECT",1.1600000000000000e+02,2.7000000000000000e+01,2.4000000000000000e+01,80
2.8157201054397315e-03,2.6959022286125092e-03,"WOLCOTT",1.6700000000000000e+02,4.7000000000000000e+01,4.5000000000000000e+01,81
2.8095148904289193e-03,2.5472935006555534e-03,"WETHERSFIELD",1.6000000000000000e+02,7.5000000000000000e+01,6.8000000000000000e+01,82
