Municipality,numbered,Moody's
"ANDOVER",1.0000000000000000e+00,
"ANSONIA",2.0000000000000000e+00,"A1"
"ASHFORD",3.0000000000000000e+00,"Aa3"
"AVON",4.0000000000000000e+00,"Aaa"
"BARKHAMSTED",5.0000000000000000e+00," "
"BEACON FALLS",6.0000000000000000e+00," "
"BERLIN",7.0000000000000000e+00,"Aa2"
"BETHANY",8.0000000000000000e+00,"Aa2"
"BETHEL",9.0000000000000000e+00,"Aa2"
"BETHLEHEM",1.0000000000000000e+01," "
"BLOOMFIELD",1.1000000000000000e+01,"Aa2"
"BOLTON",1.2000000000000000e+01,"Aa3"
"BOZRAH",1.3000000000000000e+01,"A1"
"BRANFORD",1.4000000000000000e+01,"Aa1"
"BRIDGEPORT",1.5000000000000000e+01,"A1"
"BRIDGEWATER",1.6000000000000000e+01," "
"BRISTOL",1.7000000000000000e+01,"Aa2"
"BROOKFIELD",1.8000000000000000e+01,"Aa1"
"BROOKLYN",1.9000000000000000e+01,"A1"
"BURLINGTON",2.0000000000000000e+01,"Aa2"
"CANAAN",2.1000000000000000e+01," "
"CANTERBURY",2.2000000000000000e+01,"A1"
"CANTON",2.3000000000000000e+01,"Aa2"
"CHAPLIN",2.4000000000000000e+01," "
"CHESHIRE",2.5000000000000000e+01,"Aa1"
"CHESTER",2.6000000000000000e+01,"Aa3"
"CLINTON",2.7000000000000000e+01,"Aa2"
"COLCHESTER",2.8000000000000000e+01,"Aa2"
"COLEBROOK",2.9000000000000000e+01,"A1"
"COLUMBIA",3.0000000000000000e+01,"Aa2"
"CORNWALL",3.1000000000000000e+01,"Aa2"
"COVENTRY",3.2000000000000000e+01,"Aa3"
"CROMWELL",3.3000000000000000e+01," "
"DANBURY",3.4000000000000000e+01,"Aa1"
"DARIEN",3.5000000000000000e+01,"Aaa"
"DEEP RIVER",3.6000000000000000e+01," "
"DERBY",3.7000000000000000e+01,"Aa3"
"DURHAM",3.8000000000000000e+01," "
"EAST GRANBY",3.9000000000000000e+01,"Aa2"
"EAST HADDAM",4.0000000000000000e+01,"Aa2"
"EAST HAMPTON",4.1000000000000000e+01,"Aa3"
"EAST HARTFORD",4.2000000000000000e+01,"Aa2"
"EAST HAVEN",4.3000000000000000e+01,"A3"
"EAST LYME",4.4000000000000000e+01,"Aa2"
"EAST WINDSOR",4.5000000000000000e+01,"Aa2"
"EASTFORD",4.6000000000000000e+01," "
"EASTON",4.7000000000000000e+01,"Aaa"
