MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.3346825000000000e+08,4.6682000000000000e+06,1.1412000000000000e+06,4.1500000000000000e+05,1.6131000000000000e+06,2.4819525000000000e+08,8.9246000000000000e+05,2.4730279000000000e+08,2.2876285000000000e+07,3.5617000000000000e+05,2.2520115000000000e+07,5.8727150000000000e+06,2.8837800000000000e+05,5.5843370000000000e+06,2.7694425000000000e+08,2.7540724200000000e+08,6.8895000000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,9.0546260000000000e+08,1.0769580000000000e+08,1.9999100000000000e+07,3.3360000000000000e+05,1.6937100000000000e+07,1.0505524950000000e+09,7.6087370000000000e+06,1.0429437580000000e+09,8.3038255000000000e+07,6.0650000000000000e+05,8.2431755000000000e+07,4.4273825000000000e+07,5.0293760000000000e+06,3.9244449000000000e+07,1.1778645750000000e+09,1.1646199620000000e+09,1.2429500000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.6728760000000000e+08,1.5480500000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.0412800000000000e+07,3.0877934000000000e+08,8.4789000000000000e+05,3.0793145000000000e+08,2.7802424000000000e+07,1.1240200000000000e+06,2.6678404000000000e+07,7.5565120000000000e+06,4.6306000000000000e+05,7.0934520000000000e+06,3.4413827600000000e+08,3.4170330600000000e+08,1.5598440000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.0741760600000000e+09,2.5358059000000000e+08,2.8741680000000000e+07,3.2432000000000000e+05,2.9319260000000000e+07,2.3917283700000000e+09,5.0332800000000000e+06,2.3866950900000000e+09,1.5326611000000000e+08,9.7431000000000000e+05,1.5229180000000000e+08,9.5082790000000000e+07,1.5916020000000000e+07,7.9166770000000000e+07,2.6400772700000000e+09,2.6181536600000000e+09,5.5864600000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.7761394000000000e+08,1.3294830000000000e+07,4.1255000000000000e+06,0.0000000000000000e+00,2.1320500000000000e+06,3.3247244000000000e+08,1.0545000000000000e+06,3.3141794000000000e+08,2.7968530000000000e+07,6.1129000000000000e+05,2.7357240000000000e+07,1.2711493000000000e+07,2.5453720000000000e+06,1.0166121000000000e+07,3.7315246300000000e+08,3.6894130100000000e+08,3.5306120000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.2163202000000000e+08,1.0235050000000000e+07,3.1963690000000000e+07,0.0000000000000000e+00,7.7978000000000000e+05,4.8014546000000000e+08,4.6424720000000000e+06,4.7550298800000000e+08,3.8945349000000000e+07,1.1482390000000000e+06,3.7797110000000000e+07,2.0916402000000000e+07,2.3942290000000000e+06,1.8522173000000000e+07,5.4000721100000000e+08,5.3182227100000000e+08,1.5534920000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.4981597200000000e+09,2.6469730000000000e+08,1.3823470000000000e+08,3.5575000000000000e+06,0.0000000000000000e+00,1.9563248000000000e+09,6.7217120000000000e+06,1.9496030880000000e+09,1.6212708000000000e+08,4.4366600000000000e+06,1.5769042000000000e+08,2.2302835000000000e+08,5.0931580000000000e+07,1.7209677000000000e+08,2.3414802300000000e+09,2.2793902780000000e+09,5.1675580000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.1592351000000000e+08,1.4357630000000000e+07,1.9323450000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,5.5684936000000000e+08,4.9792300000000000e+06,5.5187013000000000e+08,4.2242624000000000e+07,3.6672400000000000e+05,4.1875900000000000e+07,2.5437695000000000e+07,3.9578050000000000e+06,2.1479890000000000e+07,6.2452967900000000e+08,6.1522592000000000e+08,7.2447700000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.6444625500000000e+09,2.2828423000000000e+08,9.1271370000000000e+07,0.0000000000000000e+00,2.3342260000000000e+07,2.0518336600000000e+09,7.0553500000000000e+06,2.0447783100000000e+09,1.2461444000000000e+08,4.6837000000000000e+05,1.2414607000000000e+08,1.4569992000000000e+08,1.8808920000000000e+07,1.2689100000000000e+08,2.3221480200000000e+09,2.2958153800000000e+09,6.4473250000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.3005910000000000e+08,2.1597000000000000e+07,3.1460000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.6673006000000000e+08,2.5051300000000000e+06,3.6422493000000000e+08,3.1047000000000000e+07,3.8020000000000000e+05,3.0666800000000000e+07,7.8542320000000000e+06,1.2619050000000000e+06,6.5923270000000000e+06,4.0563129200000000e+08,4.0148405700000000e+08,1.1927960000000000e+07
