MUNICIPALITY,TANF RECIPIENTS FY 2008-09
"ANDOVER",1.0000000000000000e+00
"ANSONIA",3.0700000000000000e+02
"ASHFORD",1.3000000000000000e+01
"AVON",9.0000000000000000e+00
"BARKHAMSTED",9.0000000000000000e+00
"BEACON FALLS",1.0000000000000000e+01
"BERLIN",2.8000000000000000e+01
"BETHANY",9.0000000000000000e+00
"BETHEL",4.0000000000000000e+01
"BETHLEHEM",4.0000000000000000e+00
"BLOOMFIELD",1.5100000000000000e+02
"BOLTON",2.3000000000000000e+01
"BOZRAH",1.3000000000000000e+01
"BRANFORD",7.3000000000000000e+01
"BRIDGEPORT",3.6320000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.0300000000000000e+02
"BROOKFIELD",1.0000000000000000e+01
"BROOKLYN",6.5000000000000000e+01
"BURLINGTON",7.0000000000000000e+00
"CANAAN",1.0000000000000000e+00
"CANTERBURY",2.9000000000000000e+01
"CANTON",7.0000000000000000e+00
"CHAPLIN",1.3000000000000000e+01
"CHESHIRE",3.1000000000000000e+01
"CHESTER",6.0000000000000000e+00
"CLINTON",4.2000000000000000e+01
"COLCHESTER",5.2000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",5.0000000000000000e+00
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.7000000000000000e+01
"CROMWELL",3.0000000000000000e+01
"DANBURY",4.2100000000000000e+02
"DARIEN",2.0000000000000000e+00
"DEEP RIVER",2.0000000000000000e+00
"DERBY",1.6100000000000000e+02
"DURHAM",0.0000000000000000e+00
"EAST GRANBY",7.0000000000000000e+00
"EAST HADDAM",1.8000000000000000e+01
"EAST HAMPTON",3.4000000000000000e+01
"EAST HARTFORD",1.0560000000000000e+03
"EAST HAVEN",2.2100000000000000e+02
"EAST LYME",5.2000000000000000e+01
"EAST WINDSOR",7.6000000000000000e+01
"EASTFORD",1.0000000000000000e+00
"EASTON",0.0000000000000000e+00
"ELLINGTON",2.4000000000000000e+01
"ENFIELD",3.6200000000000000e+02
"ESSEX",7.0000000000000000e+00
"FAIRFIELD",5.5000000000000000e+01
"FARMINGTON",4.3000000000000000e+01
"FRANKLIN",6.0000000000000000e+00
"GLASTONBURY",6.0000000000000000e+01
"GOSHEN",3.0000000000000000e+00
"GRANBY",1.0000000000000000e+01
"GREENWICH",5.7000000000000000e+01
"GRISWOLD",9.5000000000000000e+01
"GROTON",3.4900000000000000e+02
"GROTON (City of)",
"GUILFORD",4.9000000000000000e+01
"HADDAM",1.0000000000000000e+01
"HAMDEN",4.0500000000000000e+02
"HAMPTON",8.0000000000000000e+00
"HARTFORD",6.8830000000000000e+03
"HARTLAND",2.0000000000000000e+00
"HARWINTON",2.0000000000000000e+00
"HEBRON",8.0000000000000000e+00
"KENT",0.0000000000000000e+00
"KILLINGLY",2.0300000000000000e+02
"KILLINGWORTH",8.0000000000000000e+00
"LEBANON",1.6000000000000000e+01
"LEDYARD",4.7000000000000000e+01
"LISBON",2.7000000000000000e+01
"LITCHFIELD",1.0000000000000000e+01
"LYME",1.0000000000000000e+00
"MADISON",1.2000000000000000e+01
"MANCHESTER",7.7900000000000000e+02
"MANSFIELD",3.2000000000000000e+01
"MARLBOROUGH",2.0000000000000000e+01
"MERIDEN",1.4210000000000000e+03
"MIDDLEBURY",1.8000000000000000e+01
"MIDDLEFIELD",4.0000000000000000e+00
"MIDDLETOWN",4.7200000000000000e+02
"MILFORD",1.7300000000000000e+02
"MONROE",2.1000000000000000e+01
"MONTVILLE",9.9000000000000000e+01
"MORRIS",6.0000000000000000e+00
"NAUGATUCK",2.7100000000000000e+02
"NEW BRITAIN",2.3930000000000000e+03
"NEW CANAAN",9.0000000000000000e+00
"NEW FAIRFIELD",2.6000000000000000e+01
"NEW HARTFORD",2.0000000000000000e+00
"NEW HAVEN",4.4400000000000000e+03
"NEW LONDON",7.4600000000000000e+02
"NEW MILFORD",9.1000000000000000e+01
"NEWINGTON",6.5000000000000000e+01
"NEWTOWN",2.6000000000000000e+01
"NORFOLK",1.2000000000000000e+01
"NORTH BRANFORD",2.7000000000000000e+01
"NORTH CANAAN",1.8000000000000000e+01
"NORTH HAVEN",4.8000000000000000e+01
"NORTH STONINGTON",1.1000000000000000e+01
"NORWALK",5.2300000000000000e+02
"NORWICH",8.5900000000000000e+02
"OLD LYME",9.0000000000000000e+00
"OLD SAYBROOK",1.3000000000000000e+01
"ORANGE",6.0000000000000000e+00
"OXFORD",2.0000000000000000e+01
"PLAINFIELD",1.7000000000000000e+02
"PLAINVILLE",8.2000000000000000e+01
"PLYMOUTH",8.5000000000000000e+01
"POMFRET",9.0000000000000000e+00
"PORTLAND",3.8000000000000000e+01
"PRESTON",2.1000000000000000e+01
"PROSPECT",2.0000000000000000e+01
"PUTNAM",1.6400000000000000e+02
"REDDING",6.0000000000000000e+00
"RIDGEFIELD",6.0000000000000000e+00
"ROCKY HILL",3.6000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",2.0000000000000000e+01
"SALISBURY",1.0000000000000000e+00
"SCOTLAND",5.0000000000000000e+00
"SEYMOUR",8.1000000000000000e+01
"SHARON",7.0000000000000000e+00
"SHELTON",9.7000000000000000e+01
"SHERMAN",1.0000000000000000e+00
"SIMSBURY",3.2000000000000000e+01
"SOMERS",2.3000000000000000e+01
"SOUTH WINDSOR",3.1000000000000000e+01
"SOUTHBURY",1.4000000000000000e+01
"SOUTHINGTON",1.2600000000000000e+02
"SPRAGUE",4.0000000000000000e+01
"STAFFORD",8.4000000000000000e+01
"STAMFORD",5.7900000000000000e+02
"STERLING",2.8000000000000000e+01
"STONINGTON",1.0400000000000000e+02
"STRATFORD",3.3200000000000000e+02
"SUFFIELD",2.1000000000000000e+01
"THOMASTON",2.6000000000000000e+01
"THOMPSON",5.4000000000000000e+01
"TOLLAND",2.3000000000000000e+01
"TORRINGTON",3.8500000000000000e+02
"TRUMBULL",2.8000000000000000e+01
