Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2010 Population,Moody's_Bond_Ratings_July2010,area lmt,ACGLFY10,EGL,TANF10 Recipients,empl,ACMR,enrollmt,RPA Identifier
"ANDOVER","BP",2.0100000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",5971683.0000,2265619.0000,8354767.0000,132438.0000,23600.0000,0.0000,1700318.0000,"Y",1676718.0000,2378006.0000,7692664.0000,10158446.0000,7844581.0000,221444.0000,9691506.0000,2454.0000,2454.0000,164405.0000,164405.0000,304989.0000,337566.0000,304989.0000,0.0000,"N","N",4593365.8231,1080000.0000,5673365.8231,7543508.0000,7498858.0000,9.9408100316192416e-01,7670979.0000,7612306.0000,9.9235130222622170e-01,3.3050000000000000e+03,,1.5449999999999999e+01,273376069.0000,376368493.9644,8.0000000000000000e+00,7.0646766169154232e-02,2.7600000000000001e+01,6.3135000000000002e+02,"Capital Region COG"
"ANSONIA","BP",2.0100000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",30648977.0000,19552172.0000,50207878.0000,-937437.0000,2589084.0000,309974.0000,9210616.0000,"N",6621532.0000,26465983.0000,28819951.0000,57791187.0000,32282747.0000,8982720.0000,57010349.0000,0.0000,0.0000,0.0000,0.0000,780838.0000,961217.0000,780838.0000,0.0000,"N","N",,25054330.0000,25054330.0000,29387424.0000,28460138.0000,9.6844616254898697e-01,31832641.0000,29235841.0000,9.1842335670483644e-01,1.9283000000000000e+04,"A1",6.0300000000000002e+00,1164802258.0000,1533969463.5233,3.0200000000000000e+02,1.1020528435320695e-01,2.5250000000000000e+01,2.8679699999999998e+03,"Valley COG"
"ASHFORD","BP",2.0100000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",11373113.0000,3927424.0000,15395534.0000,254671.0000,0.0000,150000.0000,1767465.0000,"N",1767465.0000,5101308.0000,8390817.0000,14031472.0000,10885166.0000,536021.0000,13627610.0000,0.0000,0.0000,245640.0000,245640.0000,158222.0000,-619383.0000,158222.0000,0.0000,"N","N",2843691.0712,3675000.0000,6518691.0712,8371275.0000,8216323.0000,9.8149003586669892e-01,8792801.0000,8319109.0000,9.4612729208815260e-01,4.3190000000000000e+03,"Aa3",3.8799999999999997e+01,338733226.0000,462339581.4056,3.2000000000000000e+01,7.8154075176777069e-02,2.4649999999999999e+01,6.9674000000000001e+02,"Windham Region COG"
"AVON","KE",2.0100000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",109234397.0000,8985086.0000,118219483.0000,2483375.0000,0.0000,448442.0000,5100539.0000,"N",5100539.0000,5477312.0000,61251149.0000,68466476.0000,45144616.0000,5080764.0000,67761526.0000,335809.0000,335809.0000,1193742.0000,1193742.0000,-152983.0000,577298.0000,-152983.0000,0.0000,"N","N",,36770000.0000,36770000.0000,61073939.0000,60965260.0000,9.9822053396621435e-01,61193847.0000,61062537.0000,9.9785419602725745e-01,1.8145000000000000e+04,"Aaa",2.3120000000000001e+01,2605892030.0000,3744303900.0000,1.4000000000000000e+01,6.0096930533117932e-02,2.3410000000000000e+01,3.6165200000000000e+03,"Capital Region COG"
"BARKHAMSTED","JG",2.0100000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",4198760.0000,2903683.0000,7102443.0000,-372193.0000,3452.0000,100000.0000,1418781.0000,"N",1415329.0000,2045723.0000,8122029.0000,10315687.0000,8464826.0000,0.0000,10307196.0000,80395.0000,80395.0000,153375.0000,153375.0000,-64489.0000,-6237.0000,-64489.0000,0.0000,"N","N",1871068.0148,0.0000,1871068.0148,8092241.0000,7928572.0000,9.7977457665929624e-01,8512289.0000,8074797.0000,9.4860465851194664e-01,3.8070000000000000e+03,,3.6219999999999999e+01,367111492.0000,527705388.5714,7.0000000000000000e+00,9.1426071741032372e-02,2.2030000000000001e+01,6.7183000000000004e+02,"Litchfield Hills Cncl of Elected Ofcls"
"BEACON FALLS","BP",2.0100000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",9130218.0000,2310863.0000,11829735.0000,2679579.0000,0.0000,200000.0000,1069481.0000,"Y",1069481.0000,4378865.0000,12828491.0000,17537157.0000,12534084.0000,419468.0000,17924817.0000,265000.0000,389000.0000,179300.0000,179300.0000,-301960.0000,-11666.0000,-177960.0000,0.0000,"N","N",9149317.0217,2931920.0000,12081237.0217,12619510.0000,12190644.0000,9.6601563769116239e-01,13258903.0000,12430242.0000,9.3750154141711417e-01,6.0620000000000000e+03,,9.7699999999999996e+00,525195140.0000,685384413.7354,2.0000000000000000e+01,9.5308350545883741e-02,2.4230000000000000e+01,1.0389000000000001e+03,"COG of Central Naugatuck Valley"
"BERLIN","KE",2.0100000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",56765965.0000,19081655.0000,76002030.0000,306877.0000,0.0000,1300000.0000,8779806.0000,"N",8779806.0000,11239269.0000,51226824.0000,67266980.0000,42342339.0000,1578234.0000,67177138.0000,254547.0000,4899547.0000,594060.0000,5409307.0000,-249671.0000,-319308.0000,-419918.0000,0.0000,"N","N",,13260000.0000,13260000.0000,51124528.0000,50315554.0000,9.8417640158946795e-01,52568314.0000,50836464.0000,9.6705524928952447e-01,1.9901000000000000e+04,"Aa2",2.6449999999999999e+01,2246374363.0000,3211952015.3556,2.9000000000000000e+01,7.6863819224514254e-02,2.2690000000000001e+01,3.2193400000000001e+03,"Central CT RPA"
"BETHANY","JG",2.0100000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17491793.0000,4373533.0000,22067334.0000,-155661.0000,127238.0000,0.0000,2709413.0000,"Y",2582175.0000,3281826.0000,16745660.0000,20822855.0000,15467143.0000,1037688.0000,20327253.0000,0.0000,0.0000,380100.0000,380100.0000,115502.0000,-120288.0000,115502.0000,0.0000,"N","N",11256639.4461,6835748.0000,18092387.4461,16634942.0000,16495305.0000,9.9160580181163238e-01,16912662.0000,16663398.0000,9.8526169328045465e-01,5.5780000000000000e+03,"Aa2",2.0960000000000001e+01,616703798.0000,886672444.2857,4.0000000000000000e+00,6.9117185045554502e-02,2.7000000000000000e+01,1.0395899999999999e+03,"South Central Regional COG"
"BETHEL","JG",2.0100000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",62262355.0000,8122511.0000,70713698.0000,3337486.0000,583080.0000,0.0000,7027133.0000,"N",6444053.0000,11350228.0000,49385189.0000,61871861.0000,38917838.0000,4058700.0000,61239489.0000,0.0000,0.0000,595166.0000,595166.0000,37206.0000,132848.0000,37206.0000,0.0000,"Y","N",,37953097.0000,37953097.0000,49090160.0000,48405405.0000,9.8605107418676163e-01,50034431.0000,49125725.0000,9.8183838645032262e-01,1.8600000000000000e+04,"Aa2",1.6789999999999999e+01,2287532530.0000,3103236798.0405,6.5000000000000000e+01,7.7165062916358260e-02,2.1640000000000001e+01,3.0613099999999999e+03,"Housatonic Council of Elected Ofcls"
"BETHLEHEM","BP",2.0100000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",4647825.0000,2754256.0000,7402081.0000,634163.0000,1626.0000,300000.0000,1175296.0000,"N",1173670.0000,1303034.0000,8574722.0000,10089587.0000,6808906.0000,166974.0000,9261747.0000,0.0000,0.0000,403313.0000,403313.0000,424527.0000,267028.0000,424527.0000,0.0000,"N","N",1223382.8199,0.0000,1223382.8199,8488564.0000,8302768.0000,9.7811219895379242e-01,8893100.0000,8463300.0000,9.5167039614982407e-01,3.6160000000000000e+03,,1.9359999999999999e+01,398161162.0000,569541445.7143,1.4000000000000000e+01,7.7342588001983140e-02,2.1410000000000000e+01,4.9504000000000002e+02,"COG of Central Naugatuck Valley"
