Municipality,EQUALIZED NET GRAND LIST GLYR 2008
"ANDOVER",376368493.9644
"ANSONIA",1533969463.5233
"ASHFORD",462339581.4056
"AVON",3744303900.0000
"BARKHAMSTED",527705388.5714
"BEACON FALLS",685384413.7354
"BERLIN",3211952015.3556
"BETHANY",886672444.2857
"BETHEL",3103236798.0405
"BETHLEHEM",569541445.7143
"BLOOMFIELD",3141560761.0404
"BOLTON",669352492.8571
"BOZRAH",326361925.0304
"BRANFORD",5401901383.0385
"BRIDGEPORT",9673049562.8571
"BRIDGEWATER",529125497.0397
"BRISTOL",6164454137.1428
"BROOKFIELD",3320021555.7870
"BROOKLYN",747131497.1293
"BURLINGTON",1300774610.0000
"CANAAN",280134345.3784
"CANTERBURY",522399471.7963
"CANTON",1587849750.0000
"CHAPLIN",242380057.1429
"CHESHIRE",4074658490.0000
"CHESTER",721675968.5714
"CLINTON",2295657543.6252
"COLCHESTER",1752979788.6252
"COLEBROOK",218508765.0978
"COLUMBIA",725100730.9210
"CORNWALL",582171240.6236
"COVENTRY",1390215935.0579
"CROMWELL",1881859721.7212
"DANBURY",9919097244.3142
"DARIEN",9431803792.8571
"DEEP RIVER",752337779.9813
"DERBY",1251941463.1245
"DURHAM",1095711674.3787
"EAST GRANBY",814818201.4286
"EAST HADDAM",1314533886.8138
"EAST HAMPTON",1636772456.5573
"EAST HARTFORD",4390028134.4966
"EAST HAVEN",2968044076.6008
"EAST LYME",3192934418.5870
"EAST WINDSOR",1557733170.5865
"EASTFORD",227584489.6338
"EASTON",1828719690.6494
"ELLINGTON",1852462870.8137
"ENFIELD",4284864471.7362
"ESSEX",1601097690.0000
"FAIRFIELD",15496392315.8324
"FARMINGTON",5396675900.2551
"FRANKLIN",299180590.0000
"GLASTONBURY",5953642196.4347
"GOSHEN",813661999.9303
"GRANBY",1482340791.8346
"GREENWICH",43955745675.5002
"GRISWOLD",1113390831.5806
"GROTON",5650001775.6534
"GROTON (City of)",
"GUILFORD",4482204305.6728
"HADDAM",1206332485.3384
"HAMDEN",6351601147.0142
"HAMPTON",218166754.2857
"HARTFORD",7309947142.0422
"HARTLAND",280976603.6784
"HARWINTON",793695065.7143
"HEBRON",1133998455.7675
"KENT",931212628.5714
"KILLINGLY",1738014001.2660
"KILLINGWORTH",1092312963.2178
"LEBANON",932756311.4286
"LEDYARD",1675024840.0664
"LISBON",565225684.6431
"LITCHFIELD",1557736187.1429
"LYME",860149200.0000
"MADISON",4435997612.0158
"MANCHESTER",6155739358.1882
"MANSFIELD",1457680568.4264
"MARLBOROUGH",864120394.7632
"MERIDEN",5216822520.5305
"MIDDLEBURY",1466080059.2954
"MIDDLEFIELD",633422988.7369
"MIDDLETOWN",5585366023.4287
"MILFORD",6972378127.5877
"MONROE",3562432689.3213
"MONTVILLE",2036255401.1881
"MORRIS",580352540.1962
"NAUGATUCK",2692330967.6553
"NEW BRITAIN",4136232103.8067
"NEW CANAAN",11631228942.8571
"NEW FAIRFIELD",2522788136.1816
"NEW HARTFORD",1007330607.1429
"NEW HAVEN",8460921705.2414
"NEW LONDON",2347432932.8571
"NEW MILFORD",4399655945.1954
"NEWINGTON",3955308064.0343
"NEWTOWN",5018212097.0347
"NORFOLK",442989642.8571
"NORTH BRANFORD",1863009222.2937
"NORTH CANAAN",521255305.5394
"NORTH HAVEN",4264040806.6422
"NORTH STONINGTON",845341287.8599
"NORWALK",18035743032.8571
"NORWICH",3400921848.5714
"OLD LYME",2235912077.2839
"OLD SAYBROOK",3638339562.8571
"ORANGE",2393418492.7638
"OXFORD",2061759239.7375
"PLAINFIELD",1377877084.1696
"PLAINVILLE",2219047277.6518
"PLYMOUTH",1153756485.2648
"POMFRET",517088016.1854
"PORTLAND",1178765034.7819
"PRESTON",618471910.2121
"PROSPECT",1149694824.7553
"PUTNAM",912378650.0000
"REDDING",2489043778.6413
"RIDGEFIELD",7572191654.9324
"ROCKY HILL",3156073965.7143
"ROXBURY",1047484169.2037
"SALEM",546970133.8570
"SALISBURY",1611125732.0984
"SCOTLAND",183716527.1429
"SEYMOUR",1936954352.1702
"SHARON",1196530602.8571
"SHELTON",6983737202.9715
"SHERMAN",1045613754.2857
"SIMSBURY",3674498580.1206
"SOMERS",1178254633.6942
"SOUTH WINDSOR",3778484982.6743
"SOUTHBURY",3356054673.9956
"SOUTHINGTON",5796798062.0650
"SPRAGUE",288318916.7537
"STAFFORD",1155528631.4606
"STAMFORD",32681857513.3896
"STERLING",377214192.8627
"STONINGTON",4050929946.8960
"STRATFORD",6788547960.3459
"SUFFIELD",1985159390.0000
"THOMASTON",823889467.1348
"THOMPSON",926075551.1536
"TOLLAND",1920145442.7726
"TORRINGTON",3233808430.2217
"TRUMBULL",6753991307.5393
"UNION",135199428.5714
"VERNON",2455538730.7188
"VOLUNTOWN",285912209.2920
"WALLINGFORD",6770743132.2288
"WARREN",523960020.3712
"WASHINGTON",1786697785.7143
"WATERBURY",7035972433.6567
"WATERFORD",5048818612.1200
"WATERTOWN",2796244961.4286
"WEST HARTFORD",7472184092.4690
"WEST HAVEN",4282163842.7330
"WESTBROOK",1843445781.1035
"WESTON",3740858564.2857
"WESTPORT",14649694183.3865
"WETHERSFIELD",3299287214.2857
"WILLINGTON",670234110.0000
"WILTON",6733875071.7961
"WINCHESTER",1159887231.9483
"WINDHAM",1381718061.2545
"WINDSOR",4295760010.0000
"WINDSOR LOCKS",1965482324.2857
"WOLCOTT",2017577873.2462
"WOODBRIDGE",1709202757.3351
"WOODBURY",1733594465.7143
"WOODSTOCK",1030406354.3367
