Municipality,numbered,TOWN CODE,Net Grand List - 2009 GL Year
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,3.4862731000000000e+08
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,1.2437017700000000e+09
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,5.2773915110000000e+09
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,3.6683856350000000e+09
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.9104425720000000e+09
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,4.9998504630000000e+09
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,3.0066137400000000e+09
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,1.3325333440000000e+09
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.6225545670000000e+09
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,1.0906749050000000e+10
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,2.3154931000000000e+09
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,4.7168072200000000e+08
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,5.0584827120000000e+09
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,8.1382833000000000e+08
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,9.2581549400000000e+08
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,2.7246140720000000e+09
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1.2364624800000000e+09
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,1.3641402070000000e+09
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1.1839631800000000e+09
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,1.2138490440000000e+09
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,7.8589253800000000e+08
