Entity,Initials,DBplans,DCplans,CSplans,Comment,NOPEBO
"CORNWALL","KE",0,0,0,,0
"EAST HADDAM","KE",0,0,0,,0
"EASTFORD","KE",0,0,0,,0
"MADISON","KE",0,0,0,,0
"MARLBOROUGH","KE",0,0,0,,0
"THOMPSON","KE",0,0,0,,0
"TOLLAND","KE",0,0,0,,0
"AVON","VR",0,0,0,,0
"BARKHAMSTED","BP",0,0,0,,0
"BETHANY","BP",0,0,0,,0
"BETHEL","BP",0,0,0,,0
"BETHLEHEM","BP",0,0,0,,0
"BLOOMFIELD","BP",0,0,0,,0
"BOLTON","BP",0,0,0,,0
"BRIDGEWATER","BP",0,0,0,,0
"GREENWICH","BP",1,0,0,,0
"CANTON","BP",0,0,0,,0
"CHESHIRE","BP",0,0,0,,0
"BRISTOL","BP",1,0,0,,0
"BROOKFIELD","BP",0,0,0,,0
"CHESTER","BP",0,0,0,,0
"COLCHESTER","BP",0,0,0,,0
"COVENTRY","BP",0,0,0,,0
"CROMWELL","BP",0,0,0,,0
"DANBURY","BP",1,0,0,,0
"DARIEN","BP",0,0,0,,0
"EAST GRANBY","VR",0,0,0,,0
"EAST HAMPTON","VR",0,0,0,,0
"EAST HARTFORD","VR",1,0,0,,0
"EAST LYME","VR",0,0,0,,0
"ELLINGTON","VR",0,0,0,,0
"ENFIELD","VR",0,0,0,,0
"ESSEX","VR",0,0,0,,0
"FARMINGTON","VR",0,0,0,,0
"GLASTONBURY","VR",0,0,0,,0
"GOSHEN","VR",0,0,0,,0
"GRANBY","VR",0,0,0,,0
"GRISWOLD","VR",0,0,0,,0
"GROTON","VR",1,0,0,,0
"CITY OF GROTON","VR",0,0,0,,0
"HADDAM","VR",0,0,0,,0
"HAMDEN","VR",1,0,0,,0
"HARTFORD","VR",1,0,,,0
"KENT","VR",0,0,0,,0
"LEDYARD","VR",0,0,0,,0
"LITCHFIELD","VR",0,0,0,,0
"LYME","VR",0,0,0,,0
"MANSFIELD","VR",0,0,0,,0
"MERIDEN","VR",1,0,0,,0
"MIDDLEBURY","VR",0,0,0,,0
"MIDDLETOWN","VR",1,0,0,,0
