Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2009 Population,Moody's_Bond_Ratings_July2009,area lmt,ACGLFY09,EGL,TANF09 Recipients,empl,ACMR,enrollmt,RPA Identifier
"CANTERBURY","JG",2.0090000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",8720492.0000,3506695.0000,12238450.0000,393554.0000,20951.0000,354412.0000,2468144.0000,"N",2447193.0000,6521505.0000,7771389.0000,14448522.0000,11115591.0000,555084.0000,13880643.0000,0.0000,0.0000,323273.0000,323273.0000,244606.0000,105839.0000,244606.0000,0.0000,"N","N",,860000.0000,860000.0000,7766561.0000,7540208.0000,9.7085544039375982e-01,8013324.0000,7681050.0000,9.5853481027348952e-01,5.1280000000000000e+03,"A3",3.9890000000000001e+01,352611705.0000,594781959.0031,2.9000000000000000e+01,7.6007326007326001e-02,2.1949999999999999e+01,8.2470000000000005e+02,"Northeastern CT COG"
"CANTON","JG",2.0090000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",62724243.0000,9328198.0000,72085413.0000,5705509.0000,53242.0000,0.0000,4957892.0000,"N",4904650.0000,5757548.0000,28602409.0000,35387073.0000,23364439.0000,2499938.0000,33899533.0000,0.0000,0.0000,840351.0000,840351.0000,647189.0000,680709.0000,647189.0000,0.0000,"N","N",,14964853.0000,14964853.0000,28601886.0000,28273607.0000,9.8852247016158301e-01,29286434.0000,28502374.0000,9.7322787745343120e-01,1.0125000000000000e+04,"A1",2.4559999999999999e+01,935738370.0000,1773180001.1440,7.0000000000000000e+00,6.3427109974424550e-02,3.0430000000000000e+01,1.7839000000000001e+03,"Capital Region COG"
"CHAPLIN","BP",2.0090000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",4997663.0000,1158392.0000,6168242.0000,-85124.0000,60359.0000,0.0000,658824.0000,"N",598465.0000,2773117.0000,4797747.0000,7678158.0000,5908056.0000,340290.0000,7616724.0000,0.0000,0.0000,215500.0000,215500.0000,-154066.0000,-15289.0000,-154066.0000,0.0000,"N","N",0.0000,727322.0000,727322.0000,4755876.0000,4634102.0000,9.7439504310036684e-01,4877032.0000,4724458.0000,9.6871580912325361e-01,2.5580000000000000e+03,,1.9440000000000001e+01,128335602.0000,252863043.7894,1.3000000000000000e+01,7.4933687002652516e-02,3.6750000000000000e+01,3.1411000000000001e+02,"Windham Region COG"
"CHESHIRE","JG",2.0090000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",90671138.0000,17499337.0000,108349095.0000,5568835.0000,1182325.0000,767999.0000,10469545.0000,"N",9287220.0000,22600186.0000,71546221.0000,96524388.0000,63051443.0000,10774110.0000,96814093.0000,957948.0000,957948.0000,2188392.0000,2188392.0000,-1520149.0000,2093880.0000,-1520149.0000,0.0000,"N","Y",,71537604.0000,71537604.0000,71072332.0000,70787990.0000,9.9599925889585272e-01,71342403.0000,71015553.0000,9.9541857315907900e-01,2.9142000000000000e+04,"Aa2",3.2909999999999997e+01,2530559326.0000,4354132462.6944,3.1000000000000000e+01,6.3717532467532464e-02,2.8050000000000001e+01,4.9974399999999996e+03,"COG of Central Naugatuck Valley"
"CHESTER","JG",2.0090000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",7539826.0000,2690745.0000,10513656.0000,1156534.0000,396889.0000,0.0000,1745016.0000,"N",1348127.0000,1409258.0000,10320015.0000,12115914.0000,8432858.0000,431190.0000,11700744.0000,133650.0000,133650.0000,649523.0000,649523.0000,-100703.0000,77360.0000,-100703.0000,0.0000,"N","N",4686141.4710,2650000.0000,7336141.4710,10314055.0000,10158718.0000,9.8493928915445961e-01,10497203.0000,10213160.0000,9.7294107773280181e-01,3.8320000000000000e+03,"A2",1.6030000000000001e+01,430292779.0000,732029079.2089,6.0000000000000000e+00,6.5623641894828333e-02,2.3870000000000001e+01,5.8457000000000005e+02,"CT River Estuary RPA"
"CLINTON","BP",2.0090000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",39339083.0000,4426253.0000,43765336.0000,-559710.0000,355367.0000,250000.0000,5753929.0000,"N",5398562.0000,9965372.0000,34605637.0000,45547139.0000,30748842.0000,1927537.0000,44394439.0000,0.0000,0.0000,2088248.0000,2088248.0000,-935548.0000,1312285.0000,-935548.0000,0.0000,"N","N",,16281980.0000,16281980.0000,34582861.0000,34290064.0000,9.9153346508838580e-01,35086712.0000,34508033.0000,9.8350717502398055e-01,1.3609000000000000e+04,"A1",1.6280000000000001e+01,1652335831.0000,2547863310.3314,4.2000000000000000e+01,6.7132518093336660e-02,2.0940000000000001e+01,2.1294299999999998e+03,"CT River Estuary RPA"
"COLCHESTER","JG",2.0090000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",61882487.0000,7620818.0000,69503305.0000,-3431646.0000,149183.0000,285922.0000,3906018.0000,"N",3756835.0000,18522145.0000,29517925.0000,49427283.0000,36921607.0000,4053201.0000,50028793.0000,0.0000,0.0000,311331.0000,311331.0000,-912841.0000,-210668.0000,-912841.0000,0.0000,"N","N",,21320000.0000,21320000.0000,28929185.0000,28468875.0000,9.8408838686606626e-01,30182156.0000,29189724.0000,9.6711858490162206e-01,1.5685000000000000e+04,"A1",4.9060000000000002e+01,1249468361.0000,1851878356.0779,5.2000000000000000e+01,7.2713229614917801e-02,2.3010000000000002e+01,3.2099299999999998e+03,"Southeastern CT COG"
"COLEBROOK","BP",2.0090000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",4123079.0000,2033740.0000,6161142.0000,-290141.0000,0.0000,3300.0000,1160576.0000,"N",1160576.0000,884172.0000,4484151.0000,5481185.0000,3831032.0000,190152.0000,5488981.0000,7000.0000,7000.0000,50500.0000,50500.0000,-51296.0000,-230060.0000,-51296.0000,0.0000,"N","N",885691.2103,947725.0000,1833416.2103,4379600.0000,4303508.0000,9.8262581057630838e-01,4549808.0000,4408130.0000,9.6886066401043736e-01,1.5320000000000000e+03,"A3",3.1489999999999998e+01,183977350.0000,267797540.2123,0.0000000000000000e+00,3.9506172839506172e-02,2.3699999999999999e+01,2.5578999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"COLUMBIA","BP",2.0090000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",8268377.0000,4812570.0000,13099640.0000,511526.0000,135598.0000,0.0000,1125745.0000,"Y",990147.0000,4528289.0000,11434910.0000,16400118.0000,11894985.0000,960533.0000,16316545.0000,5547.0000,5547.0000,208227.0000,208227.0000,-119107.0000,-742071.0000,-119107.0000,0.0000,"N","N",,4410000.0000,4410000.0000,11438102.0000,11265889.0000,9.8494391814306259e-01,11671325.0000,11365615.0000,9.7380674430709457e-01,5.3690000000000000e+03,"A1",2.1350000000000001e+01,522681610.0000,802659882.7572,5.0000000000000000e+00,6.6838046272493568e-02,2.1800000000000001e+01,8.4713000000000000e+02,"Windham Region COG"
"CORNWALL","BP",2.0090000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",5745155.0000,2133233.0000,8125893.0000,-11214.0000,0.0000,164042.0000,1137249.0000,"N",1137249.0000,610758.0000,5451529.0000,6161919.0000,4016396.0000,386569.0000,5923353.0000,20000.0000,20000.0000,569000.0000,569000.0000,-310434.0000,-36210.0000,-310434.0000,0.0000,"N","N",550809.3014,2355000.0000,2905809.3014,5416627.0000,5354070.0000,9.8845093080989332e-01,5602966.0000,5395825.0000,9.6303011654898496e-01,1.4880000000000000e+03,"A1",4.6000000000000000e+01,448232780.0000,608085059.4465,0.0000000000000000e+00,6.1594202898550728e-02,1.2050000000000001e+01,1.8605000000000001e+02,"Northwestern CT COG"
