Sort ID,Municipality,numbered,Per Capita Income,Population_Range,PercentOfState
150,"WEST HAVEN",1.5600000000000000e+02,21121.0000,"30,000 to 70,000",7.3423486059931864e-01
151,"THOMPSON",1.4200000000000000e+02,21003.0000,"0 to 10,000",7.3013279566154488e-01
152,"SPRAGUE",1.3400000000000000e+02,20796.0000,"0 to 10,000",7.2293680038934849e-01
153,"NORWICH",1.0500000000000000e+02,20742.0000,"30,000 to 70,000",7.2105958423138428e-01
154,"MERIDEN",8.1000000000000000e+01,20597.0000,"30,000 to 70,000",7.1601891121462835e-01
155,"PUTNAM",1.1700000000000000e+02,20597.0000,"0 to 10,000",7.1601891121462835e-01
156,"ANSONIA",2.0000000000000000e+00,20504.0000,"10,000 to 30,000",7.1278592783146766e-01
157,"BROOKLYN",1.9000000000000000e+01,20359.0000,"0 to 10,000",7.0774525481471184e-01
158,"KILLINGLY",7.0000000000000000e+01,19779.0000,"10,000 to 30,000",6.8758256274768825e-01
159,"STERLING",1.3700000000000000e+02,19679.0000,"0 to 10,000",6.8410623652923586e-01
160,"NORTH CANAAN",1.0100000000000000e+02,18971.0000,"0 to 10,000",6.5949384690259338e-01
161,"PLAINFIELD",1.1000000000000000e+02,18706.0000,"10,000 to 30,000",6.5028158242369460e-01
162,"NEW LONDON",9.5000000000000000e+01,18437.0000,"10,000 to 30,000",6.4093026489605787e-01
163,"NEW BRITAIN",9.0000000000000000e+01,18404.0000,"70,000 & Up",6.3978307724396855e-01
164,"MANSFIELD",7.9000000000000000e+01,18094.0000,"10,000 to 30,000",6.2900646596676635e-01
165,"WATERBURY",1.5200000000000000e+02,17701.0000,"70,000 & Up",6.1534450392824858e-01
166,"WINDHAM",1.6400000000000000e+02,16978.0000,"10,000 to 30,000",5.9021066536883826e-01
167,"NEW HAVEN",9.4000000000000000e+01,16393.0000,"70,000 & Up",5.6987415699089206e-01
168,"BRIDGEPORT",1.5000000000000000e+01,16306.0000,"70,000 & Up",5.6684975318083852e-01
169,"HARTFORD",6.5000000000000000e+01,13428.0000,"70,000 & Up",4.6680108461378017e-01
