Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2006 Population,Moody's_Bond_Ratings_July_2006,area lmt,ACGLFY06,EGL,TANF06 Recipients,empl,ACMR,enrollmt,RPA Identifier
"DERBY","IT",2.0060000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",16984274.0000,-2214115.0000,14773451.0000,2801394.0000,12927148.0000,21220962.0000,36180673.0000,17687616.0000,2018324.0000,36222773.0000,0.0000,0.0000,0.0000,0.0000,-42100.0000,-262840.0000,-42100.0000,0.0000,,17818840.0000,17818840.0000,0.0000,0.0000,3695628.0000,"N",3695628.0000,"N","N",20931815.0000,20406922.0000,9.7492367479838704e-01,21582980.0000,20697676.0000,9.5898138255236298e-01,1.2481000000000000e+04,"A2",4.9800000000000004e+00,551989604.0000,1459683254.8433,1.8000000000000000e+02,5.1043053706169551e-02,3.7700000000000003e+01,1.5678700000000001e+03,"Valley COG"
"DURHAM","IT",2.0060000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",42207954.0000,4356298.0000,46611721.0000,1139923.0000,3973961.0000,18708621.0000,23378329.0000,17640859.0000,386600.0000,22716799.0000,41219.0000,41219.0000,533450.0000,533450.0000,169299.0000,675527.0000,169299.0000,0.0000,13552417.8188,424944.0000,13977361.8188,0.0000,319367.0000,2466130.0000,"N",2466130.0000,"N","N",18538219.0000,18244253.0000,9.8414270540228266e-01,18901496.0000,18448777.0000,9.7604850959945177e-01,7.3580000000000000e+03,"A1",2.3600000000000001e+01,485445266.0000,1079852970.8211,3.0000000000000000e+00,3.2701421800947865e-02,3.8000000000000000e+01,1.4591600000000001e+03,"Midstate RPA"
"EAST GRANBY","VR",2.0060000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",17373780.0000,2685198.0000,21296948.0000,313796.0000,2218894.0000,12191642.0000,15072547.0000,10485501.0000,936356.0000,14873059.0000,176095.0000,176095.0000,524443.0000,524443.0000,-148860.0000,94492.0000,-148860.0000,0.0000,,3365000.0000,3365000.0000,630081.0000,0.0000,1980517.0000,"Y",1350436.0000,"N","N",12157342.9600,12023981.9700,9.8903041639618261e-01,12356683.8300,12099073.8400,9.7915217435809387e-01,5.0820000000000000e+03,"A1",1.7480000000000000e+01,464584172.0000,763598123.1807,1.6000000000000000e+01,3.4698126301179737e-02,2.6000000000000000e+01,9.0275999999999999e+02,"Capital Region COG"
"EAST HADDAM","IT",2.0060000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",27472089.0000,13980136.0000,41893215.0000,3940826.0000,5696833.0000,17817041.0000,24947031.0000,16458760.0000,1176168.0000,23429804.0000,577313.0000,577313.0000,1810017.0000,1810017.0000,284523.0000,1316104.0000,284523.0000,0.0000,,5641771.0000,5641771.0000,0.0000,708288.0000,5283991.0000,"N",5283991.0000,"N","N",17715547.0000,17595334.0000,9.9321426541331181e-01,17835866.0000,17693544.0000,9.9202046034658475e-01,8.8570000000000000e+03,"A1",5.4329999999999998e+01,668543639.0000,1305937728.9151,1.5000000000000000e+01,3.2990912682734096e-02,2.6280000000000001e+01,1.4324000000000001e+03,"Midstate RPA"
"EAST HAMPTON","VR",2.0060000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",30215516.0000,12370924.0000,42603871.0000,2384796.0000,9921660.0000,22942563.0000,34096010.0000,22524248.0000,2238077.0000,32324339.0000,0.0000,0.0000,1481671.0000,1481671.0000,290000.0000,890434.0000,290000.0000,0.0000,,12566057.0000,12566057.0000,12640.0000,210559.0000,3611999.0000,"N",3599359.0000,"N","N",22858750.0000,22613423.0000,9.8926769836495876e-01,23065475.0000,22775216.0000,9.8741586722146413e-01,1.2459000000000000e+04,"A2",3.5590000000000003e+01,730131648.0000,1509409785.3961,4.3000000000000000e+01,4.5586950189338768e-02,3.0810000000000002e+01,2.1413600000000001e+03,"Midstate RPA"
"EAST HARTFORD","VR",2.0060000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",131885000.0000,-3616000.0000,128462000.0000,-5357000.0000,48209000.0000,97463000.0000,150941000.0000,82195000.0000,9009000.0000,150591000.0000,1501000.0000,1501000.0000,1438000.0000,1438000.0000,413000.0000,1560000.0000,413000.0000,0.0000,,52549000.0000,52549000.0000,344000.0000,0.0000,11772000.0000,"N",11428000.0000,"N","N",96830000.0000,94413000.0000,9.7503872766704536e-01,100019000.0000,96164000.0000,9.6145732310860932e-01,4.8934000000000000e+04,"A1",1.8020000000000000e+01,2429042625.0000,4356509974.7773,1.1330000000000000e+03,5.8600677091729808e-02,4.1340000000000003e+01,8.3628999999999996e+03,"Capital Region COG"
"EAST HAVEN","IT",2.0060000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",7002768.0000,5945562.0000,14030361.0000,-959227.0000,27601688.0000,47296258.0000,78564860.0000,43677226.0000,7375775.0000,77845635.0000,1920850.0000,19520850.0000,647014.0000,18247014.0000,1993061.0000,-3402908.0000,1993061.0000,0.0000,,61256687.0000,61256687.0000,0.0000,1500000.0000,5945562.0000,"N",5945562.0000,"N","N",46827092.0000,45789090.0000,9.7783330214056430e-01,48530894.0000,46701304.0000,9.6230050903245257e-01,2.8741000000000000e+04,"A3",1.2260000000000000e+01,1232712463.0000,3072469404.8297,2.8200000000000000e+02,4.7027674462585892e-02,3.7750000000000000e+01,4.0192900000000000e+03,"South Central Regional COG"
"EAST LYME","VR",2.0060000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",30304694.0000,18269502.0000,56554548.0000,1910858.0000,10446197.0000,37424788.0000,53495779.0000,36033192.0000,5395523.0000,54048574.0000,2349672.0000,2379356.0000,1548212.0000,1548212.0000,248665.0000,-23149.0000,278349.0000,0.0000,,50826864.0000,50826864.0000,969819.0000,520863.0000,6007507.0000,"N",5037688.0000,"N","N",37126584.0000,36772984.0000,9.9047582724012528e-01,37667000.0000,37097235.0000,9.8487362943690759e-01,1.8321000000000000e+04,"Aa3",3.4030000000000001e+01,1371201388.0000,3146338300.1437,4.8000000000000000e+01,3.5793009341870470e-02,2.6841000000000001e+01,3.0032600000000002e+03,"Southeastern CT COG"
"EAST WINDSOR","IT",2.0060000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",7509844.0000,9125784.0000,16669363.0000,1725849.0000,6943296.0000,19972600.0000,27975056.0000,16372043.0000,1793109.0000,27323233.0000,464272.0000,464272.0000,655610.0000,655610.0000,460485.0000,437671.0000,460485.0000,0.0000,,13865224.0000,13865224.0000,0.0000,400000.0000,3842968.0000,"N",3842968.0000,"N","N",19843791.0000,19253947.0000,9.7027563936749783e-01,20778215.0000,19603438.0000,9.4346112021653450e-01,1.0563000000000000e+04,"A1",2.6280000000000001e+01,727427884.0000,1342083583.5125,6.6000000000000000e+01,4.7759241086032057e-02,2.6997800000000002e+01,1.6349700000000000e+03,"Capital Region COG"
"EASTFORD","IT",2.0060000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",1906819.0000,1082201.0000,3028312.0000,372024.0000,1415767.0000,3083011.0000,4643340.0000,3332556.0000,28915.0000,4457496.0000,0.0000,0.0000,33250.0000,33250.0000,152594.0000,110246.0000,152594.0000,0.0000,,0.0000,0.0000,71949.0000,0.0000,642101.0000,"N",570152.0000,"N","N",3090272.0000,3014396.0000,9.7544682150956297e-01,3155846.0000,3046165.0000,9.6524513553576441e-01,1.7900000000000000e+03,,2.8879999999999999e+01,98103751.0000,209323730.8375,3.0000000000000000e+00,3.5425101214574900e-02,3.1300000000000001e+01,2.7310000000000002e+02,"Northeastern CT COG"
