Municipality,Mill Rates  FY 2011-12,Comments
"ANDOVER",2.7600000000000001e+01,
"ANSONIA",2.6250000000000000e+01,
"ASHFORD",2.5600000000000001e+01,
"AVON",2.5039999999999999e+01,
"BARKHAMSTED",2.2670000000000002e+01,
"BEACON FALLS",2.6100000000000001e+01,
"BERLIN",2.4500000000000000e+01,
"BETHANY",2.8059999999999999e+01,
"BETHEL",2.3239999999999998e+01,
"BETHLEHEM",2.0670000000000002e+01,
"BLOOMFIELD",3.3700000000000003e+01,
"BOLTON",2.9329999999999998e+01,
"BOZRAH",2.2000000000000000e+01,
"BRANFORD",2.4270000000000000e+01,
"BRIDGEPORT",3.9640000000000001e+01,
"BRIDGEWATER",1.6250000000000000e+01,
"BRISTOL",2.7239999999999998e+01,
"BROOKFIELD",1.9940000000000001e+01,
"BROOKLYN",2.2379999999999999e+01,
"BURLINGTON",2.6750000000000000e+01,
"CANAAN",2.0500000000000000e+01,
"CANTERBURY",2.1199999999999999e+01,
"CANTON",2.6280000000000001e+01,
"CHAPLIN",3.0149999999999999e+01,
"CHESHIRE",2.6850000000000001e+01,
"CHESTER",2.2109999999999999e+01,
"CLINTON",2.4920000000000002e+01,
"COLCHESTER",2.5850000000000001e+01,
"COLEBROOK",2.6000000000000000e+01,
"COLUMBIA",2.3550000000000001e+01,
"CORNWALL",1.2500000000000000e+01,
"COVENTRY",2.7000000000000000e+01,
"CROMWELL",2.6800000000000001e+01,
"DANBURY",2.1690000000000001e+01,
"DARIEN",1.2199999999999999e+01,
"DEEP RIVER",2.4280000000000001e+01,
"DERBY",2.7899999999999999e+01,
"DURHAM",3.0460000000000001e+01,
"EAST GRANBY",2.7000000000000000e+01,
"EAST HADDAM",2.1100000000000001e+01,
"EAST HAMPTON",2.5680000000000000e+01,
"EAST HARTFORD",3.4420000000000002e+01,
"EAST HAVEN",2.6590000000000000e+01,
"EAST LYME",1.9472000000000001e+01,
"EAST WINDSOR",2.4375599999999999e+01,
"EASTFORD",2.1250000000000000e+01,
"EASTON",2.2949999999999999e+01,
"ELLINGTON",2.7500000000000000e+01,
"ENFIELD",2.3879999999999999e+01,
"ESSEX",1.7980000000000000e+01,
"FAIRFIELD",2.2469999999999999e+01,
"FARMINGTON",2.1270000000000000e+01,
"FRANKLIN",2.0539999999999999e+01,
"GLASTONBURY",3.0050000000000001e+01,
"GOSHEN",1.5000000000000000e+01,
"GRANBY",3.0100000000000001e+01,
"GREENWICH",1.0111000000000001e+01,
"GRISWOLD",1.8730000000000000e+01,
"GROTON",1.8890000000000001e+01,
"GROTON (City of)",4.1349999999999998e+00,
"GUILFORD",2.1520000000000000e+01,
"HADDAM",2.8230000000000000e+01,
