Municipality,Mill Rates  FY 2011-12,Comments
"HAMDEN",3.4767099999999999e+01,
"HAMPTON",2.4800000000000001e+01,
"HARTFORD",7.1790000000000006e+01,
"HARTLAND",2.3500000000000000e+01,
"HARWINTON",2.3899999999999999e+01,
"HEBRON",3.0260000000000002e+01,
"KENT",1.4270000000000000e+01,
"KILLINGLY",1.9199999999999999e+01,
"KILLINGWORTH",2.2770000000000000e+01,
"LEBANON",2.2800000000000001e+01,
"LEDYARD",2.7930000000000000e+01,
"LISBON",1.6859999999999999e+01,
"LITCHFIELD",2.2199999999999999e+01,
"LYME",1.3500000000000000e+01,
"MADISON",1.9430000000000000e+01,
"MANCHESTER",3.1980000000000000e+01,
"MANSFIELD",2.6680000000000000e+01,
"MARLBOROUGH",2.7199999999999999e+01,
"MERIDEN",2.9829999999999998e+01,
"MIDDLEBURY",2.3789999999999999e+01,
"MIDDLEFIELD",2.8160000000000000e+01,
"MIDDLETOWN",2.6100000000000001e+01,
"MILFORD",2.8890000000000001e+01,
"MONROE",2.8789999999999999e+01,
"MONTVILLE",2.3000000000000000e+01,
"MORRIS",2.0829999999999998e+01,
"NAUGATUCK",3.2810000000000002e+01,
"NEW BRITAIN",3.6630000000000003e+01,
"NEW CANAAN",1.3853000000000000e+01,
"NEW FAIRFIELD",2.3949999999999999e+01,
"NEW HARTFORD",2.4199999999999999e+01,
"NEW HAVEN",4.3899999999999999e+01,
"NEW LONDON",2.5309999999999999e+01,
"NEW MILFORD",2.4750000000000000e+01,
"NEWINGTON",3.0020000000000000e+01,
"NEWTOWN",2.4370000000000001e+01,
"NORFOLK",2.0109999999999999e+01,
"NORTH BRANFORD",2.7770000000000000e+01,
"NORTH CANAAN",2.1000000000000000e+01,
"NORTH HAVEN",2.6539999999999999e+01,
"NORTH STONINGTON",2.0289999999999999e+01,
"NORWALK",2.0742000000000001e+01,
"NORWICH",2.5120000000000001e+01,
"OLD LYME",1.8800000000000001e+01,
"OLD SAYBROOK",1.4060000000000000e+01,
"ORANGE",3.0199999999999999e+01,
"OXFORD",2.3210000000000001e+01,
"PLAINFIELD",2.0789999999999999e+01,
"PLAINVILLE",2.8980000000000000e+01,
"PLYMOUTH",3.1500000000000000e+01,
"POMFRET",2.2260000000000002e+01,
"PORTLAND",2.8149999999999999e+01,
"PRESTON",1.9430000000000000e+01,
"PROSPECT",2.5199999999999999e+01,
"PUTNAM",1.3940000000000000e+01,
"REDDING",2.2789999999999999e+01,
"RIDGEFIELD",2.0609999999999999e+01,
"ROCKY HILL",2.4500000000000000e+01,
"ROXBURY",1.1900000000000000e+01,
"SALEM",2.4500000000000000e+01,
"SALISBURY",1.0000000000000000e+01,
"SCOTLAND",3.0070000000000000e+01,
"SEYMOUR",2.7620000000000001e+01,
"SHARON",1.1350000000000000e+01,
"SHELTON",1.8570000000000000e+01,
"SHERMAN",1.5800000000000001e+01,
"SIMSBURY",3.0859999999999999e+01,
"SOMERS",2.2120000000000001e+01,
"SOUTH WINDSOR",2.8780000000000001e+01,
"SOUTHBURY",2.1399999999999999e+01,
"SOUTHINGTON",2.4280000000000001e+01,
"SPRAGUE",2.5750000000000000e+01,
"STAFFORD",2.8960000000000001e+01,
"STAMFORD",1.7489999999999998e+01,
"STERLING",2.1109999999999999e+01,
"STONINGTON",1.5630000000000001e+01,
"STRATFORD",3.4149999999999999e+01,
"SUFFIELD",2.4170000000000002e+01,
"THOMASTON",2.6980000000000000e+01,
"THOMPSON",2.1010000000000002e+01,
"TOLLAND",2.9730000000000000e+01,
"TORRINGTON",3.2500000000000000e+01,
"TRUMBULL",2.5000000000000000e+01,
"UNION",2.3050000000000001e+01,
"VERNON",2.9899999999999999e+01,
"VOLUNTOWN",2.4170000000000002e+01,
"WALLINGFORD",2.5219999999999999e+01,
"WARREN",1.2250000000000000e+01,
"WASHINGTON",1.1000000000000000e+01,
"WATERBURY",4.1818399999999997e+01,
"WATERFORD",1.8789999999999999e+01,
"WATERTOWN",2.3320000000000000e+01,
"WEST HARTFORD",3.9439999999999998e+01,
"WEST HAVEN",3.1250000000000000e+01,
"WESTBROOK",1.6960000000000001e+01,
"WESTON",2.3930000000000000e+01,
"WESTPORT",1.7430000000000000e+01,
"WETHERSFIELD",3.1420000000000002e+01,
"WILLINGTON",2.3579999999999998e+01,
"WILTON",2.0850000000000001e+01,
"WINCHESTER",2.5430000000000000e+01,
"WINDHAM",2.8149999999999999e+01,"per approved budget"
"WINDSOR",2.8030000000000001e+01,
"WINDSOR LOCKS",2.3399999999999999e+01,
"WOLCOTT",2.2680000000000000e+01,
"WOODBRIDGE",3.3079999999999998e+01,
"WOODBURY",2.2460000000000001e+01,
"WOODSTOCK",1.8420000000000002e+01,
