MUNICIPALITES,numbered,Total_Revenue
"HEBRON",68,21029797.0000
"KENT",69,16324353.0000
"KILLINGLY",70,38782819.0000
"KILLINGWORTH",71,12122992.0000
"LEBANON",72,16324353.0000
"LEDYARD",73,35409748.0000
"LISBON",74,8876034.0000
"LITCHFIELD",75,20114292.0000
"LYME",76,4133412.0000
"MADISON",77,42100165.0000
"MANCHESTER",78,135314075.0000
"MANSFIELD",79,36133913.0000
"MARLBOROUGH",80,12552247.0000
"MERIDEN",81,156642284.0000
"MIDDLEBURY",82,18300991.0000
"MIDDLEFIELD",83,9197072.0000
"MIDDLETOWN",84,111584000.0000
"MILFORD",85,129835093.0000
"MONROE",86,49033972.0000
"MONTVILLE",87,45486052.0000
"MORRIS",88,5455204.0000
"NAUGATUCK",89,73953053.0000
"NEW BRITAIN",90,208169651.0000
"NEW CANAAN",91,63652365.0000
"NEW FAIRFIELD",92,32136819.0000
"NEW HARTFORD",93,15036804.0000
"NEW HAVEN",94,456285144.0000
"NEW LONDON",95,81460719.0000
"NEW MILFORD",96,68074615.0000
"NEWINGTON",97,66584322.0000
"NEWTOWN",98,64060424.0000
"NORFOLK",99,6032874.0000
"NORTH BRANFORD",100,33464302.0000
"NORTH CANAAN",101,7818652.0000
"NORTH HAVEN",102,61737935.0000
"NORTH STONINGTON",103,13040874.0000
"NORWALK",104,213706722.0000
"NORWICH",105,149381862.0000
"OLD LYME",106,16823673.0000
"OLD SAYBROOK",107,24767757.0000
"ORANGE",108,36368119.0000
"OXFORD",109,21196024.0000
"PLAINFIELD",110,36625159.0000
"PLAINVILLE",111,41591426.0000
"PLYMOUTH",112,30036777.0000
"POMFRET",113,7484856.0000
"PORTLAND",114,21145718.0000
"PRESTON",115,10381347.0000
"PROSPECT",116,14708711.0000
"PUTNAM",117,21904086.0000
"REDDING",118,23601716.0000
"RIDGEFIELD",119,67161478.0000
"ROCKY HILL",120,38188735.0000
"ROXBURY",121,5493728.0000
"SALEM",122,9430791.0000
"SALISBURY",123,9668171.0000
"SCOTLAND",124,3509804.0000
"SEYMOUR",125,30733500.0000
"SHARON",126,7031629.0000
"SHELTON",127,78206960.0000
"SHERMAN",128,6470079.0000
"SIMSBURY",129,58173561.0000
"SOMERS",130,20333723.0000
"SOUTH WINDSOR",131,67608952.0000
"SOUTHBURY",132,35275243.0000
"SOUTHINGTON",133,84852196.0000
"SPRAGUE",134,9588647.0000
"STAFFORD",135,28287053.0000
"STAMFORD",136,328566600.0000
"STERLING",137,7330061.0000
"STONINGTON",138,47468376.0000
"STRATFORD",139,124301538.0000
"SUFFIELD",140,31574099.0000
"THOMASTON",141,18691079.0000
"THOMPSON",142,17462840.0000
"TOLLAND",143,30268900.0000
"TORRINGTON",144,79242671.0000
"TRUMBULL",145,88437152.0000
"UNION",146,1617078.0000
"VERNON",147,65858378.0000
"VOLUNTOWN",148,5864120.0000
"WALLINGFORD",149,150551386.0000
"WARREN",150,2789185.0000
"WASHINGTON",151,9818367.0000
"WATERBURY",152,348539830.0000
"WATERFORD",153,62007806.0000
"WATERTOWN",154,48585813.0000
"WEST HARTFORD",155,149976413.0000
"WEST HAVEN",156,119194706.0000
"WESTBROOK",157,14465910.0000
"WESTON",158,36384590.0000
"WESTPORT",159,103108849.0000
"WETHERSFIELD",160,52560224.0000
"WILLINGTON",161,11489727.0000
"WILTON",162,59192187.0000
"WINCHESTER",163,27939945.0000
"WINDHAM",164,60084679.0000
"WINDSOR",165,70410475.0000
"WINDSOR LOCKS",166,29808061.0000
"WOLCOTT",167,38708396.0000
"WOODBRIDGE",168,27051722.0000
"WOODBURY",169,15633478.0000
"WOODSTOCK",170,15497107.0000
"GROTON (City of)",60,56000303.0000
