Municipality,Numbered,ADM 2015-16,NCE 2015-16
"ANDOVER",1.0000000000000000e+00,5.0225999999999999e+02,8056311.0000
"ANSONIA",2.0000000000000000e+00,2.5244600000000000e+03,35271956.0000
"ASHFORD",3.0000000000000000e+00,5.6282000000000005e+02,10743894.0000
"AVON",4.0000000000000000e+00,3.2924499999999998e+03,51777946.0000
"BARKHAMSTED",5.0000000000000000e+00,5.6473000000000002e+02,9477322.0000
"BEACON FALLS",6.0000000000000000e+00,8.9982000000000005e+02,13849221.0000
"BERLIN",7.0000000000000000e+00,2.9384299999999998e+03,46355300.0000
"BETHANY",8.0000000000000000e+00,8.4069000000000005e+02,14651504.0000
"BETHEL",9.0000000000000000e+00,2.9303099999999999e+03,46224952.0000
"BETHLEHEM",1.0000000000000000e+01,3.5269999999999999e+02,6913920.0000
"BLOOMFIELD",1.1000000000000000e+01,2.2382900000000000e+03,47362809.0000
"BOLTON",1.2000000000000000e+01,7.5917999999999995e+02,13278156.0000
"BOZRAH",1.3000000000000000e+01,3.0769999999999999e+02,5390717.0000
"BRANFORD",1.4000000000000000e+01,3.1215200000000000e+03,53794400.0000
"BRIDGEPORT",1.5000000000000000e+01,2.0945509999999998e+04,300448040.0000
"BRIDGEWATER",1.6000000000000000e+01,1.3622999999999999e+02,3978146.0000
"BRISTOL",1.7000000000000000e+01,8.3927800000000007e+03,116607029.0000
"BROOKFIELD",1.8000000000000000e+01,2.7313600000000001e+03,38579527.0000
"BROOKLYN",1.9000000000000000e+01,1.2254000000000001e+03,17747641.0000
"BURLINGTON",2.0000000000000000e+01,1.6243099999999999e+03,23455367.0000
"CANAAN",2.1000000000000000e+01,1.1145000000000000e+02,3226113.0000
"CANTERBURY",2.2000000000000000e+01,6.4858000000000004e+02,11366359.0000
"CANTON",2.3000000000000000e+01,1.6382100000000000e+03,25768001.0000
"CHAPLIN",2.4000000000000000e+01,2.8763000000000000e+02,5789396.0000
"CHESHIRE",2.5000000000000000e+01,4.4013900000000003e+03,67062890.0000
"CHESTER",2.6000000000000000e+01,4.4319999999999999e+02,8098269.0000
"CLINTON",2.7000000000000000e+01,1.8628900000000001e+03,31282843.0000
"COLCHESTER",2.8000000000000000e+01,2.7052900000000000e+03,39810264.0000
"COLEBROOK",2.9000000000000000e+01,1.9534000000000000e+02,3580866.0000
"COLUMBIA",3.0000000000000000e+01,6.9763999999999999e+02,12191045.0000
"CORNWALL",3.1000000000000000e+01,1.2841000000000000e+02,3877111.0000
"COVENTRY",3.2000000000000000e+01,1.7367400000000000e+03,26922603.0000
"CROMWELL",3.3000000000000000e+01,2.1043800000000001e+03,29308826.0000
"DANBURY",3.4000000000000000e+01,1.0870820000000000e+04,139082742.0000
"DARIEN",3.5000000000000000e+01,4.8599399999999996e+03,93864094.0000
"DEEP RIVER",3.6000000000000000e+01,6.2439999999999998e+02,11038086.0000
"DERBY",3.7000000000000000e+01,1.5445999999999999e+03,23749687.0000
"DURHAM",3.8000000000000000e+01,1.1519700000000000e+03,22420943.0000
"EAST GRANBY",3.9000000000000000e+01,9.0679999999999995e+02,17157963.0000
"EAST HADDAM",4.0000000000000000e+01,1.1068499999999999e+03,19820608.0000
"EAST HAMPTON",4.1000000000000000e+01,1.9840200000000000e+03,29175285.0000
"EAST HARTFORD",4.2000000000000000e+01,8.0920900000000001e+03,108731623.0000
"EAST HAVEN",4.3000000000000000e+01,3.4143800000000001e+03,54113741.0000
"EAST LYME",4.4000000000000000e+01,2.6159499999999998e+03,40890719.0000
"EAST WINDSOR",4.5000000000000000e+01,1.2034100000000001e+03,22976308.0000
"EASTFORD",4.6000000000000000e+01,1.7850000000000000e+02,3684857.0000
"EASTON",4.7000000000000000e+01,1.3939000000000001e+03,26808201.0000
"ELLINGTON",4.8000000000000000e+01,2.7327100000000000e+03,35482640.0000
"ENFIELD",4.9000000000000000e+01,5.5527799999999997e+03,77153048.0000
"ESSEX",5.0000000000000000e+01,8.1341999999999996e+02,15526049.0000
"FAIRFIELD",5.1000000000000000e+01,1.0125969999999999e+04,167691944.0000
"FARMINGTON",5.2000000000000000e+01,4.0484699999999998e+03,65735108.0000
