Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"WESTPORT",159,"F",180450822.0000,182788558.0000,183066622.0000,193810900.0000
"WETHERSFIELD",160,"H",83571259.0000,84329250.0000,84008668.0000,86007604.0000
"WILLINGTON",161,"T",12029030.0000,12072954.0000,12085613.0000,12179188.0000
"WILTON",162,"F",114255219.0000,115047609.0000,114781528.0000,116913974.0000
"WINCHESTER",163,"L",22223820.0000,22653061.0000,22791912.0000,23372266.0000
"WINDHAM",164,"W",35149389.0000,35573741.0000,35694454.0000,36352591.0000
"WINDSOR",165,"H",87708131.0000,88799152.0000,88399876.0000,90008967.0000
"WINDSOR LOCKS",166,"H",32326187.0000,32876532.0000,32492554.0000,33685954.0000
"WOLCOTT",167,"NH",35229163.0000,35905630.0000,35713680.0000,36876492.0000
"WOODBRIDGE",168,"NH",42762202.0000,42933994.0000,42924311.0000,43097001.0000
"WOODBURY",169,"L",29075186.0000,29629544.0000,29526835.0000,31126062.0000
"WOODSTOCK",170,"W",15727208.0000,15975226.0000,15920137.0000,16333620.0000
"ANDOVER",1,"T",8002240.0000,8122124.0000,8072721.0000,8239220.0000
"ANSONIA",2,"NH",32491245.0000,33615325.0000,33028463.0000,35658243.0000
"ASHFORD",3,"W",9701012.0000,9881076.0000,9871073.0000,10571778.0000
"AVON",4,"H",74332894.0000,74537630.0000,74524177.0000,74868589.0000
"BARKHAMSTED",5,"L",9288403.0000,9543351.0000,9425581.0000,10266970.0000
"BEACON FALLS",6,"NH",15566826.0000,15980394.0000,15902139.0000,17014564.0000
"BERLIN",7,"H",65747950.0000,66490030.0000,66235008.0000,67755067.0000
"BETHANY",8,"NH",19171150.0000,19406173.0000,19454209.0000,19845347.0000
"BETHEL",9,"F",60045483.0000,60745636.0000,60607978.0000,61704400.0000
"BETHLEHEM",10,"L",8270751.0000,8428522.0000,8489957.0000,9024533.0000
"BLOOMFIELD",11,"H",72243207.0000,73160192.0000,73040942.0000,74508382.0000
"BOLTON",12,"T",15652602.0000,15823160.0000,15736518.0000,15949111.0000
"BOZRAH",13,"NL",5847985.0000,5970977.0000,5994032.0000,6297901.0000
"BRANFORD",14,"NH",92889024.0000,94341895.0000,94101089.0000,97677289.0000
"BRIDGEPORT",15,"F",293406881.0000,298378832.0000,295217003.0000,342229488.0000
"BRIDGEWATER",16,"L",6708829.0000,6727869.0000,6723549.0000,6756631.0000
"BRISTOL",17,"H",131820000.0000,134361000.0000,133562000.0000,137717000.0000
"BROOKFIELD",18,"F",57032684.0000,57482464.0000,57518090.0000,58269638.0000
"BROOKLYN",19,"W",12857963.0000,13036384.0000,13056507.0000,13356583.0000
"BURLINGTON",20,"H",27861413.0000,28062665.0000,28190320.0000,28648198.0000
"CANAAN",21,"L",3974930.0000,4049996.0000,4057192.0000,4192146.0000
"CANTERBURY",22,"W",8449483.0000,8547776.0000,8654090.0000,8826908.0000
"CANTON",23,"H",31950097.0000,32173858.0000,32361346.0000,32942431.0000
"CHAPLIN",24,"W",5482932.0000,5560595.0000,5559408.0000,5670570.0000
"CHESHIRE",25,"NH",83523479.0000,83710090.0000,83621913.0000,83872028.0000
"CHESTER",26,"M",10952639.0000,11090749.0000,11059963.0000,11322959.0000
"CLINTON",27,"M",39951426.0000,40224220.0000,40127482.0000,40837552.0000
"COLCHESTER",28,"NL",36947219.0000,37393155.0000,37468297.0000,38620553.0000
"COLEBROOK",29,"L",4940233.0000,5019028.0000,5038342.0000,5191046.0000
"COLUMBIA",30,"T",12633343.0000,12792401.0000,12745391.0000,13003047.0000
"CORNWALL",31,"L",5965120.0000,6095638.0000,6097860.0000,6511521.0000
"COVENTRY",32,"T",28863937.0000,29216611.0000,29410526.0000,30016720.0000
"CROMWELL",33,"M",40500455.0000,40850410.0000,40590925.0000,41199832.0000
