MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2014 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.6313390500000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,8.9409898500000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.9746670400000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.5777982500000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,3.4169996500000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.7922158800000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2.1771548280000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.5130617100000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.8901220000000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.6753296700000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2.0339849900000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,4.2851980300000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,2.2007397700000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.4856844010000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,7.1365235740000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.9063408400000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3.8219299160000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2.2400236460000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,5.5424608700000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,8.9939628300000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.7248610000000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.9266540600000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1.1008095330000000e+09
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.5718417000000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.7267938170000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.4303819000000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.5097020570000000e+09
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1.2018738650000000e+09
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.8406653300000000e+08
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.7163325700000000e+08
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,4.0306081000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,9.3061073000000000e+08
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1.2899268000000000e+09
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,6.9470010730000000e+09
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8.3561982150000000e+09
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,4.9954615900000000e+08
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,7.4883343900000000e+08
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,7.4783350700000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,5.8148509700000000e+08
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,8.5275601400000000e+08
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1.1412194930000000e+09
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2.6894646410000000e+09
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.9954431600000000e+09
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2.0867793080000000e+09
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,9.5158715100000000e+08
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,1.4172895000000000e+08
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.3304249350000000e+09
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1.3113759290000000e+09
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.8772779030000000e+09
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1.0368201700000000e+09
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,1.0975624915000000e+10
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3.5324500050000000e+09
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.9140052000000000e+08
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3.8713053460000000e+09
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,5.2335132000000000e+08
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,9.6547489000000000e+08
