MUNICIPALITY,Numbered,October 2017 Labor Force,October 2017 Unemployed,October 2017 Unemp Rate,October 2016 Labor Force,October 2016 Unemployed,October 2016 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9280000000000000e+03,6.2000000000000000e+01,3.2157676348547715e-02,1.9270000000000000e+03,6.3000000000000000e+01,3.2693305656460822e-02
"ANSONIA",2.0000000000000000e+00,9.3910000000000000e+03,5.7000000000000000e+02,6.0696411457778723e-02,9.2740000000000000e+03,5.5600000000000000e+02,5.9952555531593704e-02
"ASHFORD",3.0000000000000000e+00,2.5390000000000000e+03,8.8000000000000000e+01,3.4659314690823159e-02,2.5360000000000000e+03,7.8000000000000000e+01,3.0757097791798107e-02
"AVON",4.0000000000000000e+00,9.4100000000000000e+03,3.0500000000000000e+02,3.2412327311370885e-02,9.3520000000000000e+03,2.6400000000000000e+02,2.8229255774165955e-02
"BARKHAMSTED",5.0000000000000000e+00,2.3220000000000000e+03,8.9000000000000000e+01,3.8329026701119727e-02,2.3010000000000000e+03,7.4000000000000000e+01,3.2159930465015210e-02
"BEACON FALLS",6.0000000000000000e+00,3.4330000000000000e+03,1.2000000000000000e+02,3.4954849985435479e-02,3.4250000000000000e+03,1.3300000000000000e+02,3.8832116788321165e-02
"BERLIN",7.0000000000000000e+00,1.1749000000000000e+04,4.0900000000000000e+02,3.4811473316878033e-02,1.1682000000000000e+04,3.6500000000000000e+02,3.1244649888717686e-02
"BETHANY",8.0000000000000000e+00,3.1180000000000000e+03,1.0300000000000000e+02,3.3033996151379086e-02,3.0890000000000000e+03,9.6000000000000000e+01,3.1078018776303010e-02
"BETHEL",9.0000000000000000e+00,1.0847000000000000e+04,3.7900000000000000e+02,3.4940536553885869e-02,1.0756000000000000e+04,3.8200000000000000e+02,3.5515061361100782e-02
"BETHLEHEM",1.0000000000000000e+01,1.9440000000000000e+03,7.3000000000000000e+01,3.7551440329218110e-02,1.9500000000000000e+03,6.5000000000000000e+01,3.3333333333333333e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1505000000000000e+04,5.9600000000000000e+02,5.1803563667970447e-02,1.1418000000000000e+04,5.3700000000000000e+02,4.7031003678402523e-02
