TANF16%,MUNICIPALITY,numbered,2016 TANF RECIPIENTS,Sort ID
3.9572227225887067e-02,"HARTFORD",6.5000000000000000e+01,4.8770000000000000e+03,1
3.3283717853303564e-02,"NEW BRITAIN",9.0000000000000000e+01,2.4150000000000000e+03,2
3.1531392860990964e-02,"NEW HAVEN",9.4000000000000000e+01,4.0970000000000000e+03,3
2.8585414511600415e-02,"WATERBURY",1.5200000000000000e+02,3.0950000000000000e+03,4
1.9715386895938335e-02,"NEW LONDON",9.5000000000000000e+01,5.3200000000000000e+02,5
1.9019824896850154e-02,"MERIDEN",8.1000000000000000e+01,1.1340000000000000e+03,6
1.8400938245642415e-02,"WINDHAM",1.6400000000000000e+02,4.5500000000000000e+02,7
1.7595307917888565e-02,"NORWICH",1.0500000000000000e+02,6.9600000000000000e+02,8
1.4931202719000109e-02,"BRIDGEPORT",1.5000000000000000e+01,2.1790000000000000e+03,9
1.4909329776857695e-02,"EAST HARTFORD",4.2000000000000000e+01,7.4900000000000000e+02,10
1.4720985963711058e-02,"SPRAGUE",1.3400000000000000e+02,4.3000000000000000e+01,11
1.2718838844830166e-02,"BRISTOL",1.7000000000000000e+01,7.6500000000000000e+02,12
1.2278453982489857e-02,"ANSONIA",2.0000000000000000e+00,2.3000000000000000e+02,13
1.1244405312201923e-02,"WEST HAVEN",1.5600000000000000e+02,6.1300000000000000e+02,14
1.0436645758816719e-02,"MANCHESTER",7.8000000000000000e+01,6.0400000000000000e+02,15
1.0286081645773062e-02,"PUTNAM",1.1700000000000000e+02,9.6000000000000000e+01,16
9.3420948460137751e-03,"DERBY",3.7000000000000000e+01,1.1800000000000000e+02,17
9.1979612162399679e-03,"KILLINGLY",7.0000000000000000e+01,1.5700000000000000e+02,18
9.1741148160880033e-03,"MIDDLETOWN",8.4000000000000000e+01,4.2700000000000000e+02,19
8.3624882669169724e-03,"GRISWOLD",5.8000000000000000e+01,9.8000000000000000e+01,20
8.1652257444764648e-03,"VERNON",1.4700000000000000e+02,2.3800000000000000e+02,21
8.0535980837990774e-03,"EAST HAVEN",4.3000000000000000e+01,2.3200000000000000e+02,22
7.9644255658060659e-03,"PLAINFIELD",1.1000000000000000e+02,1.2000000000000000e+02,23
7.3151826373413428e-03,"BLOOMFIELD",1.1000000000000000e+01,1.5100000000000000e+02,24
6.8811604984191930e-03,"WINCHESTER",1.6300000000000000e+02,7.4000000000000000e+01,25
6.8488786952089703e-03,"NAUGATUCK",8.9000000000000000e+01,2.1500000000000000e+02,26
6.8220858895705521e-03,"HAMDEN",6.3000000000000000e+01,4.1700000000000000e+02,27
6.6714749368914535e-03,"ENFIELD",4.9000000000000000e+01,2.9600000000000000e+02,28
6.6276803118908382e-03,"VOLUNTOWN",1.4800000000000000e+02,1.7000000000000000e+01,29
6.4153969526864474e-03,"STERLING",1.3700000000000000e+02,2.4000000000000000e+01,30
6.3030303030303034e-03,"WINDSOR",1.6500000000000000e+02,1.8200000000000000e+02,31
6.2344859435432658e-03,"TORRINGTON",1.4400000000000000e+02,2.1600000000000000e+02,32
5.9172972512450336e-03,"STAMFORD",1.3600000000000000e+02,7.6400000000000000e+02,33
5.7880676758682104e-03,"CHAPLIN",2.4000000000000000e+01,1.3000000000000000e+01,34
5.7563485392628814e-03,"GROTON",5.9000000000000000e+01,2.2600000000000000e+02,35
5.6309325896927121e-03,"STONINGTON",1.3800000000000000e+02,1.0500000000000000e+02,36
5.2407068860450944e-03,"BROOKLYN",1.9000000000000000e+01,4.3000000000000000e+01,37
5.1919312281896333e-03,"PLYMOUTH",1.1200000000000000e+02,6.1000000000000000e+01,38
5.1879571355672735e-03,"STAFFORD",1.3500000000000000e+02,6.1000000000000000e+01,39
4.8650789161056741e-03,"PLAINVILLE",1.1100000000000000e+02,8.6000000000000000e+01,40
4.4757033248081840e-03,"WINDSOR LOCKS",1.6600000000000000e+02,5.6000000000000000e+01,41
4.2089358946686816e-03,"THOMPSON",1.4200000000000000e+02,3.9000000000000000e+01,42
4.1391457507705858e-03,"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,43
3.8105606967882419e-03,"HAMPTON",6.4000000000000000e+01,7.0000000000000000e+00,44
3.7374445223078718e-03,"LISBON",7.4000000000000000e+01,1.6000000000000000e+01,45
3.6434762598757382e-03,"STRATFORD",1.3900000000000000e+02,1.9000000000000000e+02,46
3.6214874924552342e-03,"LEDYARD",7.3000000000000000e+01,5.4000000000000000e+01,47
3.5052805355164068e-03,"NORWALK",1.0400000000000000e+02,3.1000000000000000e+02,48
3.4228259706920528e-03,"PORTLAND",1.1400000000000000e+02,3.2000000000000000e+01,49
3.3984706881903144e-03,"CANAAN",2.1000000000000000e+01,4.0000000000000000e+00,50
3.2916392363396972e-03,"THOMASTON",1.4100000000000000e+02,2.5000000000000000e+01,51
