TANF16%,MUNICIPALITY,numbered,2016 TANF RECIPIENTS,Sort ID
3.2459033558452435e-03,"WATERFORD",1.5300000000000000e+02,6.2000000000000000e+01,52
3.0715225976305398e-03,"MORRIS",8.8000000000000000e+01,7.0000000000000000e+00,53
3.0683602112173539e-03,"BRANFORD",1.4000000000000000e+01,8.6000000000000000e+01,54
3.0679631844417869e-03,"MONTVILLE",8.7000000000000000e+01,5.9000000000000000e+01,55
2.9886059398543056e-03,"COLCHESTER",2.8000000000000000e+01,4.8000000000000000e+01,56
2.9615004935834156e-03,"CANTERBURY",2.2000000000000000e+01,1.5000000000000000e+01,57
2.8933437196954040e-03,"WEST HARTFORD",1.5500000000000000e+02,1.8200000000000000e+02,58
2.8328611898016999e-03,"ASHFORD",3.0000000000000000e+00,1.2000000000000000e+01,59
2.7972027972027972e-03,"COLEBROOK",2.9000000000000000e+01,4.0000000000000000e+00,60
2.7748132337246530e-03,"PRESTON",1.1500000000000000e+02,1.3000000000000000e+01,61
2.7649661144578314e-03,"DANBURY",3.4000000000000000e+01,2.3500000000000000e+02,62
2.6420079260237781e-03,"EAST HAMPTON",4.1000000000000000e+01,3.4000000000000000e+01,63
2.6158788435061953e-03,"WATERTOWN",1.5400000000000000e+02,5.7000000000000000e+01,64
2.5977164260254939e-03,"SEYMOUR",1.2500000000000000e+02,4.3000000000000000e+01,65
2.5413428602998047e-03,"NEW MILFORD",9.6000000000000000e+01,6.9000000000000000e+01,66
2.5160884501862872e-03,"SHELTON",1.2700000000000000e+02,1.0400000000000000e+02,67
2.4981099825789697e-03,"NEWINGTON",9.7000000000000000e+01,7.6000000000000000e+01,68
2.4933644333628249e-03,"COVENTRY",3.2000000000000000e+01,3.1000000000000000e+01,69
2.4610336341263331e-03,"BEACON FALLS",6.0000000000000000e+00,1.5000000000000000e+01,70
2.4035710198008469e-03,"SOUTHINGTON",1.3300000000000000e+02,1.0500000000000000e+02,71
2.3958799820868785e-03,"WALLINGFORD",1.4900000000000000e+02,1.0700000000000000e+02,72
2.3415776379335576e-03,"BERLIN",7.0000000000000000e+00,4.8000000000000000e+01,73
2.2538385688125090e-03,"NORTH BRANFORD",1.0000000000000000e+02,3.2000000000000000e+01,74
2.2165576859137759e-03,"EAST HADDAM",4.0000000000000000e+01,2.0000000000000000e+01,75
2.1869874248223072e-03,"ROCKY HILL",1.2000000000000000e+02,4.4000000000000000e+01,76
2.1759877839282304e-03,"WETHERSFIELD",1.6000000000000000e+02,5.7000000000000000e+01,77
2.1598272138228943e-03,"SALEM",1.2200000000000000e+02,9.0000000000000000e+00,78
2.1460021460021459e-03,"MILFORD",8.5000000000000000e+01,1.1600000000000000e+02,79
2.1120000000000002e-03,"SUFFIELD",1.4000000000000000e+02,3.3000000000000000e+01,80
2.0502306509482316e-03,"PROSPECT",1.1600000000000000e+02,2.0000000000000000e+01,81
2.0435967302452314e-03,"WILLINGTON",1.6100000000000000e+02,1.2000000000000000e+01,82
2.0283975659229209e-03,"BOLTON",1.2000000000000000e+01,1.0000000000000000e+01,83
2.0245476401366570e-03,"NORTH HAVEN",1.0200000000000000e+02,4.8000000000000000e+01,84
2.0080321285140560e-03,"DEEP RIVER",3.6000000000000000e+01,9.0000000000000000e+00,85
1.8095453517303778e-03,"WOODBRIDGE",1.6800000000000000e+02,1.6000000000000000e+01,86
1.7955739103110832e-03,"GUILFORD",6.1000000000000000e+01,4.0000000000000000e+01,87
1.7927365255609531e-03,"GLASTONBURY",5.4000000000000000e+01,6.2000000000000000e+01,88
1.7878426698450535e-03,"SCOTLAND",1.2400000000000000e+02,3.0000000000000000e+00,89
1.7191977077363897e-03,"CROMWELL",3.3000000000000000e+01,2.4000000000000000e+01,90
1.6973998919836432e-03,"CLINTON",2.7000000000000000e+01,2.2000000000000000e+01,91
1.6871535309713184e-03,"POMFRET",1.1300000000000000e+02,7.0000000000000000e+00,92
1.6673614005835765e-03,"LEBANON",7.2000000000000000e+01,1.2000000000000000e+01,93
1.6565433462175593e-03,"COLUMBIA",3.0000000000000000e+01,9.0000000000000000e+00,94
1.6227912008654887e-03,"SOMERS",1.3000000000000000e+02,1.8000000000000000e+01,95
1.6178209196689689e-03,"ELLINGTON",4.8000000000000000e+01,2.6000000000000000e+01,96
1.5902140672782875e-03,"LITCHFIELD",7.5000000000000000e+01,1.3000000000000000e+01,97
1.5555092288202185e-03,"GREENWICH",5.7000000000000000e+01,9.7000000000000000e+01,98
1.5515903801396431e-03,"BOZRAH",1.3000000000000000e+01,4.0000000000000000e+00,99
1.5375153751537515e-03,"ANDOVER",1.0000000000000000e+00,5.0000000000000000e+00,100
1.5345268542199489e-03,"FRANKLIN",5.3000000000000000e+01,3.0000000000000000e+00,101
1.4764735594669154e-03,"SOUTH WINDSOR",1.3100000000000000e+02,3.8000000000000000e+01,102
1.4061101879074523e-03,"WOODSTOCK",1.7000000000000000e+02,1.1000000000000000e+01,103
1.4058106841611997e-03,"MARLBOROUGH",8.0000000000000000e+01,9.0000000000000000e+00,104
1.3870999702764292e-03,"OLD SAYBROOK",1.0700000000000000e+02,1.4000000000000000e+01,105
1.3863216266173752e-03,"OXFORD",1.0900000000000000e+02,1.8000000000000000e+01,106
1.3819623865889564e-03,"WOLCOTT",1.6700000000000000e+02,2.3000000000000000e+01,107
1.3712584234446012e-03,"FARMINGTON",5.2000000000000000e+01,3.5000000000000000e+01,108
1.3676772281741509e-03,"MIDDLEFIELD",8.3000000000000000e+01,6.0000000000000000e+00,109
1.2938470385278895e-03,"ORANGE",1.0800000000000000e+02,1.8000000000000000e+01,110
1.2845649381380570e-03,"TOLLAND",1.4300000000000000e+02,1.9000000000000000e+01,111
1.2178333156835752e-03,"EAST LYME",4.4000000000000000e+01,2.3000000000000000e+01,112
1.1543708678770071e-03,"HEBRON",6.8000000000000000e+01,1.1000000000000000e+01,113
1.1240547721234416e-03,"SOUTHBURY",1.3200000000000000e+02,2.2000000000000000e+01,114
1.1209048759362103e-03,"BETHEL",9.0000000000000000e+00,2.2000000000000000e+01,115
1.0928215285841130e-03,"CHESHIRE",2.5000000000000000e+01,3.2000000000000000e+01,116
1.0917030567685589e-03,"BARKHAMSTED",5.0000000000000000e+00,4.0000000000000000e+00,117
1.0693107805968699e-03,"CANTON",2.3000000000000000e+01,1.1000000000000000e+01,118
9.8332445609866019e-04,"SIMSBURY",1.2900000000000000e+02,2.4000000000000000e+01,119
9.4858660595712385e-04,"NORTH STONINGTON",1.0300000000000000e+02,5.0000000000000000e+00,120
9.4473311289560704e-04,"HARTLAND",6.6000000000000000e+01,2.0000000000000000e+00,121
9.4161958568738226e-04,"NORTH CANAAN",1.0100000000000000e+02,3.0000000000000000e+00,122
9.3720712277413310e-04,"OLD LYME",1.0600000000000000e+02,7.0000000000000000e+00,123
9.2417882860333471e-04,"MANSFIELD",7.9000000000000000e+01,2.4000000000000000e+01,124
8.2394946443284812e-04,"SHERMAN",1.2800000000000000e+02,3.0000000000000000e+00,125
7.9354582727152493e-04,"EASTON",4.7000000000000000e+01,6.0000000000000000e+00,126
7.7369439071566729e-04,"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+00,127
7.6464291176020797e-04,"ESSEX",5.0000000000000000e+01,5.0000000000000000e+00,128
7.4261102034754191e-04,"NEW HARTFORD",9.3000000000000000e+01,5.0000000000000000e+00,129
7.2985090188718591e-04,"WOODBURY",1.6900000000000000e+02,7.0000000000000000e+00,130
7.2639225181598058e-04,"HADDAM",6.2000000000000000e+01,6.0000000000000000e+00,131
7.2118851867878264e-04,"WESTBROOK",1.5700000000000000e+02,5.0000000000000000e+00,132
7.1839080459770114e-04,"WESTPORT",1.5900000000000000e+02,2.0000000000000000e+01,133
6.9180214458664825e-04,"GOSHEN",5.5000000000000000e+01,2.0000000000000000e+00,134
6.2408986894112747e-04,"BURLINGTON",2.0000000000000000e+01,6.0000000000000000e+00,135
6.2315002336812584e-04,"KILLINGWORTH",7.1000000000000000e+01,4.0000000000000000e+00,136
5.8486372675166690e-04,"BROOKFIELD",1.8000000000000000e+01,1.0000000000000000e+01,137
5.7937427578215526e-04,"WASHINGTON",1.5100000000000000e+02,2.0000000000000000e+00,138
5.7142857142857147e-04,"EASTFORD",4.6000000000000000e+01,1.0000000000000000e+00,139
5.7122456265619426e-04,"NEW FAIRFIELD",9.2000000000000000e+01,8.0000000000000000e+00,140
5.4664723032069973e-04,"BETHANY",8.0000000000000000e+00,3.0000000000000000e+00,141
5.3830970751839223e-04,"NEWTOWN",9.8000000000000000e+01,1.5000000000000000e+01,142
5.2432596517371750e-04,"TRUMBULL",1.4500000000000000e+02,1.9000000000000000e+01,143
5.2349168956942809e-04,"MIDDLEBURY",8.2000000000000000e+01,4.0000000000000000e+00,144
5.0588668138337018e-04,"DARIEN",3.5000000000000000e+01,1.1000000000000000e+01,145
4.4378698224852069e-04,"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+00,146
4.4146500981033358e-04,"FAIRFIELD",5.1000000000000000e+01,2.7000000000000000e+01,147
4.1350792556857341e-04,"DURHAM",3.8000000000000000e+01,3.0000000000000000e+00,148
3.6845983787767134e-04,"SHARON",1.2600000000000000e+02,1.0000000000000000e+00,149
3.6589828027808267e-04,"HARWINTON",6.7000000000000000e+01,2.0000000000000000e+00,150
3.5608912402075490e-04,"MONROE",8.6000000000000000e+01,7.0000000000000000e+00,151
3.5565039566106516e-04,"GRANBY",5.6000000000000000e+01,4.0000000000000000e+00,152
3.2672620344151602e-04,"AVON",4.0000000000000000e+00,6.0000000000000000e+00,153
2.9010733971569482e-04,"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+00,154
2.7639579878385847e-04,"SALISBURY",1.2300000000000000e+02,1.0000000000000000e+00,155
2.7546691642333753e-04,"MADISON",7.7000000000000000e+01,5.0000000000000000e+00,156
2.3501762632197415e-04,"CHESTER",2.6000000000000000e+01,1.0000000000000000e+00,157
1.9413706076490002e-04,"WESTON",1.5800000000000000e+02,2.0000000000000000e+00,158
1.6163793103448276e-04,"WILTON",1.6200000000000000e+02,3.0000000000000000e+00,159
0.0000000000000000e+00,"BRIDGEWATER",1.6000000000000000e+01,0.0000000000000000e+00,160
0.0000000000000000e+00,"CORNWALL",3.1000000000000000e+01,0.0000000000000000e+00,161
0.0000000000000000e+00,"KENT",6.9000000000000000e+01,0.0000000000000000e+00,162
0.0000000000000000e+00,"LYME",7.6000000000000000e+01,0.0000000000000000e+00,163
0.0000000000000000e+00,"NORFOLK",9.9000000000000000e+01,0.0000000000000000e+00,164
0.0000000000000000e+00,"REDDING",1.1800000000000000e+02,0.0000000000000000e+00,165
0.0000000000000000e+00,"RIDGEFIELD",1.1900000000000000e+02,0.0000000000000000e+00,166
0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,0.0000000000000000e+00,167
0.0000000000000000e+00,"UNION",1.4600000000000000e+02,0.0000000000000000e+00,168
0.0000000000000000e+00,"WARREN",1.5000000000000000e+02,0.0000000000000000e+00,169
