MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2015 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.6615170000000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,9.0163300700000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.9890682300000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.6177886900000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,3.5203955000000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.9323048900000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2.2669529000000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.5590559800000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.9424067400000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.6982165000000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2.1518224450000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,4.3186058800000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,2.3277600400000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.5242429360000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6.1041272660000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.9142307200000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,4.0754307920000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2.2841998930000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,5.4358057400000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,9.0775016100000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.7240157000000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.5885750200000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1.1083580590000000e+09
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.6156778000000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.8127391010000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.5297219000000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.5269419890000000e+09
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1.2183431500000000e+09
