Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"MIDDLETOWN","JG",1,0,0,,0
"MONROE","JG",1,0,0,,0
"NAUGATUCK","JG",2,4,0,,0
"NEW BRITAIN","JG",3,0,1,,0
"NEW CANAAN","JG",1,0,0,,0
"NEW HAVEN","JG",2,0,0,,0
"NEWTOWN","JG",1,2,0,,0
"NORFOLK","JG",1,1,0,,0
"NORTH BRANFORD","JG",3,1,0,,0
"NORTH STONINGTON","JG",0,3,0,,0
"NORWALK","JG",4,1,0,,0
"NORWICH","JG",2,0,0,,0
"OLD SAYBROOK","JG",2,0,0,,0
"ORANGE","JG",2,1,0,,0
"PLAINFIELD","JG",1,0,0,,0
"PLAINVILLE","JG",2,1,0,,0
"BRIDGEPORT","BP",4,0,1,,0
"ANDOVER","BP",0,0,1,,0
"ANSONIA","BP",2,0,1,,0
"BEACON FALLS","BP",0,0,1,,0
"BERLIN","BP",1,2,0,,0
"BETHLEHEM","BP",1,0,1,"GASB67/68 Not Implemented",0
"PORTLAND","JG",2,1,0,,0
"PROSPECT","JG",0,1,1,,0
"PUTNAM","JG",1,0,0,,0
"REDDING","JG",0,0,1,,0
"SALISBURY","JG",1,1,0,,0
"SHARON","JG",0,1,0,,0
"SHELTON","JG",0,1,1,,0
"SHERMAN","JG",1,1,0,,0
"SOMERS","JG",3,0,0,,0
"SOUTHBURY","JG",1,1,0,,0
"SOUTHINGTON","JG",0,0,1,,0
"SPRAGUE","JG",0,0,0,,0
"STAFFORD","JG",1,1,0,,0
"STERLING","JG",0,1,0,,0
"STONINGTON","JG",1,0,1,,0
"THOMASTON","JG",1,0,0,,0
"TORRINGTON","JG",3,0,0,,0
"TRUMBULL","JG",2,0,0,,0
"UNION","JG",0,0,0,,0
"VERNON","JG",3,8,0,,0
"VOLUNTOWN","JG",0,1,0,,0
"WALLINGFORD","JG",2,0,0,,0
"WATERBURY","JG",1,0,0,,0
"WATERFORD","JG",1,0,1,,0
"WEST HARTFORD","JG",1,0,0,,0
"WESTBROOK","JG",3,0,0,,0
"WESTPORT","JG",5,2,0,,0
"WETHERSFIELD","JG",1,0,0,,0
"WILLINGTON","JG",1,0,0,,0
"WINDHAM","JG",4,0,0,,0
"WINDSOR","JG",1,0,1,,0
"WOLCOTT","JG",2,1,0,,0
"WOODSTOCK","JG",0,0,1,,0
"HARTFORD","BP",2,0,1,,0
"MARLBOROUGH","MR",0,0,0,,0
"MIDDLEFIELD","MR",0,0,1,,0
"MILFORD","MR",1,0,0,,0
"MONTVILLE","MR",0,0,1,,0
"MORRIS","MR",2,0,0,,0
"NEW FAIRFIELD","MR",2,0,1,,0
"NEW HARTFORD","MR",1,1,0,,0
"NEW LONDON","MR",2,2,1,,0
"NEW MILFORD","MR",1,0,0,,0
"NEWINGTON","MR",4,1,0,,0
"NORTH CANAAN","MR",0,0,0,,0
"NORTH HAVEN","MR",5,1,0,,0
"OLD LYME","MR",0,2,0,,0
"OXFORD","MR",0,0,1,,0
"POMFRET","MR",0,1,0,,0
"PRESTON","MR",0,0,1,,0
"RIDGEFIELD","MR",3,1,0,,0
"ROCKY HILL","MR",4,1,0,,0
"ROXBURY","MR",0,1,0,,0
"SALEM","MR",0,0,0,,0
"SCOTLAND","MR",0,0,0,,0
"SEYMOUR","MR",0,0,1,,0
"SIMSBURY","MR",3,0,0,,0
"SOUTH WINDSOR","MR",2,1,0,,0
"STAMFORD","MR",4,0,0,,0
"STRATFORD","MR",1,1,0,,0
"SUFFIELD","MR",1,0,0,,0
"THOMPSON","MR",1,0,1,,0
"TOLLAND","MR",0,1,0,,0
"WARREN","MR",1,1,0,,0
"WASHINGTON","MR",1,1,0,,0
"WATERTOWN","MR",2,0,1,,0
"WEST HAVEN","MR",2,1,0,,0
"WESTON","MR",0,0,1,,0
"WILTON","MR",1,1,0,,0
"WINCHESTER","MR",1,0,1,,0
"WINDSOR LOCKS","MR",0,0,1,,0
"WOODBRIDGE","MR",0,0,1,,0
"WOODBURY","MR",1,0,0,,0
"ASHFORD","BP",0,1,0,,0
"MANCHESTER","JG",1,1,1,,0
"PLYMOUTH","BP",2,0,1,,0
