Sort ID,Municipality,numbered,PER CAPITA INCOME - 2016 ESTIMATE,Population_Range,PercentOfState
1,"NEW CANAAN",9.1000000000000000e+01,112516.0000,"10,000 to 30,000",2.8195258858317045e+00
2,"DARIEN",3.5000000000000000e+01,101827.0000,"10,000 to 30,000",2.5516714278554602e+00
3,"WESTPORT",1.5900000000000000e+02,100501.0000,"10,000 to 30,000",2.5184433418533554e+00
4,"GREENWICH",5.7000000000000000e+01,93194.0000,"30,000 to 70,000",2.3353380444043501e+00
5,"WESTON",1.5800000000000000e+02,93133.0000,"0 to 10,000",2.3338094522126998e+00
6,"WILTON",1.6200000000000000e+02,82791.0000,"10,000 to 30,000",2.0746504285069913e+00
7,"ROXBURY",1.2100000000000000e+02,81485.0000,"0 to 10,000",2.0419235202726407e+00
8,"RIDGEFIELD",1.1900000000000000e+02,77230.0000,"10,000 to 30,000",1.9352979501829299e+00
9,"SHERMAN",1.2800000000000000e+02,69917.0000,"0 to 10,000",1.7520422994035985e+00
10,"AVON",4.0000000000000000e+00,67430.0000,"10,000 to 30,000",1.6897208439833609e+00
11,"BRIDGEWATER",1.6000000000000000e+01,66977.0000,"0 to 10,000",1.6783691675437278e+00
12,"SHARON",1.2600000000000000e+02,66126.0000,"0 to 10,000",1.6570440535257855e+00
13,"WASHINGTON",1.5100000000000000e+02,65029.0000,"0 to 10,000",1.6295544529644665e+00
14,"REDDING",1.1800000000000000e+02,63762.0000,"0 to 10,000",1.5978048413772366e+00
15,"EASTON",4.7000000000000000e+01,60963.0000,"0 to 10,000",1.5276650127800331e+00
16,"FAIRFIELD",5.1000000000000000e+01,60505.0000,"30,000 to 70,000",1.5161880418984615e+00
17,"GLASTONBURY",5.4000000000000000e+01,58216.0000,"10,000 to 30,000",1.4588282463789906e+00
18,"WESTBROOK",1.5700000000000000e+02,57737.0000,"0 to 10,000",1.4468250388412771e+00
19,"LYME",7.6000000000000000e+01,57180.0000,"0 to 10,000",1.4328672380093219e+00
20,"DURHAM",3.8000000000000000e+01,55752.0000,"0 to 10,000",1.3970831453916703e+00
21,"WOODBRIDGE",1.6800000000000000e+02,55644.0000,"0 to 10,000",1.3943767854457976e+00
22,"GUILFORD",6.1000000000000000e+01,55566.0000,"10,000 to 30,000",1.3924221921515560e+00
23,"SALISBURY",1.2300000000000000e+02,55331.0000,"0 to 10,000",1.3865333533804440e+00
24,"SIMSBURY",1.2900000000000000e+02,54177.0000,"10,000 to 30,000",1.3576153961810253e+00
25,"FARMINGTON",5.2000000000000000e+01,53899.0000,"10,000 to 30,000",1.3506490252092418e+00
26,"MADISON",7.7000000000000000e+01,52847.0000,"10,000 to 30,000",1.3242870746253697e+00
27,"WARREN",1.5000000000000000e+02,52380.0000,"0 to 10,000",1.3125845737483086e+00
28,"WEST HARTFORD",1.5500000000000000e+02,51556.0000,"30,000 to 70,000",1.2919360497168346e+00
29,"ESSEX",5.0000000000000000e+01,51481.0000,"0 to 10,000",1.2900566330877563e+00
30,"ORANGE",1.0800000000000000e+02,50659.0000,"10,000 to 30,000",1.2694582268330576e+00
31,"MONROE",8.6000000000000000e+01,50195.0000,"10,000 to 30,000",1.2578309026211598e+00
32,"GRANBY",5.6000000000000000e+01,49999.0000,"0 to 10,000",1.2529193604971685e+00
33,"BURLINGTON",2.0000000000000000e+01,49997.0000,"0 to 10,000",1.2528692427203929e+00
34,"NEWTOWN",9.8000000000000000e+01,49603.0000,"10,000 to 30,000",1.2429960406956349e+00
35,"BOLTON",1.2000000000000000e+01,49577.0000,"0 to 10,000",1.2423445095975543e+00
36,"STAMFORD",1.3600000000000000e+02,49443.0000,"70,000 & Up",1.2389866185536009e+00
37,"CANTON",2.3000000000000000e+01,49098.0000,"0 to 10,000",1.2303413020598406e+00
38,"OLD LYME",1.0600000000000000e+02,49018.0000,"0 to 10,000",1.2283365909888238e+00
39,"CORNWALL",3.1000000000000000e+01,48926.0000,"0 to 10,000",1.2260311732571543e+00
40,"BETHANY",8.0000000000000000e+00,48496.0000,"0 to 10,000",1.2152558512504386e+00
41,"MORRIS",8.8000000000000000e+01,48291.0000,"0 to 10,000",1.2101187791309578e+00
42,"STONINGTON",1.3800000000000000e+02,47422.0000,"10,000 to 30,000",1.1883426051220367e+00
43,"PORTLAND",1.1400000000000000e+02,47409.0000,"0 to 10,000",1.1880168395729966e+00
