MUNICIPALITY,Numbered,2015 Labor Force,2015 Unemployed,2015 Unemp Rate,2014 Labor Force,2014 Unemployed,2014 Unemp Rate,2013 Labor Force,2013 Unemployed,2013 Unemp Rate,2012 Labor Force,2012 Unemployed,2012 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9210000000000000e+03,8.7000000000000000e+01,4.5288912024986985e-02,1.9200000000000000e+03,1.0700000000000000e+02,5.5729166666666670e-02,1.8940000000000000e+03,1.2100000000000000e+02,6.3885955649419221e-02,1.9090000000000000e+03,1.2600000000000000e+02,6.6003143006809845e-02
"ANSONIA",2.0000000000000000e+00,9.4220000000000000e+03,7.6700000000000000e+02,8.1405221821269372e-02,9.4610000000000000e+03,8.7800000000000000e+02,9.2802029383786067e-02,9.5170000000000000e+03,1.0370000000000000e+03,1.0896290847956289e-01,9.7080000000000000e+03,1.1180000000000000e+03,1.1516275236918005e-01
"ASHFORD",3.0000000000000000e+00,2.5320000000000000e+03,1.1500000000000000e+02,4.5418641390205371e-02,2.5180000000000000e+03,1.3800000000000000e+02,5.4805401111993647e-02,2.5030000000000000e+03,1.7000000000000000e+02,6.7918497802636840e-02,2.5470000000000000e+03,1.9600000000000000e+02,7.6953278366705929e-02
"AVON",4.0000000000000000e+00,9.2910000000000000e+03,3.4300000000000000e+02,3.6917446991712413e-02,9.2170000000000000e+03,4.0000000000000000e+02,4.3398068785939027e-02,9.0650000000000000e+03,4.5400000000000000e+02,5.0082735797021515e-02,9.1110000000000000e+03,4.9400000000000000e+02,5.4220173416748986e-02
"BARKHAMSTED",5.0000000000000000e+00,2.2900000000000000e+03,1.0500000000000000e+02,4.5851528384279479e-02,2.2830000000000000e+03,1.2000000000000000e+02,5.2562417871222074e-02,2.2850000000000000e+03,1.4700000000000000e+02,6.4332603938730859e-02,2.3280000000000000e+03,1.7700000000000000e+02,7.6030927835051540e-02
"BEACON FALLS",6.0000000000000000e+00,3.4320000000000000e+03,1.7700000000000000e+02,5.1573426573426576e-02,3.4090000000000000e+03,2.0500000000000000e+02,6.0134936931651513e-02,3.3550000000000000e+03,2.1600000000000000e+02,6.4381520119225044e-02,3.3950000000000000e+03,2.5100000000000000e+02,7.3932253313696614e-02
"BERLIN",7.0000000000000000e+00,1.1668000000000000e+04,5.4500000000000000e+02,4.6708947548851562e-02,1.1584000000000000e+04,6.0600000000000000e+02,5.2313535911602212e-02,1.1410000000000000e+04,6.8400000000000000e+02,5.9947414548641539e-02,1.1477000000000000e+04,7.6900000000000000e+02,6.7003572362115529e-02
"BETHANY",8.0000000000000000e+00,3.0830000000000000e+03,1.3600000000000000e+02,4.4112877067791115e-02,3.0810000000000000e+03,1.6400000000000000e+02,5.3229470950989941e-02,3.0260000000000000e+03,1.7000000000000000e+02,5.6179775280898875e-02,3.0520000000000000e+03,1.8700000000000000e+02,6.1271297509829618e-02
"BETHEL",9.0000000000000000e+00,1.0784000000000000e+04,5.0800000000000000e+02,4.7106824925816027e-02,1.0634000000000000e+04,5.7500000000000000e+02,5.4071845025390260e-02,1.0455000000000000e+04,6.7800000000000000e+02,6.4849354375896701e-02,1.0502000000000000e+04,7.2800000000000000e+02,6.9320129499143027e-02
"BETHLEHEM",1.0000000000000000e+01,1.9540000000000000e+03,9.0000000000000000e+01,4.6059365404298877e-02,1.9510000000000000e+03,1.0600000000000000e+02,5.4331112250128141e-02,1.9330000000000000e+03,1.1100000000000000e+02,5.7423693740300048e-02,1.9640000000000000e+03,1.2700000000000000e+02,6.4663951120162932e-02
