Municipality,Equalized Net Grand List GLYR 2010
"ANDOVER",3.7528277760565966e+08
"ANSONIA",1.4560897833750613e+09
"ASHFORD",4.0574847094029433e+08
"AVON",3.5724407357362452e+09
"BARKHAMSTED",5.3143728319126135e+08
"BEACON FALLS",6.3622005779269302e+08
"BERLIN",3.1739946996836395e+09
"BETHANY",8.1819235796159232e+08
"BETHEL",2.7691072856111503e+09
"BETHLEHEM",5.5292775364288557e+08
"BLOOMFIELD",2.7868190164857821e+09
"BOLTON",6.3997519682893300e+08
"BOZRAH",2.9989970842459852e+08
"BRANFORD",4.9324161632774115e+09
"BRIDGEPORT",8.7603935316865196e+09
"BRIDGEWATER",4.9423581566433650e+08
"BRISTOL",5.5874182516259546e+09
"BROOKFIELD",3.1194796882134256e+09
"BROOKLYN",6.9934145498313129e+08
"BURLINGTON",1.2412017256980207e+09
"CANAAN",2.8477130448373425e+08
"CANTERBURY",5.0124091708387297e+08
"CANTON",1.5578098295736389e+09
"CHAPLIN",2.4136851275323588e+08
"CHESHIRE",4.0006828511532898e+09
"CHESTER",6.8697734908324885e+08
"CLINTON",2.1301402642857141e+09
"COLCHESTER",1.7689247941119659e+09
"COLEBROOK",2.6044506857142854e+08
"COLUMBIA",6.8704332573184109e+08
"CORNWALL",5.1090837876750857e+08
"COVENTRY",1.3315311951393745e+09
"CROMWELL",1.9052738413668628e+09
"DANBURY",9.6960649575514355e+09
"DARIEN",1.1544591565756231e+10
"DEEP RIVER",6.8486906571428573e+08
"DERBY",1.0915764011978035e+09
"DURHAM",1.0391350685714285e+09
"EAST GRANBY",7.4899376591887939e+08
"EAST HADDAM",1.3137024614788189e+09
"EAST HAMPTON",1.5927909428571427e+09
"EAST HARTFORD",3.9666193092028255e+09
"EAST HAVEN",2.8054768654751959e+09
"EAST LYME",3.0197534433813386e+09
"EAST WINDSOR",1.4043171124751511e+09
"EASTFORD",1.7343059543760011e+08
"EASTON",1.8981900228266869e+09
"ELLINGTON",1.7755795657142861e+09
"ENFIELD",4.1585665814077625e+09
"ESSEX",1.5628025457741282e+09
"FAIRFIELD",1.5424548292857141e+10
"FARMINGTON",5.0164733808086491e+09
"FRANKLIN",2.9133100612311459e+08
"GLASTONBURY",5.7180232481747952e+09
"GOSHEN",7.8891677019348860e+08
"GRANBY",1.3974711243892651e+09
"GREENWICH",4.3381228410000000e+10
"GRISWOLD",1.0098397245531471e+09
"GROTON",5.2195642598122978e+09
"GROTON (City of)",
"GUILFORD",4.4665355562757750e+09
"HADDAM",1.2722197257142856e+09
"HAMDEN",5.7543544814285717e+09
"HAMPTON",2.0812893515936089e+08
"HARTFORD",7.1475777573694897e+09
"HARTLAND",2.6142090590295064e+08
"HARWINTON",7.4816289590366125e+08
"HEBRON",1.1152389012880886e+09
"KENT",8.1028082691180253e+08
"KILLINGLY",1.6267878330000749e+09
"KILLINGWORTH",1.0103409659162668e+09
"LEBANON",8.7011536100604689e+08
"LEDYARD",1.5601750014285715e+09
"LISBON",5.0571928288966680e+08
"LITCHFIELD",1.4255281469734588e+09
"LYME",7.8681996989124811e+08
"MADISON",4.3210793006303673e+09
"MANCHESTER",5.6556693343373213e+09
"MANSFIELD",1.4436309048322537e+09
"MARLBOROUGH",7.9288343289847374e+08
"MERIDEN",4.6377348072376394e+09
"MIDDLEBURY",1.3074810723498063e+09
"MIDDLEFIELD",6.0734230893658400e+08
"MIDDLETOWN",4.9634961575113573e+09
"MILFORD",6.8520655036054840e+09
"MONROE",3.2209139360607309e+09
"MONTVILLE",2.0024520630849481e+09
"MORRIS",5.0213042285714281e+08
"NAUGATUCK",2.5030215201333303e+09
"NEW BRITAIN",3.7975024951254492e+09
"NEW CANAAN",1.0871994421420134e+10
"NEW FAIRFIELD",2.4398532718422551e+09
"NEW HARTFORD",9.5559836654943252e+08
"NEW HAVEN",6.7790893789722137e+09
"NEW LONDON",1.9942783441703854e+09
"NEW MILFORD",4.0888299500000000e+09
"NEWINGTON",3.8805110016183729e+09
"NEWTOWN",4.6622256783910027e+09
"NORFOLK",4.3425831662134057e+08
"NORTH BRANFORD",1.7902648728571427e+09
"NORTH CANAAN",3.8011794833912539e+08
"NORTH HAVEN",3.9345502787284546e+09
"NORTH STONINGTON",7.7341211032216227e+08
"NORWALK",1.6955393389709167e+10
"NORWICH",2.9426937272090430e+09
"OLD LYME",2.1206793552659595e+09
"OLD SAYBROOK",3.0269818912800393e+09
"ORANGE",2.2686314100718737e+09
"OXFORD",1.9955239271428576e+09
"PLAINFIELD",1.3829861246411707e+09
"PLAINVILLE",1.9361214737725616e+09
"PLYMOUTH",1.0758771694535646e+09
"POMFRET",4.8555410965868390e+08
"PORTLAND",1.1172147973340666e+09
"PRESTON",5.5605627831357503e+08
"PROSPECT",1.1706312554237857e+09
"PUTNAM",8.0686316381306875e+08
"REDDING",2.4238193535157714e+09
"RIDGEFIELD",7.0929601297826223e+09
"ROCKY HILL",2.7636963366401963e+09
"ROXBURY",1.0291986324817764e+09
"SALEM",5.5733225126303744e+08
"SALISBURY",1.6282388285714283e+09
"SCOTLAND",1.5705621805049422e+08
"SEYMOUR",1.7876425564386857e+09
"SHARON",1.1090743738022780e+09
"SHELTON",6.4656857539223080e+09
"SHERMAN",9.6353115584979117e+08
"SIMSBURY",3.6074130589302292e+09
"SOMERS",1.1374644296484613e+09
"SOUTH WINDSOR",3.5988074243858261e+09
"SOUTHBURY",3.1676053450355282e+09
"SOUTHINGTON",5.6226607609555559e+09
"SPRAGUE",2.5672406059464973e+08
"STAFFORD",1.1274094916092823e+09
"STAMFORD",2.9591423349768368e+10
"STERLING",3.6114093000303394e+08
"STONINGTON",4.0742063135563240e+09
"STRATFORD",6.2577054895555801e+09
"SUFFIELD",1.9532676638032272e+09
"THOMASTON",7.3026120760220027e+08
"THOMPSON",8.3828162226837289e+08
"TOLLAND",1.8423043348648608e+09
"TORRINGTON",3.2807185644513159e+09
"TRUMBULL",6.6744003490588493e+09
"UNION",1.3977135865858442e+08
"VERNON",2.5409657850778379e+09
"VOLUNTOWN",2.7683756857142860e+08
"WALLINGFORD",5.9591021000000000e+09
"WARREN",5.9785943799715877e+08
"WASHINGTON",1.6885438638440592e+09
"WATERBURY",6.1054118219367018e+09
"WATERFORD",4.6407146792191200e+09
"WATERTOWN",2.5603552243267708e+09
"WEST HARTFORD",7.2444918638962851e+09
"WEST HAVEN",4.0142976528571424e+09
"WESTBROOK",1.6998190903333821e+09
"WESTON",3.6141439121891851e+09
"WESTPORT",1.3636314582857143e+10
