Municipality,Mill Rate FY 2015-16,Comments
"ANDOVER",3.0719999999999999e+01,
"ANSONIA",3.7520000000000003e+01,
"ASHFORD",3.2962000000000003e+01,
"AVON",2.8800000000000001e+01,
"BARKHAMSTED",2.7719999999999999e+01,
"BEACON FALLS",3.3399999999999999e+01,
"BERLIN",3.0350000000000001e+01,
"BETHANY",3.5039999999999999e+01,
"BETHEL",3.2180000000000000e+01,
"BETHLEHEM",2.2960000000000001e+01,
"BLOOMFIELD",3.6000000000000000e+01,
"BOLTON",3.6770000000000003e+01,
"BOZRAH",2.7000000000000000e+01,
"BRANFORD",2.6930000000000000e+01,
"BRIDGEPORT",4.2198000000000000e+01,
"BRIDGEWATER",1.7250000000000000e+01,
"BRISTOL",3.4609999999999999e+01,
"BROOKFIELD",2.5699999999999999e+01,
"BROOKLYN",2.3430000000000000e+01,
"BURLINGTON",3.1100000000000001e+01,
"CANAAN",2.3500000000000000e+01,
"CANTERBURY",2.1649999999999999e+01,
"CANTON",2.9190000000000001e+01,
"CHAPLIN",3.5049999999999997e+01,
"CHESHIRE",3.0690000000000001e+01,
"CHESTER",2.5320000000000000e+01,
"CLINTON",2.6770000000000000e+01,
"COLCHESTER",3.0760000000000002e+01,
"COLEBROOK",2.7800000000000001e+01,
"COLUMBIA",2.7129999999999999e+01,
"CORNWALL",1.5130000000000001e+01,
"COVENTRY",3.1199999999999999e+01,
"CROMWELL",3.1379999999999999e+01,
"DANBURY",2.8260000000000002e+01,
"DARIEN",1.5350000000000000e+01,
"DEEP RIVER",2.6280000000000001e+01,
"DERBY",3.5740000000000002e+01,
"DURHAM",3.3740000000000002e+01,
"EAST GRANBY",3.0399999999999999e+01,
"EAST HADDAM",2.8680000000000000e+01,
"EAST HAMPTON",2.7780000000000001e+01,
"EAST HARTFORD",4.5859999999999999e+01,
"EAST HAVEN",3.1550000000000001e+01,
"EAST LYME",2.4710000000000001e+01,
"EAST WINDSOR",3.0309999999999999e+01,
"EASTFORD",2.5109999999999999e+01,
"EASTON",3.0379999999999999e+01,
"ELLINGTON",3.0500000000000000e+01,
"ENFIELD",2.9890000000000001e+01,
"ESSEX",2.1079999999999998e+01,
"FAIRFIELD",2.4789999999999999e+01,
"FARMINGTON",2.5100000000000001e+01,
"FRANKLIN",2.4719999999999999e+01,
"GLASTONBURY",3.6100000000000001e+01,
"GOSHEN",1.9100000000000001e+01,
"GRANBY",3.6219999999999999e+01,
"GREENWICH",1.1271000000000001e+01,
"GRISWOLD",2.6570000000000000e+01,
"GROTON",2.0949999999999999e+01,
"GROTON (City of)",5.8680000000000003e+00,
"GUILFORD",2.8239999999999998e+01,
"HADDAM",3.1199999999999999e+01,
"HAMDEN",4.0869999999999997e+01,
"HAMPTON",3.0510000000000002e+01,
"HARTFORD",7.4290000000000006e+01,
"HARTLAND",2.5500000000000000e+01,
"HARWINTON",2.7300000000000001e+01,
"HEBRON",3.6000000000000000e+01,
"KENT",1.7859999999999999e+01,
"KILLINGLY",2.7309999999999999e+01,
"KILLINGWORTH",2.5230000000000000e+01,
"LEBANON",2.8699999999999999e+01,
"LEDYARD",3.0399999999999999e+01,
"LISBON",1.9500000000000000e+01,
"LITCHFIELD",2.6199999999999999e+01,
"LYME",1.7750000000000000e+01,
"MADISON",2.5760000000000002e+01,
"MANCHESTER",3.9399999999999999e+01,
"MANSFIELD",2.9870000000000001e+01,
"MARLBOROUGH",3.2890000000000001e+01,
"MERIDEN",3.6630000000000003e+01,
"MIDDLEBURY",3.0120000000000001e+01,
"MIDDLEFIELD",3.3670000000000002e+01,
"MIDDLETOWN",3.2600000000000001e+01,
"MILFORD",2.7879999999999999e+01,
"MONROE",3.4350000000000001e+01,
"MONTVILLE",3.0090000000000000e+01,
"MORRIS",2.5920000000000002e+01,
"NAUGATUCK",4.5570000000000000e+01,"Source: Borough of Naugatuck website"
"NEW BRITAIN",4.9000000000000000e+01,
"NEW CANAAN",1.5984999999999999e+01,
"NEW FAIRFIELD",2.8530000000000001e+01,
"NEW HARTFORD",2.9044000000000000e+01,
"NEW HAVEN",4.1549999999999997e+01,
"NEW LONDON",3.9490000000000002e+01,
"NEW MILFORD",2.6750000000000000e+01,
"NEWINGTON",3.5799999999999997e+01,
"NEWTOWN",3.3070000000000000e+01,
"NORFOLK",2.1949999999999999e+01,
"NORTH BRANFORD",3.1079999999999998e+01,
"NORTH CANAAN",2.7500000000000000e+01,
"NORTH HAVEN",2.9420000000000002e+01,
"NORTH STONINGTON",2.6100000000000001e+01,
"NORWALK",2.4914999999999999e+01,"From pg. iv of FY 2015-16 adopted budget as requested by Bob Barron"
"NORWICH",4.0899999999999999e+01,
"OLD LYME",2.0620000000000001e+01,
"OLD SAYBROOK",1.8809999999999999e+01,
"ORANGE",3.1399999999999999e+01,
"OXFORD",2.4960000000000001e+01,
"PLAINFIELD",2.8359999999999999e+01,
"PLAINVILLE",3.1829999999999998e+01,
