MUNICIPALITY,2016 TANF RECIPIENTS
"ANDOVER",5.0000000000000000e+00
"ANSONIA",2.3000000000000000e+02
"ASHFORD",1.2000000000000000e+01
"AVON",6.0000000000000000e+00
"BARKHAMSTED",4.0000000000000000e+00
"BEACON FALLS",1.5000000000000000e+01
"BERLIN",4.8000000000000000e+01
"BETHANY",3.0000000000000000e+00
"BETHEL",2.2000000000000000e+01
"BETHLEHEM",1.0000000000000000e+00
"BLOOMFIELD",1.5100000000000000e+02
"BOLTON",1.0000000000000000e+01
"BOZRAH",4.0000000000000000e+00
"BRANFORD",8.6000000000000000e+01
"BRIDGEPORT",2.1790000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",7.6500000000000000e+02
"BROOKFIELD",1.0000000000000000e+01
"BROOKLYN",4.3000000000000000e+01
"BURLINGTON",6.0000000000000000e+00
"CANAAN",4.0000000000000000e+00
"CANTERBURY",1.5000000000000000e+01
"CANTON",1.1000000000000000e+01
"CHAPLIN",1.3000000000000000e+01
"CHESHIRE",3.2000000000000000e+01
"CHESTER",1.0000000000000000e+00
"CLINTON",2.2000000000000000e+01
"COLCHESTER",4.8000000000000000e+01
"COLEBROOK",4.0000000000000000e+00
"COLUMBIA",9.0000000000000000e+00
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.1000000000000000e+01
"CROMWELL",2.4000000000000000e+01
"DANBURY",2.3500000000000000e+02
"DARIEN",1.1000000000000000e+01
"DEEP RIVER",9.0000000000000000e+00
"DERBY",1.1800000000000000e+02
"DURHAM",3.0000000000000000e+00
"EAST GRANBY",4.0000000000000000e+00
"EAST HADDAM",2.0000000000000000e+01
"EAST HAMPTON",3.4000000000000000e+01
"EAST HARTFORD",7.4900000000000000e+02
"EAST HAVEN",2.3200000000000000e+02
"EAST LYME",2.3000000000000000e+01
"EAST WINDSOR",4.7000000000000000e+01
"EASTFORD",1.0000000000000000e+00
"EASTON",6.0000000000000000e+00
"ELLINGTON",2.6000000000000000e+01
"ENFIELD",2.9600000000000000e+02
"ESSEX",5.0000000000000000e+00
"FAIRFIELD",2.7000000000000000e+01
"FARMINGTON",3.5000000000000000e+01
"FRANKLIN",3.0000000000000000e+00
"GLASTONBURY",6.2000000000000000e+01
"GOSHEN",2.0000000000000000e+00
"GRANBY",4.0000000000000000e+00
"GREENWICH",9.7000000000000000e+01
"GRISWOLD",9.8000000000000000e+01
"GROTON",2.2600000000000000e+02
"GROTON (City of)",
"GUILFORD",4.0000000000000000e+01
"HADDAM",6.0000000000000000e+00
"HAMDEN",4.1700000000000000e+02
"HAMPTON",7.0000000000000000e+00
"HARTFORD",4.8770000000000000e+03
"HARTLAND",2.0000000000000000e+00
"HARWINTON",2.0000000000000000e+00
"HEBRON",1.1000000000000000e+01
"KENT",0.0000000000000000e+00
"KILLINGLY",1.5700000000000000e+02
"KILLINGWORTH",4.0000000000000000e+00
"LEBANON",1.2000000000000000e+01
"LEDYARD",5.4000000000000000e+01
"LISBON",1.6000000000000000e+01
"LITCHFIELD",1.3000000000000000e+01
"LYME",0.0000000000000000e+00
"MADISON",5.0000000000000000e+00
"MANCHESTER",6.0400000000000000e+02
"MANSFIELD",2.4000000000000000e+01
"MARLBOROUGH",9.0000000000000000e+00
"MERIDEN",1.1340000000000000e+03
"MIDDLEBURY",4.0000000000000000e+00
"MIDDLEFIELD",6.0000000000000000e+00
"MIDDLETOWN",4.2700000000000000e+02
"MILFORD",1.1600000000000000e+02
"MONROE",7.0000000000000000e+00
"MONTVILLE",5.9000000000000000e+01
"MORRIS",7.0000000000000000e+00
"NAUGATUCK",2.1500000000000000e+02
"NEW BRITAIN",2.4150000000000000e+03
"NEW CANAAN",9.0000000000000000e+00
"NEW FAIRFIELD",8.0000000000000000e+00
"NEW HARTFORD",5.0000000000000000e+00
"NEW HAVEN",4.0970000000000000e+03
"NEW LONDON",5.3200000000000000e+02
"NEW MILFORD",6.9000000000000000e+01
"NEWINGTON",7.6000000000000000e+01
"NEWTOWN",1.5000000000000000e+01
"NORFOLK",0.0000000000000000e+00
"NORTH BRANFORD",3.2000000000000000e+01
"NORTH CANAAN",3.0000000000000000e+00
"NORTH HAVEN",4.8000000000000000e+01
"NORTH STONINGTON",5.0000000000000000e+00
"NORWALK",3.1000000000000000e+02
"NORWICH",6.9600000000000000e+02
"OLD LYME",7.0000000000000000e+00
"OLD SAYBROOK",1.4000000000000000e+01
"ORANGE",1.8000000000000000e+01
"OXFORD",1.8000000000000000e+01
"PLAINFIELD",1.2000000000000000e+02
"PLAINVILLE",8.6000000000000000e+01
"PLYMOUTH",6.1000000000000000e+01
"POMFRET",7.0000000000000000e+00
"PORTLAND",3.2000000000000000e+01
"PRESTON",1.3000000000000000e+01
"PROSPECT",2.0000000000000000e+01
"PUTNAM",9.6000000000000000e+01
"REDDING",0.0000000000000000e+00
"RIDGEFIELD",0.0000000000000000e+00
"ROCKY HILL",4.4000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",9.0000000000000000e+00
"SALISBURY",1.0000000000000000e+00
"SCOTLAND",3.0000000000000000e+00
"SEYMOUR",4.3000000000000000e+01
"SHARON",1.0000000000000000e+00
"SHELTON",1.0400000000000000e+02
"SHERMAN",3.0000000000000000e+00
"SIMSBURY",2.4000000000000000e+01
"SOMERS",1.8000000000000000e+01
"SOUTH WINDSOR",3.8000000000000000e+01
"SOUTHBURY",2.2000000000000000e+01
"SOUTHINGTON",1.0500000000000000e+02
"SPRAGUE",4.3000000000000000e+01
"STAFFORD",6.1000000000000000e+01
"STAMFORD",7.6400000000000000e+02
"STERLING",2.4000000000000000e+01
"STONINGTON",1.0500000000000000e+02
"STRATFORD",1.9000000000000000e+02
"SUFFIELD",3.3000000000000000e+01
"THOMASTON",2.5000000000000000e+01
"THOMPSON",3.9000000000000000e+01
"TOLLAND",1.9000000000000000e+01
"TORRINGTON",2.1600000000000000e+02
"TRUMBULL",1.9000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",2.3800000000000000e+02
"VOLUNTOWN",1.7000000000000000e+01
"WALLINGFORD",1.0700000000000000e+02
"WARREN",0.0000000000000000e+00
"WASHINGTON",2.0000000000000000e+00
"WATERBURY",3.0950000000000000e+03
"WATERFORD",6.2000000000000000e+01
"WATERTOWN",5.7000000000000000e+01
"WEST HARTFORD",1.8200000000000000e+02
"WEST HAVEN",6.1300000000000000e+02
"WESTBROOK",5.0000000000000000e+00
"WESTON",2.0000000000000000e+00
"WESTPORT",2.0000000000000000e+01
"WETHERSFIELD",5.7000000000000000e+01
"WILLINGTON",1.2000000000000000e+01
"WILTON",3.0000000000000000e+00
"WINCHESTER",7.4000000000000000e+01
"WINDHAM",4.5500000000000000e+02
"WINDSOR",1.8200000000000000e+02
"WINDSOR LOCKS",5.6000000000000000e+01
"WOLCOTT",2.3000000000000000e+01
"WOODBRIDGE",1.6000000000000000e+01
"WOODBURY",7.0000000000000000e+00
"WOODSTOCK",1.1000000000000000e+01
