Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Valuation of Total Units,Valuation per Unit
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"Tolland",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,754900.0000,188725.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,"New Haven",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,"Windham",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,281500.0000,140750.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,"Hartford",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,10995334.0000,354688.1935
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1035150.0000,345050.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"New Haven",2.1000000000000000e+01,1.7000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2807221.0000,133677.1905
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"Hartford",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,4068917.0000,145318.4643
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1059502.0000,353167.3333
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"Fairfield",1.1800000000000000e+02,9.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.6000000000000000e+01,1.0000000000000000e+00,16279067.0000,137958.1949
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,505000.0000,252500.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"Hartford",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2219720.0000,138732.5000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"Tolland",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1299000.0000,259800.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"New London",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000,0.0000
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"New Haven",2.5000000000000000e+01,2.3000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,7979125.0000,319165.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"Fairfield",1.1900000000000000e+02,1.5000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,1.0200000000000000e+02,1.3000000000000000e+02,17455860.0000,146687.8992
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,"Hartford",3.0000000000000000e+01,2.5000000000000000e+01,2.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,2.2000000000000000e+01,3144271.0000,104809.0333
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,"Fairfield",5.0000000000000000e+01,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1000000000000000e+01,4.0000000000000000e+00,6606500.0000,132130.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,"Windham",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,1333000.0000,166625.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,"Hartford",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4727225.0000,278072.0588
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,0.0000,0.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,"Windham",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000,0.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,"Hartford",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3274549.0000,327454.9000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,"Windham",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,150000.0000,150000.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,"New Haven",4.1000000000000000e+01,4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,10886150.0000,265515.8537
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,"Middlesex",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1897535.0000,316255.8333
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,"New London",3.2000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,5282000.0000,165062.5000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,120000.0000,120000.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,"Tolland",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2699000.0000,207615.3846
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,95000.0000,95000.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,"Tolland",3.2000000000000000e+01,3.0000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,5290156.0000,165317.3750
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,"Middlesex",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5728395.0000,301494.4737
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,"Fairfield",5.5100000000000000e+02,6.9000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,4.7900000000000000e+02,2.5000000000000000e+01,84810708.0000,153921.4301
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,"Fairfield",6.4000000000000000e+01,4.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,3.6000000000000000e+01,56621000.0000,884703.1250
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,"Middlesex",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,180000.0000,180000.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"New Haven",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,510000.0000,102000.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1469650.0000,244941.6667
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,"Hartford",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,250000.0000,250000.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1686172.0000,281028.6667
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,"Middlesex",4.8000000000000000e+01,1.9000000000000000e+01,2.0000000000000000e+00,3.0000000000000000e+00,2.4000000000000000e+01,2.0000000000000000e+00,5100690.0000,106264.3750
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,"Hartford",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,525000.0000,175000.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"New Haven",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,2322230.0000,122222.6316
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"New London",1.0600000000000000e+02,3.7000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+00,6.5000000000000000e+01,1.5000000000000000e+01,16247476.0000,153278.0755
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"Hartford",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4000000000000000e+01,2186418.0000,168186.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"Windham",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,771602.0000,257200.6667
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1955096.0000,391019.2000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"Tolland",1.1200000000000000e+02,4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.1000000000000000e+01,3.0000000000000000e+00,17348716.0000,154899.2500
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"Hartford",1.6000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,4.0000000000000000e+00,2037000.0000,127312.5000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"Middlesex",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1749649.0000,437412.2500
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"Fairfield",9.8000000000000000e+01,8.1000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,8.1000000000000000e+01,31601198.0000,322461.2041
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"Hartford",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7000000000000000e+01,7238737.0000,233507.6452
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"New London",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"Hartford",4.1000000000000000e+01,3.9000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,12153000.0000,296414.6341
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,650000.0000,216666.6667
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"Hartford",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1308000.0000,186857.1429
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"Fairfield",1.3800000000000000e+02,1.3800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.6000000000000000e+01,157367734.0000,1140345.8986
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"New London",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1067854.0000,266963.5000
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"New London",2.2000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,3907400.0000,177609.0909
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"New Haven",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9848686.0000,468985.0476
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"Middlesex",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2664583.0000,222048.5833
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"New Haven",3.3000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9000000000000000e+01,1.0000000000000000e+00,2676304.0000,81100.1212
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"Windham",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
