MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2016 ESTIMATE
"ANDOVER",100724.0000
"ANSONIA",43386.0000
"ASHFORD",78313.0000
"AVON",124608.0000
"BARKHAMSTED",104899.0000
"BEACON FALLS",84570.0000
"BERLIN",93750.0000
"BETHANY",106058.0000
"BETHEL",94292.0000
"BETHLEHEM",87056.0000
"BLOOMFIELD",74107.0000
"BOLTON",91087.0000
"BOZRAH",84698.0000
"BRANFORD",71619.0000
"BRIDGEPORT",43137.0000
"BRIDGEWATER",103393.0000
"BRISTOL",61551.0000
"BROOKFIELD",106278.0000
"BROOKLYN",74375.0000
"BURLINGTON",117069.0000
"CANAAN",72174.0000
"CANTERBURY",81496.0000
"CANTON",87404.0000
"CHAPLIN",80000.0000
"CHESHIRE",108559.0000
"CHESTER",76648.0000
"CLINTON",74022.0000
"COLCHESTER",99257.0000
"COLEBROOK",81184.0000
"COLUMBIA",92981.0000
"CORNWALL",74107.0000
"COVENTRY",88967.0000
"CROMWELL",83739.0000
"DANBURY",67430.0000
"DARIEN",208125.0000
"DEEP RIVER",69861.0000
"DERBY",55316.0000
"DURHAM",114491.0000
"EAST GRANBY",88559.0000
"EAST HADDAM",79668.0000
"EAST HAMPTON",95923.0000
"EAST HARTFORD",50750.0000
"EAST HAVEN",63137.0000
"EAST LYME",85872.0000
"EAST WINDSOR",74784.0000
"EASTFORD",78309.0000
"EASTON",133356.0000
"ELLINGTON",79917.0000
"ENFIELD",71526.0000
"ESSEX",89950.0000
"FAIRFIELD",122135.0000
"FARMINGTON",95158.0000
"FRANKLIN",93438.0000
"GLASTONBURY",108600.0000
"GOSHEN",95219.0000
"GRANBY",109901.0000
"GREENWICH",134223.0000
"GRISWOLD",57312.0000
"GROTON",64074.0000
"GROTON (City of)",
"GUILFORD",102199.0000
"HADDAM",99258.0000
"HAMDEN",71665.0000
"HAMPTON",73684.0000
"HARTFORD",32095.0000
"HARTLAND",89438.0000
"HARWINTON",93770.0000
"HEBRON",110739.0000
"KENT",61875.0000
"KILLINGLY",60548.0000
"KILLINGWORTH",103295.0000
"LEBANON",88125.0000
"LEDYARD",84821.0000
"LISBON",86833.0000
"LITCHFIELD",80951.0000
"LYME",89643.0000
"MADISON",105673.0000
"MANCHESTER",65592.0000
"MANSFIELD",63391.0000
"MARLBOROUGH",103276.0000
"MERIDEN",55547.0000
"MIDDLEBURY",103235.0000
"MIDDLEFIELD",103262.0000
"MIDDLETOWN",63828.0000
"MILFORD",81844.0000
"MONROE",113333.0000
"MONTVILLE",73160.0000
"MORRIS",82031.0000
"NAUGATUCK",59522.0000
"NEW BRITAIN",41844.0000
"NEW CANAAN",176601.0000
"NEW FAIRFIELD",101392.0000
"NEW HARTFORD",92970.0000
"NEW HAVEN",38126.0000
"NEW LONDON",35357.0000
"NEW MILFORD",81350.0000
"NEWINGTON",80315.0000
"NEWTOWN",110036.0000
"NORFOLK",73804.0000
"NORTH BRANFORD",85357.0000
"NORTH CANAAN",75690.0000
"NORTH HAVEN",93696.0000
"NORTH STONINGTON",75091.0000
"NORWALK",80896.0000
"NORWICH",51758.0000
"OLD LYME",87971.0000
"OLD SAYBROOK",75237.0000
"ORANGE",106475.0000
"OXFORD",99311.0000
"PLAINFIELD",65254.0000
"PLAINVILLE",61907.0000
"PLYMOUTH",70635.0000
"POMFRET",88906.0000
"PORTLAND",81589.0000
"PRESTON",69439.0000
"PROSPECT",103659.0000
"PUTNAM",52224.0000
"REDDING",129643.0000
"RIDGEFIELD",145014.0000
"ROCKY HILL",81988.0000
"ROXBURY",110625.0000
"SALEM",104732.0000
"SALISBURY",74853.0000
"SCOTLAND",86397.0000
"SEYMOUR",79734.0000
"SHARON",82714.0000
"SHELTON",87277.0000
"SHERMAN",111667.0000
"SIMSBURY",110099.0000
"SOMERS",94765.0000
"SOUTH WINDSOR",100122.0000
"SOUTHBURY",85068.0000
"SOUTHINGTON",88214.0000
"SPRAGUE",65861.0000
"STAFFORD",63681.0000
"STAMFORD",81634.0000
"STERLING",68776.0000
"STONINGTON",78274.0000
"STRATFORD",69336.0000
"SUFFIELD",99098.0000
"THOMASTON",65901.0000
"THOMPSON",68869.0000
"TOLLAND",109382.0000
"TORRINGTON",58717.0000
"TRUMBULL",112674.0000
"UNION",88125.0000
"VERNON",61099.0000
"VOLUNTOWN",81023.0000
"WALLINGFORD",75942.0000
"WARREN",92083.0000
"WASHINGTON",82418.0000
"WATERBURY",39681.0000
"WATERFORD",78382.0000
"WATERTOWN",76175.0000
"WEST HARTFORD",91875.0000
"WEST HAVEN",50831.0000
"WESTBROOK",92721.0000
"WESTON",218152.0000
"WESTPORT",166307.0000
"WETHERSFIELD",78371.0000
"WILLINGTON",72237.0000
"WILTON",179844.0000
"WINCHESTER",57429.0000
"WINDHAM",40603.0000
"WINDSOR",82707.0000
"WINDSOR LOCKS",66494.0000
"WOLCOTT",83828.0000
"WOODBRIDGE",136786.0000
"WOODBURY",79387.0000
"WOODSTOCK",84700.0000
