MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,1.9945555300000000e+09,3.1936209500000000e+08,4.6025555000000000e+07,4.6427000000000000e+05,1.0169930000000000e+07,2.3895171800000000e+09,1.7617352000000000e+07,2.3718998280000000e+09,2.4196850500000000e+08,1.0776600000000000e+06,2.4089084500000000e+08,2.0351125900000000e+08,3.5628310000000000e+06,1.9994842800000000e+08,2.8349969440000000e+09,2.8127391010000000e+09,1.8939800000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.1952889000000000e+08,5.7181350000000000e+07,1.4860510000000000e+07,2.4237100000000000e+06,2.9637200000000000e+06,4.0278082000000000e+08,1.6999800000000000e+06,4.0108084000000000e+08,2.8423280000000000e+07,1.1266000000000000e+05,2.8310620000000000e+07,2.3802750000000000e+07,2.2202000000000000e+05,2.3580730000000000e+07,4.5500685000000000e+08,4.5297219000000000e+08,5.8226400000000000e+06
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.1528757010000000e+09,1.6927284900000000e+08,2.3466800000000000e+07,1.1623000000000000e+06,5.4194900000000000e+06,1.3681425400000000e+09,5.3169300000000000e+06,1.3628256100000000e+09,9.7888722000000000e+07,6.2407000000000000e+05,9.7264652000000000e+07,6.7106867000000000e+07,2.5514000000000000e+05,6.6851727000000000e+07,1.5331381290000000e+09,1.5269419890000000e+09,1.5945400000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,9.0531032000000000e+08,8.8212940000000000e+07,8.9717000000000000e+06,3.9773000000000000e+06,2.0865200000000000e+07,1.0577371600000000e+09,3.4522500000000000e+06,1.0542849100000000e+09,1.2136755000000000e+08,1.5676100000000000e+06,1.1979994000000000e+08,4.5843770000000000e+07,1.5854700000000000e+06,4.4258300000000000e+07,1.2249484800000000e+09,1.2183431500000000e+09,3.0399700000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.3283535000000000e+08,1.1844000000000000e+06,1.0039500000000000e+07,1.8083700000000000e+07,,1.6474752000000000e+08,1.2080000000000000e+06,1.6353952000000000e+08,1.2751637000000000e+07,1.5056000000000000e+05,1.2601077000000000e+07,6.0581050000000000e+06,5.0660000000000000e+04,6.0074450000000000e+06,1.8355726200000000e+08,1.8214804200000000e+08,2.6045700000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.8297111000000000e+08,1.4775375000000000e+07,6.1131300000000000e+06,3.1500000000000000e+05,5.3260000000000000e+05,4.1534581600000000e+08,1.1835000000000000e+06,4.1416231600000000e+08,4.4450020000000000e+07,2.4756000000000000e+05,4.4202460000000000e+07,2.2968504000000000e+07,8.0912000000000000e+05,2.2159384000000000e+07,4.8276434000000000e+08,4.8052416000000000e+08,1.0638601000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,3.4427273000000000e+08,1.2419000000000000e+07,,3.4780000000000000e+05,,3.8161873000000000e+08,3.8900000000000000e+05,3.8122973000000000e+08,1.4054990000000000e+07,8.5130000000000000e+04,1.3969860000000000e+07,1.0153050000000000e+07,5.3654000000000000e+05,9.6165100000000000e+06,4.0582677000000000e+08,4.0481610000000000e+08,2.4579200000000000e+07
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,7.8575530000000000e+08,3.3305300000000000e+07,1.6800000000000000e+06,1.3744000000000000e+06,4.8200000000000000e+04,8.2330140000000000e+08,2.8500500000000000e+06,8.2045135000000000e+08,1.0027468800000000e+08,5.9921000000000000e+05,9.9675478000000000e+07,3.3665090000000000e+07,3.0266800000000000e+06,3.0638410000000000e+07,9.5724117800000000e+08,9.5076523800000000e+08,1.1382000000000000e+06
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,8.6573788000000000e+08,1.8659892000000000e+08,3.6920560000000000e+07,,1.3565100000000000e+06,1.1005820000000000e+09,4.9761250000000000e+06,1.0956058750000000e+09,1.1308346000000000e+08,3.4461000000000000e+05,1.1273885000000000e+08,1.2513881000000000e+08,3.4952000000000000e+05,1.2478929000000000e+08,1.3388042700000000e+09,1.3331340150000000e+09,9.9681300000000000e+06
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,3.9446127000000000e+09,1.4026054000000000e+09,3.4415970000000000e+08,2.7877000000000000e+06,2.9013020000000000e+08,6.1223862000000000e+09,3.2468780000000000e+07,6.0899174200000000e+09,5.2894478500000000e+08,6.3046000000000000e+05,5.2831432500000000e+08,5.9595891000000000e+08,9.6757300000000000e+06,5.8628318000000000e+08,7.2472898950000000e+09,7.2045149250000000e+09,1.3809050000000000e+08
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,7.2248583000000000e+09,6.4732353000000000e+08,3.2326000000000000e+06,5.4740000000000000e+05,3.9723670000000000e+07,8.0435233500000000e+09,9.2450000000000000e+05,8.0425988500000000e+09,2.4122544000000000e+08,3.0360000000000000e+04,2.4119508000000000e+08,1.6432492000000000e+08,1.2876000000000000e+04,1.6431204400000000e+08,8.4490737100000000e+09,8.4481059740000000e+09,1.2783785000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,3.7027122000000000e+08,3.2250470000000000e+07,1.5118530000000000e+07,1.8953900000000000e+06,3.1310300000000000e+06,4.3185984000000000e+08,1.0505000000000000e+06,4.3080934000000000e+08,3.6051160000000000e+07,1.7490000000000000e+05,3.5876260000000000e+07,3.4320402000000000e+07,2.7586000000000000e+05,3.4044542000000000e+07,5.0223140200000000e+08,5.0073014200000000e+08,9.1932000000000000e+06
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,4.6848946000000000e+08,1.0134636000000000e+08,8.4409500000000000e+06,5.4294000000000000e+05,1.8705890000000000e+07,6.1047442000000000e+08,3.7200000000000000e+06,6.0675442000000000e+08,7.0076943000000000e+07,5.0448000000000000e+05,6.9572463000000000e+07,4.3050375000000000e+07,3.6377300000000000e+05,4.2686602000000000e+07,7.2360173800000000e+08,7.1901348500000000e+08,1.2948820000000000e+07
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,4.6177862500000000e+08,1.8452130000000000e+07,1.9160820000000000e+07,4.0425000000000000e+05,2.3065000000000000e+05,5.9860096500000000e+08,3.7533590000000000e+06,5.9484760600000000e+08,6.5533860000000000e+07,2.6553000000000000e+05,6.5268330000000000e+07,5.3779999000000000e+07,8.7254600000000000e+05,5.2907453000000000e+07,7.1791482400000000e+08,7.1302338900000000e+08,9.8574490000000000e+07
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.5829510000000000e+08,1.9502699000000000e+07,7.3776403000000000e+07,6.6680000000000000e+05,,4.5434280200000000e+08,4.1547010000000000e+06,4.5018810100000000e+08,6.1258495000000000e+07,5.6214000000000000e+05,6.0696355000000000e+07,1.1917278000000000e+08,7.4765000000000000e+05,1.1842513000000000e+08,6.3477407700000000e+08,6.2930958600000000e+08,2.1018000000000000e+06
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,7.0377955000000000e+08,3.1107790000000000e+07,7.0620300000000000e+06,,3.1570700000000000e+06,7.6908725000000000e+08,3.4364480000000000e+06,7.6565080200000000e+08,7.0834550000000000e+07,3.5093000000000000e+05,7.0483620000000000e+07,2.2755510000000000e+07,5.9227000000000000e+05,2.2163240000000000e+07,8.6267731000000000e+08,8.5829766200000000e+08,2.3980810000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,9.0092149900000000e+08,5.4122436000000000e+07,8.2934900000000000e+06,0.0000000000000000e+00,2.6207030000000000e+06,9.9918777500000000e+08,1.3905630000000000e+07,9.8528214500000000e+08,9.7391741000000000e+07,1.5626200000000000e+06,9.5829121000000000e+07,3.2457440000000000e+07,2.2154120000000000e+07,1.0303320000000000e+07,1.1290369560000000e+09,1.0914145860000000e+09,3.3229647000000000e+07
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1.4707153900000000e+09,3.8664796400000000e+08,2.3632660700000000e+08,1.5694600000000000e+06,1.0457637100000000e+08,2.2242965810000000e+09,1.2891590000000000e+07,2.2114049910000000e+09,2.6773161100000000e+08,1.7541600000000000e+06,2.6597745100000000e+08,5.3686003900000000e+08,7.2655000000000000e+05,5.3613348900000000e+08,3.0288882310000000e+09,3.0135159310000000e+09,2.4460789000000000e+07
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.4474581200000000e+09,2.9853916100000000e+08,1.9897729000000000e+07,,7.5213500000000000e+06,1.7993140600000000e+09,8.5430000000000000e+06,1.7907710600000000e+09,1.6660201100000000e+08,1.2120700000000000e+06,1.6538994100000000e+08,6.4425710000000000e+07,1.3366500000000000e+06,6.3089060000000000e+07,2.0303417810000000e+09,2.0192500610000000e+09,2.5897700000000000e+07
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.7145058700000000e+09,1.2282834800000000e+08,1.4238630000000000e+07,7.7385000000000000e+05,5.2778311000000000e+07,1.9494932490000000e+09,1.2165000000000000e+06,1.9482767490000000e+09,1.3115247000000000e+08,3.2085000000000000e+05,1.3083162000000000e+08,5.8671504000000000e+07,2.2130500000000000e+06,5.6458454000000000e+07,2.1393172230000000e+09,2.1355668230000000e+09,4.4368240000000000e+07
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,5.0174919000000000e+08,1.8132865000000000e+08,7.1007420000000000e+07,,3.8444230000000000e+07,8.0288306000000000e+08,2.9014900000000000e+06,7.9998157000000000e+08,9.9675090000000000e+07,2.2137000000000000e+05,9.9453720000000000e+07,9.3320080000000000e+07,1.1976600000000000e+06,9.2122420000000000e+07,9.9587823000000000e+08,9.9155771000000000e+08,1.0353570000000000e+07
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,1.0906518000000000e+08,6.0912000000000000e+06,3.0161100000000000e+06,0.0000000000000000e+00,,1.2312104000000000e+08,2.0124700000000000e+06,1.2110857000000000e+08,1.5027800000000000e+07,2.2356000000000000e+05,1.4804240000000000e+07,1.5183467000000000e+07,2.0453650000000000e+06,1.3138102000000000e+07,1.5333230700000000e+08,1.4905091200000000e+08,4.9485500000000000e+06
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.2011594600000000e+09,1.1706270000000000e+07,2.2752980000000000e+07,1.0748500000000000e+06,,1.2461275500000000e+09,7.3233500000000000e+05,1.2453952150000000e+09,7.7609335000000000e+07,4.3500000000000000e+04,7.7565835000000000e+07,1.7035904000000000e+07,3.6484000000000000e+05,1.6671064000000000e+07,1.3407727890000000e+09,1.3396321140000000e+09,9.4339900000000000e+06
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,9.6751688500000000e+08,7.8264260000000000e+07,1.7488550000000000e+07,6.1627000000000000e+05,8.3314960000000000e+07,1.1575887950000000e+09,6.5029900000000000e+06,1.1510858050000000e+09,1.3166605700000000e+08,1.0939900000000000e+06,1.3057206700000000e+08,6.2920000000000000e+07,1.3649200000000000e+06,6.1555080000000000e+07,1.3521748520000000e+09,1.3432129520000000e+09,1.0387870000000000e+07
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,1.8004221470000000e+09,3.6618450000000000e+08,1.7148928000000000e+08,5.2027400000000000e+06,5.9899810000000000e+07,2.4320431670000000e+09,1.2122460000000000e+07,2.4199207070000000e+09,2.6278563000000000e+08,1.5629600000000000e+06,2.6122267000000000e+08,2.5174964800000000e+08,9.0836700000000000e+05,2.5084128100000000e+08,2.9465784450000000e+09,2.9319846580000000e+09,2.8844690000000000e+07
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,7.9919694000000000e+08,1.1101547000000000e+08,3.3126150000000000e+07,,,9.4392906000000000e+08,1.6117500000000000e+06,9.4231731000000000e+08,6.6623460000000000e+07,2.4816000000000000e+05,6.6375300000000000e+07,4.7310971000000000e+07,1.9550000000000000e+04,4.7291421000000000e+07,1.0578634910000000e+09,1.0559840310000000e+09,5.9050000000000000e+05
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,8.7783364100000000e+09,1.0235775900000000e+09,4.2132370000000000e+07,3.6554210000000000e+07,8.8841900000000000e+06,9.9873165500000000e+09,3.0332180000000000e+07,9.9569843700000000e+09,5.2827909400000000e+08,1.3099900000000000e+06,5.2696910400000000e+08,3.0673527000000000e+08,5.7525700000000000e+06,3.0098270000000000e+08,1.0822330914000000e+10,1.0784936174000000e+10,9.7831780000000000e+07
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2.2648312300000000e+09,6.9531307100000000e+08,7.8476820000000000e+07,1.1590200000000000e+06,6.6632594000000000e+07,3.1338821350000000e+09,1.9132500000000000e+06,3.1319688850000000e+09,2.3184810600000000e+08,3.8904000000000000e+05,2.3145906600000000e+08,2.7267147400000000e+08,1.3908212000000000e+07,2.5876326200000000e+08,3.6384017150000000e+09,3.6221912130000000e+09,2.7469400000000000e+07
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.0955439000000000e+08,3.2621580000000000e+07,4.2476200000000000e+06,,1.0880000000000000e+06,1.5891773000000000e+08,4.1150000000000000e+05,1.5850623000000000e+08,2.1476900000000000e+07,7.2140000000000000e+04,2.1404760000000000e+07,2.5597760000000000e+07,5.1224000000000000e+05,2.5085520000000000e+07,2.0599239000000000e+08,2.0499651000000000e+08,1.1406140000000000e+07
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,2.8316463700000000e+09,4.9588708000000000e+08,7.0791660000000000e+07,6.7484100000000000e+06,2.6943540000000000e+07,3.4778313600000000e+09,4.6518500000000000e+06,3.4731795100000000e+09,2.9029929500000000e+08,8.5324600000000000e+05,2.8944604900000000e+08,1.7316412000000000e+08,5.4563900000000000e+06,1.6770773000000000e+08,3.9412947750000000e+09,3.9303332890000000e+09,4.5814300000000000e+07
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,4.3160866000000000e+08,1.6573300000000000e+07,5.4175000000000000e+05,2.4491700000000000e+06,1.7640000000000000e+05,4.8654616000000000e+08,1.7280600000000000e+06,4.8481810000000000e+08,3.0589740000000000e+07,1.5774000000000000e+05,3.0432000000000000e+07,1.0634810000000000e+07,7.5945000000000000e+05,9.8753600000000000e+06,5.2777071000000000e+08,5.2512546000000000e+08,3.5196880000000000e+07
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,8.0116884000000000e+08,4.0312160000000000e+07,3.7432500000000000e+06,6.9405000000000000e+05,2.9918700000000000e+06,8.6187355000000000e+08,1.6630800000000000e+06,8.6021047000000000e+08,8.9632930000000000e+07,3.8073000000000000e+05,8.9252200000000000e+07,2.4948120000000000e+07,1.3044300000000000e+06,2.3643690000000000e+07,9.7645460000000000e+08,9.7310636000000000e+08,1.2963380000000000e+07
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.4959377570000000e+10,5.1673381620000000e+09,3.3516562000000000e+08,4.3877680000000000e+07,3.1227238700000000e+08,3.0922510829000000e+10,1.7612000000000000e+07,3.0904898829000000e+10,7.8620369700000000e+08,2.0870300000000000e+06,7.8411666700000000e+08,6.6507256000000000e+08,2.0473900000000000e+06,6.6302517000000000e+08,3.2373787086000000e+10,3.2352040666000000e+10,1.0447941000000000e+08
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,5.4599213500000000e+08,3.7889558000000000e+07,3.9078400000000000e+06,1.9006320000000000e+06,8.9745780000000000e+06,6.1889698200000000e+08,5.1408000000000000e+06,6.1375618200000000e+08,7.5416620000000000e+07,7.7670000000000000e+05,7.4639920000000000e+07,2.2145953000000000e+07,2.3128070000000000e+06,1.9833146000000000e+07,7.1645955500000000e+08,7.0822924800000000e+08,2.0232239000000000e+07
