MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1943719000000000e+08,4.5043000000000000e+06,1.0683000000000000e+06,6.1680000000000000e+05,1.5360000000000000e+06,2.3310785000000000e+08,1.0769000000000000e+06,2.3203095000000000e+08,2.7900970000000000e+07,9.7029000000000000e+05,2.6930680000000000e+07,7.1966300000000000e+06,6.5600000000000000e+03,7.1900700000000000e+06,2.6820545000000000e+08,2.6615170000000000e+08,5.9452600000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.5097925200000000e+08,7.4909020000000000e+07,1.5489600000000000e+07,3.3000000000000000e+04,1.5401400000000000e+07,7.5693173200000000e+08,3.8012310000000000e+06,7.5313050100000000e+08,9.7798377000000000e+07,4.9275000000000000e+05,9.7305627000000000e+07,5.1870787000000000e+07,6.7390800000000000e+05,5.1196879000000000e+07,9.0660089600000000e+08,9.0163300700000000e+08,1.1946000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2684759500000000e+08,1.2750100000000000e+07,0.0000000000000000e+00,,9.2437000000000000e+06,2.6096152500000000e+08,1.2031750000000000e+06,2.5975835000000000e+08,3.1023780000000000e+07,9.3554000000000000e+05,3.0088240000000000e+07,1.0506713000000000e+07,1.4464800000000000e+06,9.0602330000000000e+06,3.0249201800000000e+08,2.9890682300000000e+08,1.2120130000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.0045800000000000e+09,2.9380294000000000e+08,3.0676870000000000e+07,3.2259000000000000e+05,,2.3343186800000000e+09,4.1957300000000000e+06,2.3301229500000000e+09,1.7716638000000000e+08,8.1695000000000000e+05,1.7634943000000000e+08,1.1151265000000000e+08,1.9634000000000000e+05,1.1131631000000000e+08,2.6229977100000000e+09,2.6177886900000000e+09,4.9362800000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.4946679000000000e+08,1.1949230000000000e+07,4.3302300000000000e+06,,2.1733800000000000e+06,3.0455704000000000e+08,1.0744200000000000e+06,3.0348262000000000e+08,3.2443010000000000e+07,4.1893000000000000e+05,3.2024080000000000e+07,1.6657480000000000e+07,1.2463000000000000e+05,1.6532850000000000e+07,3.5365753000000000e+08,3.5203955000000000e+08,3.6637410000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.6773918000000000e+08,1.3686680000000000e+07,3.0709230000000000e+07,3.1364000000000000e+05,7.3214000000000000e+05,4.2625814000000000e+08,3.3281400000000000e+06,4.2293000000000000e+08,4.3457090000000000e+07,3.7790000000000000e+05,4.3079190000000000e+07,2.7499219000000000e+07,2.7792000000000000e+05,2.7221299000000000e+07,4.9721444900000000e+08,4.9323048900000000e+08,1.3077270000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.4027627560000000e+09,2.5878500700000000e+08,1.2375326000000000e+08,2.9994000000000000e+06,1.0560000000000000e+05,1.8225860830000000e+09,6.0280750000000000e+06,1.8165580080000000e+09,2.0201890500000000e+08,7.4126200000000000e+06,1.9460628500000000e+08,2.5610781700000000e+08,3.1921000000000000e+05,2.5578860700000000e+08,2.2807128050000000e+09,2.2669529000000000e+09,3.4180060000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.5428183000000000e+08,2.5185480000000000e+07,4.8230900000000000e+06,,2.8138000000000000e+05,4.8805565000000000e+08,1.6558000000000000e+06,4.8639985000000000e+08,4.8165323000000000e+07,9.6050000000000000e+04,4.8069273000000000e+07,2.1850144000000000e+07,4.1366900000000000e+05,2.1436475000000000e+07,5.5807111700000000e+08,5.5590559800000000e+08,3.4838700000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.3049025100000000e+09,1.9573917000000000e+08,8.1032110000000000e+07,,2.0669640000000000e+07,1.6449906300000000e+09,4.4198700000000000e+06,1.6405707600000000e+09,1.4234505000000000e+08,3.1715000000000000e+05,1.4202790000000000e+08,1.6004471000000000e+08,2.3663000000000000e+05,1.5980808000000000e+08,1.9473803900000000e+09,1.9424067400000000e+09,4.2647200000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,2.9771250000000000e+08,2.2103200000000000e+07,2.5315000000000000e+06,,,3.3081233000000000e+08,2.6842900000000000e+06,3.2812804000000000e+08,3.4170390000000000e+07,9.3740000000000000e+04,3.4076650000000000e+07,8.5949880000000000e+06,9.7802800000000000e+05,7.6169600000000000e+06,3.7357770800000000e+08,3.6982165000000000e+08,8.4651300000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.0126225200000000e+09,2.6405801000000000e+08,2.0520348000000000e+08,,1.2315975000000000e+08,1.6092203600000000e+09,2.9830000000000000e+06,1.6062373600000000e+09,1.5237694000000000e+08,5.7055500000000000e+06,1.4667139000000000e+08,3.9898248000000000e+08,6.8785000000000000e+04,3.9891369500000000e+08,2.1605797800000000e+09,2.1518224450000000e+09,4.1766000000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.4797107000000000e+08,1.5337930000000000e+07,7.1614000000000000e+06,,2.4951000000000000e+06,3.8278617000000000e+08,1.9661400000000000e+06,3.8082003000000000e+08,4.0352275000000000e+07,8.2329000000000000e+05,3.9528985000000000e+07,1.1731583000000000e+07,2.2001000000000000e+05,1.1511573000000000e+07,4.3487002800000000e+08,4.3186058800000000e+08,9.8206700000000000e+06
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.4012969000000000e+08,1.0203580000000000e+07,2.3054930000000000e+07,,9.7175000000000000e+05,1.8262963000000000e+08,8.6868000000000000e+05,1.8176095000000000e+08,2.3483890000000000e+07,2.2475000000000000e+05,2.3259140000000000e+07,2.8032174000000000e+07,2.7626000000000000e+05,2.7755914000000000e+07,2.3414569400000000e+08,2.3277600400000000e+08,8.2696800000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.5973617800000000e+09,3.5472647000000000e+08,1.1297764000000000e+08,3.2127000000000000e+06,4.9523350000000000e+07,3.1356551900000000e+09,7.9424000000000000e+06,3.1277127900000000e+09,2.3270740000000000e+08,1.4491430000000000e+06,2.3125825700000000e+08,1.6570909900000000e+08,4.3721000000000000e+05,1.6527188900000000e+08,3.5340716890000000e+09,3.5242429360000000e+09,1.7853250000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,3.1054338130000000e+09,8.9385620400000000e+08,4.1156554800000000e+08,4.2004897000000000e+07,2.7286097200000000e+08,4.8067124200000000e+09,2.3505277000000000e+07,4.7832071430000000e+09,4.7108631500000000e+08,6.2890530000000000e+06,4.6479726200000000e+08,9.0375278500000000e+08,4.7629924000000000e+07,8.5612286100000000e+08,6.1815515200000000e+09,6.1041272660000000e+09,8.0990986000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.4332305200000000e+08,2.8675000000000000e+06,7.0110000000000000e+05,5.5480000000000000e+05,,3.7011869200000000e+08,8.0400000000000000e+05,3.6931469200000000e+08,1.7959975000000000e+07,9.0440000000000000e+04,1.7869535000000000e+07,4.4779950000000000e+06,2.3915000000000000e+05,4.2388450000000000e+06,3.9255666200000000e+08,3.9142307200000000e+08,2.2672240000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.3583925890000000e+09,4.9463162000000000e+08,2.1602956000000000e+08,2.2957200000000000e+06,1.3237539200000000e+08,3.2372292610000000e+09,3.6275058000000000e+07,3.2009542030000000e+09,3.7255201500000000e+08,2.5990600000000000e+06,3.6995295500000000e+08,5.2188209000000000e+08,1.7358456000000000e+07,5.0452363400000000e+08,4.1316633660000000e+09,4.0754307920000000e+09,3.3504380000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.6036329100000000e+09,2.5399128000000000e+08,8.0786280000000000e+07,8.4393800000000000e+06,2.2129640000000000e+07,2.0086728900000000e+09,3.6681200000000000e+06,2.0050047700000000e+09,1.4521760400000000e+08,1.7956300000000000e+06,1.4342197400000000e+08,1.3586906900000000e+08,9.5920000000000000e+04,1.3577314900000000e+08,2.2897595630000000e+09,2.2841998930000000e+09,3.9693400000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.6072092000000000e+08,4.7880100000000000e+07,3.7239000000000000e+06,2.9746000000000000e+06,1.6356600000000000e+07,4.4717224000000000e+08,2.0008900000000000e+06,4.4517135000000000e+08,5.6895130000000000e+07,9.2883500000000000e+05,5.5966295000000000e+07,4.3350599000000000e+07,9.0767000000000000e+05,4.2442929000000000e+07,5.4741796900000000e+08,5.4358057400000000e+08,1.5516120000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.4494148000000000e+08,1.2813680000000000e+07,2.8356300000000000e+06,,2.2073800000000000e+06,8.0775918000000000e+08,9.6955000000000000e+05,8.0678963000000000e+08,8.6468995000000000e+07,2.2710000000000000e+05,8.6241895000000000e+07,1.4841626000000000e+07,1.2299000000000000e+05,1.4718636000000000e+07,9.0906980100000000e+08,9.0775016100000000e+08,4.4961010000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.3083391000000000e+08,4.3629000000000000e+06,9.6736000000000000e+06,4.6852000000000000e+06,,1.5195671000000000e+08,2.4100000000000000e+05,1.5171571000000000e+08,8.3654100000000000e+06,2.3558000000000000e+05,8.1298300000000000e+06,1.3036660000000000e+07,4.8063000000000000e+05,1.2556030000000000e+07,1.7335878000000000e+08,1.7240157000000000e+08,2.4011000000000000e+06
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,2.7567462200000000e+08,1.1813260000000000e+07,4.6737000000000000e+06,3.2741000000000000e+06,1.9063600000000000e+06,3.1188069200000000e+08,3.1950000000000000e+06,3.0868569200000000e+08,4.0134750000000000e+07,6.5209000000000000e+05,3.9482660000000000e+07,1.1432350000000000e+07,7.4320000000000000e+05,1.0689150000000000e+07,3.6344779200000000e+08,3.5885750200000000e+08,1.4538650000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.2554674000000000e+08,1.3372161000000000e+08,9.2969100000000000e+06,1.5550000000000000e+05,6.2936600000000000e+06,9.8174548000000000e+08,1.4229900000000000e+06,9.8032249000000000e+08,8.4257409000000000e+07,1.9271000000000000e+05,8.4064699000000000e+07,4.4151990000000000e+07,1.8112000000000000e+05,4.3970870000000000e+07,1.1101548790000000e+09,1.1083580590000000e+09,6.7310600000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.1384440000000000e+08,8.1182000000000000e+06,1.2940000000000000e+06,0.0000000000000000e+00,2.9680000000000000e+05,1.2533430000000000e+08,4.2463000000000000e+05,1.2490967000000000e+08,1.7405090000000000e+07,5.5400000000000000e+04,1.7349690000000000e+07,1.9719920000000000e+07,4.1150000000000000e+05,1.9308420000000000e+07,1.6245931000000000e+08,1.6156778000000000e+08,1.7809000000000000e+06
