Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2015 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,217171.0000,"0 to 10,000",3.0878417767414086e+00
2,"DARIEN",3.5000000000000000e+01,208906.0000,"10,000 to 30,000",2.9703260297734997e+00
3,"WILTON",1.6200000000000000e+02,172095.0000,"10,000 to 30,000",2.4469295189887816e+00
4,"NEW CANAAN",9.1000000000000000e+01,168311.0000,"10,000 to 30,000",2.3931267861966985e+00
5,"WESTPORT",1.5900000000000000e+02,162907.0000,"10,000 to 30,000",2.3162901138900343e+00
6,"RIDGEFIELD",1.1900000000000000e+02,145902.0000,"10,000 to 30,000",2.0745048413928426e+00
7,"WOODBRIDGE",1.6800000000000000e+02,133412.0000,"0 to 10,000",1.8969160114316588e+00
8,"EASTON",4.7000000000000000e+01,131189.0000,"0 to 10,000",1.8653083277644282e+00
9,"GREENWICH",5.7000000000000000e+01,128153.0000,"30,000 to 70,000",1.8221410188963616e+00
10,"AVON",4.0000000000000000e+00,123894.0000,"10,000 to 30,000",1.7615845075429042e+00
11,"FAIRFIELD",5.1000000000000000e+01,122306.0000,"30,000 to 70,000",1.7390055594261420e+00
12,"REDDING",1.1800000000000000e+02,121270.0000,"0 to 10,000",1.7242752129217558e+00
13,"BURLINGTON",2.0000000000000000e+01,113472.0000,"0 to 10,000",1.6133994966657661e+00
14,"SIMSBURY",1.2900000000000000e+02,113355.0000,"10,000 to 30,000",1.6117359343674909e+00
15,"DURHAM",3.8000000000000000e+01,113152.0000,"0 to 10,000",1.6088495826875773e+00
16,"BROOKFIELD",1.8000000000000000e+01,112684.0000,"10,000 to 30,000",1.6021953334944761e+00
17,"KILLINGWORTH",7.1000000000000000e+01,112137.0000,"0 to 10,000",1.5944178242880096e+00
18,"TRUMBULL",1.4500000000000000e+02,111312.0000,"30,000 to 70,000",1.5826875773129914e+00
19,"NEWTOWN",9.8000000000000000e+01,111022.0000,"10,000 to 30,000",1.5785642177702577e+00
20,"TOLLAND",1.4300000000000000e+02,110593.0000,"10,000 to 30,000",1.5724644893432485e+00
21,"MONROE",8.6000000000000000e+01,110558.0000,"10,000 to 30,000",1.5719668425018840e+00
22,"GLASTONBURY",5.4000000000000000e+01,109018.0000,"10,000 to 30,000",1.5500703814818502e+00
23,"MARLBOROUGH",8.0000000000000000e+01,108698.0000,"0 to 10,000",1.5455204675036613e+00
