Municipality,numbered,SandP
"ANDOVER",1.0000000000000000e+00,"AA+"
"ANSONIA",2.0000000000000000e+00,"AA"
"ASHFORD",3.0000000000000000e+00,
"AVON",4.0000000000000000e+00,"AAA"
"BARKHAMSTED",5.0000000000000000e+00,"AA"
"BEACON FALLS",6.0000000000000000e+00,"AA"
"BERLIN",7.0000000000000000e+00,"AA+"
"BETHANY",8.0000000000000000e+00,
"BETHEL",9.0000000000000000e+00,"AAA"
"BETHLEHEM",1.0000000000000000e+01,
"BLOOMFIELD",1.1000000000000000e+01,"AA+"
"BOLTON",1.2000000000000000e+01,
"BOZRAH",1.3000000000000000e+01,
"BRANFORD",1.4000000000000000e+01,"AAA"
"BRIDGEPORT",1.5000000000000000e+01,"A"
"BRIDGEWATER",1.6000000000000000e+01,
"BRISTOL",1.7000000000000000e+01,"AA+"
"BROOKFIELD",1.8000000000000000e+01,"AAA"
"BROOKLYN",1.9000000000000000e+01,
"BURLINGTON",2.0000000000000000e+01,
"CANAAN",2.1000000000000000e+01,
"CANTERBURY",2.2000000000000000e+01,
"CANTON",2.3000000000000000e+01,"AAA"
"CHAPLIN",2.4000000000000000e+01,
"CHESHIRE",2.5000000000000000e+01,"AAA"
"CHESTER",2.6000000000000000e+01,
"CLINTON",2.7000000000000000e+01,
"COLCHESTER",2.8000000000000000e+01,
"COLEBROOK",2.9000000000000000e+01,
"COLUMBIA",3.0000000000000000e+01,
"CORNWALL",3.1000000000000000e+01,
"COVENTRY",3.2000000000000000e+01,
"CROMWELL",3.3000000000000000e+01,"AAA"
"DANBURY",3.4000000000000000e+01,"AA+"
"DARIEN",3.5000000000000000e+01,
"DEEP RIVER",3.6000000000000000e+01,
"DERBY",3.7000000000000000e+01,"AA"
"DURHAM",3.8000000000000000e+01,
"EAST GRANBY",3.9000000000000000e+01,
"EAST HADDAM",4.0000000000000000e+01,"AA+"
"EAST HAMPTON",4.1000000000000000e+01,"AAA"
"EAST HARTFORD",4.2000000000000000e+01,
"EAST HAVEN",4.3000000000000000e+01,"A+"
"EAST LYME",4.4000000000000000e+01,
"EAST WINDSOR",4.5000000000000000e+01,
"EASTFORD",4.6000000000000000e+01,
"EASTON",4.7000000000000000e+01,"AAA"
"ELLINGTON",4.8000000000000000e+01,
"ENFIELD",4.9000000000000000e+01,"AA"
"ESSEX",5.0000000000000000e+01,
"FAIRFIELD",5.1000000000000000e+01,"AAA"
"FARMINGTON",5.2000000000000000e+01,
"FRANKLIN",5.3000000000000000e+01,
"GLASTONBURY",5.4000000000000000e+01,"AAA"
"GOSHEN",5.5000000000000000e+01,
"GRANBY",5.6000000000000000e+01,"AA+"
"GREENWICH",5.7000000000000000e+01,"AAA"
"GRISWOLD",5.8000000000000000e+01,"AA"
"GROTON",5.9000000000000000e+01,"AA+"
"GROTON (City of)",6.0000000000000000e+01,"AA-"
"GUILFORD",6.1000000000000000e+01,"AAA"
"HADDAM",6.2000000000000000e+01,
"HAMDEN",6.3000000000000000e+01,"A+"
"HAMPTON",6.4000000000000000e+01,
"HARTFORD",6.5000000000000000e+01,"BBB"
"HARTLAND",6.6000000000000000e+01,
"HARWINTON",6.7000000000000000e+01,
