MUNICIPALITY,PER CAPITA INCOME - 2015 ESTIMATE
"ANDOVER",40182.0000
"ANSONIA",24359.0000
"ASHFORD",39139.0000
"AVON",66822.0000
"BARKHAMSTED",40156.0000
"BEACON FALLS",37736.0000
"BERLIN",40865.0000
"BETHANY",42397.0000
"BETHEL",43569.0000
"BETHLEHEM",43516.0000
"BLOOMFIELD",39155.0000
"BOLTON",49199.0000
"BOZRAH",34778.0000
"BRANFORD",44043.0000
"BRIDGEPORT",21002.0000
"BRIDGEWATER",66035.0000
"BRISTOL",31709.0000
"BROOKFIELD",47633.0000
"BROOKLYN",27244.0000
"BURLINGTON",47339.0000
"CANAAN",42222.0000
"CANTERBURY",33135.0000
"CANTON",47497.0000
"CHAPLIN",31326.0000
"CHESHIRE",44280.0000
"CHESTER",40730.0000
"CLINTON",36954.0000
"COLCHESTER",38599.0000
"COLEBROOK",34330.0000
"COLUMBIA",39947.0000
"CORNWALL",49753.0000
"COVENTRY",39552.0000
"CROMWELL",40905.0000
"DANBURY",31284.0000
"DARIEN",96767.0000
"DEEP RIVER",43294.0000
"DERBY",26119.0000
"DURHAM",48570.0000
"EAST GRANBY",38544.0000
"EAST HADDAM",39877.0000
"EAST HAMPTON",42259.0000
"EAST HARTFORD",24961.0000
"EAST HAVEN",31781.0000
"EAST LYME",41161.0000
"EAST WINDSOR",34623.0000
"EASTFORD",35011.0000
"EASTON",58532.0000
"ELLINGTON",43323.0000
"ENFIELD",30116.0000
"ESSEX",53427.0000
"FAIRFIELD",60155.0000
"FARMINGTON",52341.0000
"FRANKLIN",39151.0000
"GLASTONBURY",57709.0000
"GOSHEN",39089.0000
"GRANBY",52984.0000
"GREENWICH",90087.0000
"GRISWOLD",30814.0000
"GROTON",35638.0000
"GROTON (City of)",
"GUILFORD",52071.0000
"HADDAM",46119.0000
"HAMDEN",34907.0000
"HAMPTON",37031.0000
"HARTFORD",17311.0000
"HARTLAND",36787.0000
"HARWINTON",45301.0000
"HEBRON",43632.0000
"KENT",34015.0000
"KILLINGLY",27210.0000
"KILLINGWORTH",48537.0000
"LEBANON",35798.0000
"LEDYARD",38344.0000
"LISBON",35711.0000
"LITCHFIELD",45766.0000
"LYME",51318.0000
"MADISON",52413.0000
"MANCHESTER",33154.0000
"MANSFIELD",19613.0000
"MARLBOROUGH",44991.0000
"MERIDEN",28601.0000
"MIDDLEBURY",44074.0000
"MIDDLEFIELD",43369.0000
"MIDDLETOWN",34992.0000
"MILFORD",40616.0000
"MONROE",48998.0000
"MONTVILLE",29689.0000
"MORRIS",46999.0000
"NAUGATUCK",32241.0000
"NEW BRITAIN",21470.0000
"NEW CANAAN",105846.0000
"NEW FAIRFIELD",43622.0000
"NEW HARTFORD",36769.0000
"NEW HAVEN",23527.0000
"NEW LONDON",21736.0000
"NEW MILFORD",39331.0000
"NEWINGTON",38192.0000
"NEWTOWN",48744.0000
"NORFOLK",45462.0000
"NORTH BRANFORD",41661.0000
"NORTH CANAAN",29689.0000
"NORTH HAVEN",38137.0000
"NORTH STONINGTON",33841.0000
"NORWALK",43570.0000
"NORWICH",26823.0000
"OLD LYME",46429.0000
"OLD SAYBROOK",44293.0000
"ORANGE",49776.0000
"OXFORD",39438.0000
"PLAINFIELD",27137.0000
"PLAINVILLE",31306.0000
"PLYMOUTH",31511.0000
"POMFRET",40380.0000
"PORTLAND",45534.0000
"PRESTON",34231.0000
"PROSPECT",39229.0000
"PUTNAM",25888.0000
"REDDING",61043.0000
"RIDGEFIELD",75634.0000
"ROCKY HILL",42252.0000
"ROXBURY",68446.0000
"SALEM",41667.0000
"SALISBURY",53332.0000
"SCOTLAND",31378.0000
"SEYMOUR",33917.0000
"SHARON",57523.0000
"SHELTON",42417.0000
"SHERMAN",63914.0000
"SIMSBURY",53329.0000
"SOMERS",33792.0000
"SOUTH WINDSOR",45100.0000
"SOUTHBURY",42350.0000
"SOUTHINGTON",39808.0000
"SPRAGUE",29973.0000
"STAFFORD",30952.0000
"STAMFORD",47819.0000
"STERLING",26809.0000
"STONINGTON",43749.0000
"STRATFORD",34467.0000
"SUFFIELD",41104.0000
"THOMASTON",31576.0000
"THOMPSON",33643.0000
"TOLLAND",45901.0000
"TORRINGTON",29737.0000
"TRUMBULL",46037.0000
"UNION",43276.0000
"VERNON",33874.0000
"VOLUNTOWN",32006.0000
"WALLINGFORD",38067.0000
"WARREN",52716.0000
"WASHINGTON",70264.0000
"WATERBURY",20685.0000
"WATERFORD",39135.0000
"WATERTOWN",36883.0000
"WEST HARTFORD",49600.0000
"WEST HAVEN",26143.0000
"WESTBROOK",48545.0000
"WESTON",92794.0000
"WESTPORT",97395.0000
"WETHERSFIELD",38753.0000
"WILLINGTON",36630.0000
"WILTON",78131.0000
"WINCHESTER",31050.0000
"WINDHAM",19783.0000
"WINDSOR",36322.0000
"WINDSOR LOCKS",34035.0000
"WOLCOTT",34468.0000
"WOODBRIDGE",58594.0000
"WOODBURY",46853.0000
"WOODSTOCK",35502.0000
