TANF16%,TANF15%,MUNICIPALITY,numbered,2016 TANF RECIPIENTS,2015 TANF RECIPIENTS,Sort ID
3.9328742157637535e-02,4.4586552263600150e-02,"HARTFORD",6.5000000000000000e+01,4.8770000000000000e+03,5.5290000000000000e+03,1
3.3169431930557082e-02,3.4872541478958359e-02,"NEW BRITAIN",9.0000000000000000e+01,2.4150000000000000e+03,2.5390000000000000e+03,2
3.1437516305765717e-02,3.3317475176869601e-02,"NEW HAVEN",9.4000000000000000e+01,4.0970000000000000e+03,4.3420000000000000e+03,3
2.8446168268965646e-02,3.2591312659693755e-02,"WATERBURY",1.5200000000000000e+02,3.0950000000000000e+03,3.5460000000000000e+03,4
1.9573935759225874e-02,2.3106074542845578e-02,"NEW LONDON",9.5000000000000000e+01,5.3200000000000000e+02,6.2800000000000000e+02,5
1.8903780756151230e-02,1.9770620790824832e-02,"MERIDEN",8.1000000000000000e+01,1.1340000000000000e+03,1.1860000000000000e+03,6
1.8347514012661801e-02,2.3831606113149724e-02,"WINDHAM",1.6400000000000000e+02,4.5500000000000000e+02,5.9100000000000000e+02,7
1.7444046216697161e-02,2.1078222511842402e-02,"NORWICH",1.0500000000000000e+02,6.9600000000000000e+02,8.4100000000000000e+02,8
1.4759972634103056e-02,1.7273029011915002e-02,"BRIDGEPORT",1.5000000000000000e+01,2.1790000000000000e+03,2.5500000000000000e+03,9
1.4738002007044332e-02,1.7473091832116646e-02,"EAST HARTFORD",4.2000000000000000e+01,7.4900000000000000e+02,8.8800000000000000e+02,10
1.4571331751948491e-02,1.6604540833615723e-02,"SPRAGUE",1.3400000000000000e+02,4.3000000000000000e+01,4.9000000000000000e+01,11
1.2654668166479191e-02,1.3597565010256071e-02,"BRISTOL",1.7000000000000000e+01,7.6500000000000000e+02,8.2200000000000000e+02,12
1.2199002864113715e-02,1.5275273151585870e-02,"ANSONIA",2.0000000000000000e+00,2.3000000000000000e+02,2.8800000000000000e+02,13
1.1160267263822892e-02,1.1797476650827463e-02,"WEST HAVEN",1.5600000000000000e+02,6.1300000000000000e+02,6.4800000000000000e+02,14
1.0412536418018516e-02,1.2205423483372696e-02,"MANCHESTER",7.8000000000000000e+01,6.0400000000000000e+02,7.0800000000000000e+02,15
1.0243277848911651e-02,1.3657703798548870e-02,"PUTNAM",1.1700000000000000e+02,9.6000000000000000e+01,1.2800000000000000e+02,16
9.2913385826771649e-03,1.0472440944881889e-02,"DERBY",3.7000000000000000e+01,1.1800000000000000e+02,1.3300000000000000e+02,17
