Municipality,Mill Rates  FY 2010-11
"ANDOVER",2.7600000000000001e+01
"ANSONIA",2.5750000000000000e+01
"ASHFORD",2.5430000000000000e+01
"AVON",2.4440000000000001e+01
"BARKHAMSTED",2.2390000000000001e+01
"BEACON FALLS",2.5600000000000001e+01
"BERLIN",2.3649999999999999e+01
"BETHANY",2.7550000000000001e+01
"BETHEL",2.2440000000000001e+01
"BETHLEHEM",2.1250000000000000e+01
"BLOOMFIELD",3.2719999999999999e+01
"BOLTON",2.8949999999999999e+01
"BOZRAH",2.1000000000000000e+01
"BRANFORD",2.3570000000000000e+01
"BRIDGEPORT",3.9647599999999997e+01
"BRIDGEWATER",1.5500000000000000e+01
"BRISTOL",2.7239999999999998e+01
"BROOKFIELD",1.9469999999999999e+01
"BROOKLYN",2.2289999999999999e+01
"BURLINGTON",2.6570000000000000e+01
"CANAAN",1.9500000000000000e+01
"CANTERBURY",2.1199999999999999e+01
"CANTON",2.6090000000000000e+01
"CHAPLIN",3.0149999999999999e+01
"CHESHIRE",2.6500000000000000e+01
"CHESTER",2.2109999999999999e+01
"CLINTON",2.2410000000000000e+01
"COLCHESTER",2.5070000000000000e+01
"COLEBROOK",2.4809999999999999e+01
"COLUMBIA",2.3550000000000001e+01
"CORNWALL",1.2319000000000001e+01
"COVENTRY",2.6579999999999998e+01
"CROMWELL",2.6840000000000000e+01
"DANBURY",2.0960000000000001e+01
"DARIEN",1.1740000000000000e+01
"DEEP RIVER",2.1730000000000000e+01
"DERBY",2.7399999999999999e+01
"DURHAM",2.6809999999999999e+01
"EAST GRANBY",2.7090000000000000e+01
"EAST HADDAM",2.0870000000000001e+01
"EAST HAMPTON",2.4980000000000000e+01
"EAST HARTFORD",3.3820000000000000e+01
"EAST HAVEN",2.6840000000000000e+01
"EAST LYME",1.9550999999999998e+01
"EAST WINDSOR",2.3996400000000001e+01
"EASTFORD",2.1000000000000000e+01
"EASTON",2.2399999999999999e+01
"ELLINGTON",2.5300000000000001e+01
"ENFIELD",2.3879999999999999e+01
"ESSEX",1.7629999999999999e+01
"FAIRFIELD",1.9270000000000000e+01
"FARMINGTON",2.0460000000000001e+01
"FRANKLIN",1.9539999999999999e+01
"GLASTONBURY",2.9649999999999999e+01
"GOSHEN",1.5000000000000000e+01
"GRANBY",2.9789999999999999e+01
"GREENWICH",8.5960000000000001e+00
