MUNICIPALITY,2015 TANF RECIPIENTS
"ANDOVER",9.0000000000000000e+00
"ANSONIA",2.8800000000000000e+02
"ASHFORD",1.4000000000000000e+01
"AVON",5.0000000000000000e+00
"BARKHAMSTED",6.0000000000000000e+00
"BEACON FALLS",2.2000000000000000e+01
"BERLIN",5.7000000000000000e+01
"BETHANY",4.0000000000000000e+00
"BETHEL",2.8000000000000000e+01
"BETHLEHEM",3.0000000000000000e+00
"BLOOMFIELD",1.7800000000000000e+02
"BOLTON",1.3000000000000000e+01
"BOZRAH",4.0000000000000000e+00
"BRANFORD",7.8000000000000000e+01
"BRIDGEPORT",2.5500000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.2200000000000000e+02
"BROOKFIELD",9.0000000000000000e+00
"BROOKLYN",5.2000000000000000e+01
"BURLINGTON",1.4000000000000000e+01
"CANAAN",6.0000000000000000e+00
"CANTERBURY",2.5000000000000000e+01
"CANTON",1.7000000000000000e+01
"CHAPLIN",1.8000000000000000e+01
"CHESHIRE",1.9000000000000000e+01
"CHESTER",2.0000000000000000e+00
"CLINTON",2.8000000000000000e+01
"COLCHESTER",5.3000000000000000e+01
"COLEBROOK",1.0000000000000000e+00
"COLUMBIA",1.4000000000000000e+01
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.7000000000000000e+01
"CROMWELL",2.5000000000000000e+01
"DANBURY",2.6400000000000000e+02
"DARIEN",6.0000000000000000e+00
"DEEP RIVER",3.0000000000000000e+00
"DERBY",1.3300000000000000e+02
"DURHAM",5.0000000000000000e+00
"EAST GRANBY",6.0000000000000000e+00
"EAST HADDAM",1.5000000000000000e+01
"EAST HAMPTON",3.4000000000000000e+01
"EAST HARTFORD",8.8800000000000000e+02
"EAST HAVEN",2.3300000000000000e+02
"EAST LYME",3.5000000000000000e+01
"EAST WINDSOR",6.9000000000000000e+01
"EASTFORD",1.0000000000000000e+00
"EASTON",1.0000000000000000e+00
"ELLINGTON",3.0000000000000000e+01
"ENFIELD",2.9900000000000000e+02
"ESSEX",5.0000000000000000e+00
"FAIRFIELD",4.1000000000000000e+01
"FARMINGTON",4.8000000000000000e+01
"FRANKLIN",4.0000000000000000e+00
"GLASTONBURY",5.7000000000000000e+01
"GOSHEN",3.0000000000000000e+00
"GRANBY",1.0000000000000000e+01
"GREENWICH",1.0600000000000000e+02
"GRISWOLD",1.2100000000000000e+02
"GROTON",2.9900000000000000e+02
"GROTON (City of)",
"GUILFORD",4.0000000000000000e+01
"HADDAM",1.3000000000000000e+01
"HAMDEN",4.4600000000000000e+02
"HAMPTON",7.0000000000000000e+00
"HARTFORD",5.5290000000000000e+03
"HARTLAND",2.0000000000000000e+00
"HARWINTON",4.0000000000000000e+00
"HEBRON",9.0000000000000000e+00
"KENT",1.0000000000000000e+00
"KILLINGLY",2.1900000000000000e+02
"KILLINGWORTH",5.0000000000000000e+00
"LEBANON",2.6000000000000000e+01
"LEDYARD",6.8000000000000000e+01
"LISBON",1.0000000000000000e+01
"LITCHFIELD",1.6000000000000000e+01
"LYME",1.0000000000000000e+00
"MADISON",1.0000000000000000e+01
"MANCHESTER",7.0800000000000000e+02
"MANSFIELD",3.7000000000000000e+01
"MARLBOROUGH",1.2000000000000000e+01
"MERIDEN",1.1860000000000000e+03
"MIDDLEBURY",5.0000000000000000e+00
"MIDDLEFIELD",7.0000000000000000e+00
"MIDDLETOWN",4.4400000000000000e+02
"MILFORD",1.1800000000000000e+02
"MONROE",8.0000000000000000e+00
"MONTVILLE",8.0000000000000000e+01
"MORRIS",1.0000000000000000e+01
"NAUGATUCK",2.6800000000000000e+02
"NEW BRITAIN",2.5390000000000000e+03
"NEW CANAAN",2.1000000000000000e+01
"NEW FAIRFIELD",1.6000000000000000e+01
"NEW HARTFORD",6.0000000000000000e+00
"NEW HAVEN",4.3420000000000000e+03
"NEW LONDON",6.2800000000000000e+02
"NEW MILFORD",7.2000000000000000e+01
"NEWINGTON",9.0000000000000000e+01
"NEWTOWN",2.2000000000000000e+01
"NORFOLK",0.0000000000000000e+00
"NORTH BRANFORD",3.4000000000000000e+01
"NORTH CANAAN",5.0000000000000000e+00
"NORTH HAVEN",5.9000000000000000e+01
"NORTH STONINGTON",9.0000000000000000e+00
"NORWALK",3.3200000000000000e+02
"NORWICH",8.4100000000000000e+02
"OLD LYME",7.0000000000000000e+00
"OLD SAYBROOK",1.5000000000000000e+01
"ORANGE",2.1000000000000000e+01
"OXFORD",1.8000000000000000e+01
"PLAINFIELD",1.5200000000000000e+02
"PLAINVILLE",9.8000000000000000e+01
"PLYMOUTH",8.3000000000000000e+01
"POMFRET",8.0000000000000000e+00
"PORTLAND",2.9000000000000000e+01
"PRESTON",2.0000000000000000e+01
"PROSPECT",1.7000000000000000e+01
"PUTNAM",1.2800000000000000e+02
"REDDING",3.0000000000000000e+00
"RIDGEFIELD",0.0000000000000000e+00
"ROCKY HILL",4.0000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",1.6000000000000000e+01
"SALISBURY",5.0000000000000000e+00
"SCOTLAND",5.0000000000000000e+00
"SEYMOUR",5.2000000000000000e+01
"SHARON",3.0000000000000000e+00
"SHELTON",1.0600000000000000e+02
"SHERMAN",3.0000000000000000e+00
"SIMSBURY",2.7000000000000000e+01
"SOMERS",3.2000000000000000e+01
"SOUTH WINDSOR",3.8000000000000000e+01
"SOUTHBURY",2.1000000000000000e+01
"SOUTHINGTON",1.5200000000000000e+02
"SPRAGUE",4.9000000000000000e+01
"STAFFORD",6.4000000000000000e+01
"STAMFORD",8.1700000000000000e+02
"STERLING",3.1000000000000000e+01
"STONINGTON",1.1600000000000000e+02
"STRATFORD",2.3900000000000000e+02
"SUFFIELD",2.7000000000000000e+01
"THOMASTON",2.0000000000000000e+01
"THOMPSON",5.2000000000000000e+01
"TOLLAND",2.5000000000000000e+01
"TORRINGTON",2.9700000000000000e+02
"TRUMBULL",2.3000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",2.7100000000000000e+02
"VOLUNTOWN",2.0000000000000000e+01
"WALLINGFORD",1.2600000000000000e+02
"WARREN",1.0000000000000000e+00
"WASHINGTON",2.0000000000000000e+00
"WATERBURY",3.5460000000000000e+03
"WATERFORD",5.7000000000000000e+01
"WATERTOWN",7.3000000000000000e+01
"WEST HARTFORD",2.1100000000000000e+02
"WEST HAVEN",6.4800000000000000e+02
"WESTBROOK",5.0000000000000000e+00
"WESTON",2.0000000000000000e+00
"WESTPORT",1.3000000000000000e+01
"WETHERSFIELD",6.8000000000000000e+01
"WILLINGTON",1.2000000000000000e+01
"WILTON",3.0000000000000000e+00
"WINCHESTER",9.9000000000000000e+01
"WINDHAM",5.9100000000000000e+02
"WINDSOR",1.7100000000000000e+02
"WINDSOR LOCKS",7.3000000000000000e+01
"WOLCOTT",2.9000000000000000e+01
"WOODBRIDGE",8.0000000000000000e+00
"WOODBURY",1.5000000000000000e+01
"WOODSTOCK",9.0000000000000000e+00
