Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2014 Population,Moody's_Bond_Ratings_Dec_2014,Moody's_Bond_Ratings_July_2014,area lmt,ACGLFY14,EGL,TANF14 Recipients,empl,ACMR,enrollmt
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"F",676991832.0000,-443964841.0000,236146543.0000,37794036.0000,350000.0000,0.0000,0.0000,0.0000,13395816.0000,13045816.0000,13045816.0000,"N",240139304.0000,290690776.0000,552115914.0000,267927607.0000,74023395.0000,549445907.0000,500000.0000,15940189.0000,2910284.0000,18138462.0000,259723.0000,203568.0000,471734.0000,0.0000,"N","Y",,622329724.0000,622329724.0000,293618037.0000,284699957.0000,9.6962693405650691e-01,336641533.0000,289259683.0000,8.5925132416741934e-01,1.4761200000000000e+05,"A2","A2",1.6000000000000000e+01,7110904657.0000,8275778088.8500,2.8130000000000000e+03,1.0213856560648713e-01,4.1854999999999997e+01,2.1008020000000000e+04
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"L",3746812.0000,3503201.0000,8904503.0000,44027.0000,0.0000,0.0000,0.0000,2326908.0000,3337712.0000,1010804.0000,3337712.0000,"N",184418.0000,6804048.0000,7183973.0000,4950398.0000,0.0000,7182726.0000,0.0000,0.0000,96000.0000,96000.0000,-94753.0000,8285.0000,-94753.0000,0.0000,"N","N",575886.0219,0.0000,575886.0219,6759555.0000,6745328.0000,9.9789527565054204e-01,6804437.0000,6777720.0000,9.9607359139338048e-01,1.6750000000000000e+03,,,1.6230000000000000e+01,387086614.0000,522898156.7400,0.0000000000000000e+00,5.9233449477351915e-02,1.7500000000000000e+01,1.6975000000000000e+02
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,"M",90349694.0000,10331728.0000,100741484.0000,159946.0000,0.0000,0.0000,161500.0000,51186.0000,7846832.0000,7634146.0000,7846832.0000,"N",7973832.0000,38862600.0000,48369004.0000,29649940.0000,3266877.0000,46709360.0000,511224.0000,511224.0000,929696.0000,929696.0000,1241172.0000,1686939.0000,1241172.0000,0.0000,"N","N",,26320000.0000,26320000.0000,38757802.0000,38440234.0000,9.9180634650024790e-01,39805991.0000,38748503.0000,9.7343394867370592e-01,1.4113000000000000e+04,,,1.2390000000000001e+01,1255940643.0000,1794452347.1400,3.9000000000000000e+01,5.4985430127961483e-02,3.0750000000000000e+01,2.0618499999999999e+03
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,"F",164321669.0000,-23319441.0000,141882173.0000,2108336.0000,42062.0000,0.0000,295320.0000,4654591.0000,28854322.0000,23862349.0000,28812260.0000,"N",46161761.0000,181696534.0000,240935273.0000,135882098.0000,16730060.0000,239563620.0000,0.0000,10068152.0000,3772000.0000,11050085.0000,-2400347.0000,171746.0000,389720.0000,0.0000,"N","N",,150620321.0000,150620321.0000,182473765.0000,179435370.0000,9.8334886661652432e-01,188701706.0000,181024471.0000,9.5931549765639113e-01,8.3784000000000000e+04,"Aa1","Aa1",4.2109999999999999e+01,6827106602.0000,9754447760.0000,3.2900000000000000e+02,5.2399207443142658e-02,2.6800000000000001e+01,1.0577420000000000e+04
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,"F",96371246.0000,28864801.0000,127177934.0000,1859411.0000,574718.0000,0.0000,0.0000,1408502.0000,18465687.0000,16482467.0000,17890969.0000,"N",14737968.0000,116637973.0000,137248698.0000,96322274.0000,11065206.0000,136227867.0000,637593.0000,637593.0000,2665674.0000,2665674.0000,-1007250.0000,936643.0000,-1007250.0000,0.0000,"N","Y",,86912708.0000,86912708.0000,116477451.0000,115662835.0000,9.9300623431397039e-01,117480067.0000,115991882.0000,9.8733244678861143e-01,2.1689000000000000e+04,"Aaa","Aaa",1.2859999999999999e+01,8891650290.0000,12451401016.7300,1.2000000000000000e+01,5.0781709180674740e-02,1.3170000000000000e+01,4.9308999999999996e+03
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,"M",12085979.0000,-1497158.0000,10660491.0000,-411574.0000,0.0000,0.0000,0.0000,60259.0000,175055.0000,114796.0000,175055.0000,"N",2740359.0000,12310468.0000,15709837.0000,11206997.0000,358386.0000,16370102.0000,0.0000,690004.0000,0.0000,0.0000,-660265.0000,-178318.0000,29739.0000,0.0000,"N","N",3796837.3985,656405.0000,4453242.3985,12277789.0000,12037831.0000,9.8045592736607545e-01,12629355.0000,12215795.0000,9.6725406800268110e-01,4.5710000000000000e+03,,,1.3550000000000001e+01,488069153.0000,674174035.4300,1.2000000000000000e+01,5.2392595179881242e-02,2.5079999999999998e+01,6.4460000000000002e+02
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"NH",49050907.0000,-7712000.0000,41347819.0000,-932890.0000,0.0000,0.0000,0.0000,0.0000,2716999.0000,2716999.0000,2716999.0000,"N",13542428.0000,25774455.0000,43430691.0000,20697007.0000,1266853.0000,42217547.0000,0.0000,0.0000,489388.0000,489388.0000,723756.0000,350646.0000,723756.0000,0.0000,"N","N",,8346950.0000,8346950.0000,26011029.0000,25169145.0000,9.6763357574204389e-01,27818793.0000,25705256.0000,9.2402484895732173e-01,1.2768000000000000e+04,,,4.9800000000000004e+00,744835102.0000,943469618.0900,1.3100000000000000e+02,8.1151832460732987e-02,3.5340000000000003e+01,1.6328900000000001e+03
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,"M",39348582.0000,4643214.0000,44023324.0000,660756.0000,2500.0000,0.0000,0.0000,237489.0000,2562391.0000,2322402.0000,2559891.0000,"N",4644133.0000,24299267.0000,29334002.0000,22605364.0000,0.0000,28522849.0000,475654.0000,475654.0000,794200.0000,794200.0000,492607.0000,145740.0000,492607.0000,0.0000,"N","N",7316022.0000,62713.0000,7378735.0000,24083725.0000,23761663.0000,9.8662740086925926e-01,24630858.0000,24092141.0000,9.7812837051799006e-01,7.3480000000000000e+03,,,2.3600000000000001e+01,737429530.0000,1008830952.7300,4.0000000000000000e+00,4.7563534623455347e-02,3.2659999999999997e+01,1.2414100000000001e+03
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,"H",22845826.0000,3532575.0000,28029520.0000,440834.0000,45743.0000,0.0000,0.0000,967646.0000,3825895.0000,2812506.0000,3780152.0000,"N",2864532.0000,16920510.0000,20138719.0000,14282030.0000,578013.0000,19339421.0000,0.0000,0.0000,450000.0000,450000.0000,349298.0000,253451.0000,349298.0000,0.0000,"N","N",,6800000.0000,6800000.0000,16715258.0000,16524880.0000,9.8861052578428643e-01,17180873.0000,16793285.0000,9.7744072725524478e-01,5.2120000000000000e+03,"Aa2","Aa2",1.7480000000000000e+01,590727726.0000,804101890.4000,6.0000000000000000e+00,4.9374588545095459e-02,2.8199999999999999e+01,9.2139999999999998e+02
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,"M",57015743.0000,15904786.0000,73360322.0000,3502438.0000,0.0000,0.0000,0.0000,556482.0000,4421504.0000,3865022.0000,4421504.0000,"N",7143416.0000,22029161.0000,30189033.0000,21391246.0000,2296789.0000,29854398.0000,300046.0000,300046.0000,893835.0000,893835.0000,-259154.0000,-1152784.0000,-259154.0000,0.0000,"N","N",,18059351.0000,18059351.0000,21965909.0000,21638140.0000,9.8507828653938245e-01,22366927.0000,21847780.0000,9.7678952499822613e-01,9.1270000000000000e+03,,,5.4329999999999998e+01,843905515.0000,1206408850.0000,1.1000000000000000e+01,5.7854560064282842e-02,2.6010000000000002e+01,1.2302900000000000e+03
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,"M",71600194.0000,11629781.0000,84973094.0000,1503713.0000,0.0000,0.0000,0.0000,0.0000,4872509.0000,4872509.0000,4872509.0000,"N",12505757.0000,30227688.0000,43302766.0000,31395954.0000,1106319.0000,41825453.0000,34879.0000,44300.0000,1522916.0000,1522916.0000,-10724.0000,292657.0000,-1303.0000,0.0000,"N","N",,8460815.0000,8460815.0000,30178771.0000,29481088.0000,9.7688166294114498e-01,31498271.0000,29909324.0000,9.4955446919610287e-01,1.2874000000000000e+04,"Aa3","Aa3",3.5590000000000003e+01,1127504483.0000,1555518029.0700,3.3000000000000000e+01,5.0470260961716785e-02,2.6629999999999999e+01,1.9874100000000001e+03
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,"H",100706000.0000,-29925000.0000,70955000.0000,-14550000.0000,0.0000,0.0000,0.0000,626000.0000,14593000.0000,13967000.0000,14593000.0000,"N",63834000.0000,118022000.0000,191742000.0000,107307000.0000,10283000.0000,191356000.0000,661000.0000,661000.0000,1080000.0000,1080000.0000,-33000.0000,-585000.0000,-33000.0000,0.0000,"N","Y",,66272000.0000,66272000.0000,117379000.0000,114914000.0000,9.7899965070412931e-01,121411000.0000,117789000.0000,9.7016744776008768e-01,5.1033000000000000e+04,"Aa2","Aa2",1.8020000000000000e+01,2688831662.0000,3936906558.0700,9.6500000000000000e+02,8.5375609046614787e-02,4.3899999999999999e+01,8.1651499999999996e+03
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"NH",52762397.0000,-24434562.0000,30274946.0000,-2089394.0000,0.0000,0.0000,0.0000,0.0000,2551976.0000,2551976.0000,2551976.0000,"N",26530783.0000,62439118.0000,91610030.0000,50428317.0000,7572158.0000,90657600.0000,0.0000,0.0000,904.0000,904.0000,951526.0000,1162607.0000,951526.0000,0.0000,"N","Y",,37984230.0000,37984230.0000,60695731.0000,59311720.0000,9.7719755611807357e-01,63781730.0000,60606418.0000,9.5021596309789658e-01,2.9044000000000000e+04,"A3","A3",1.2260000000000000e+01,1974186731.0000,2578578931.0400,2.4900000000000000e+02,7.4414186193793544e-02,3.0949999999999999e+01,3.4766300000000001e+03
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"NL",58343837.0000,15365711.0000,73716588.0000,-326907.0000,0.0000,0.0000,0.0000,1582908.0000,6410773.0000,4827865.0000,6410773.0000,"N",14329374.0000,47820460.0000,68698564.0000,48126767.0000,5276364.0000,69302917.0000,1040728.0000,1040728.0000,276000.0000,276000.0000,160375.0000,289374.0000,160375.0000,0.0000,"N","N",,52802003.0000,52802003.0000,47723345.0000,46939575.0000,9.8357680082986643e-01,49091881.0000,47388170.0000,9.6529546301149061e-01,1.9140000000000000e+04,"Aa2","Aa2",3.4030000000000001e+01,2050119208.0000,2932491385.1500,5.0000000000000000e+01,5.8413656950412264e-02,2.3349000000000000e+01,2.6901399999999999e+03
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"H",46225787.0000,9988804.0000,56328893.0000,1523421.0000,0.0000,0.0000,0.0000,357254.0000,7451352.0000,7094098.0000,7451352.0000,"N",8810002.0000,28008686.0000,37367493.0000,23072375.0000,1490619.0000,36132209.0000,324447.0000,3126866.0000,425765.0000,3183280.0000,1133966.0000,755926.0000,1178870.0000,0.0000,"N","N",,5881867.0000,5881867.0000,27856236.0000,27238385.0000,9.7782001128939311e-01,29128634.0000,27716989.0000,9.5153754892865905e-01,1.1423000000000000e+04,"Aa2","Aa2",2.6280000000000001e+01,929988582.0000,1330898945.7100,4.7000000000000000e+01,6.6790640012397332e-02,2.9779100000000000e+01,1.3054600000000000e+03
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"W",3768288.0000,1456859.0000,5294667.0000,348476.0000,0.0000,173.0000,300000.0000,105269.0000,1806032.0000,1400590.0000,1805859.0000,"Y",1691351.0000,3558815.0000,5328682.0000,3854354.0000,58063.0000,5036794.0000,168676.0000,168676.0000,14000.0000,14000.0000,446564.0000,255803.0000,446564.0000,0.0000,"N","N",,275008.0000,275008.0000,3539863.0000,3432668.0000,9.6971775461366727e-01,3691474.0000,3501393.0000,9.4850810272536124e-01,1.7340000000000000e+03,,,2.8879999999999999e+01,164465448.0000,217697015.2100,3.0000000000000000e+00,5.5674518201284794e-02,2.1500000000000000e+01,2.0374000000000001e+02
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"F",59493930.0000,7440697.0000,66934627.0000,3777850.0000,0.0000,0.0000,0.0000,320000.0000,5100254.0000,4780254.0000,5100254.0000,"N",3036785.0000,38898014.0000,43844333.0000,27304586.0000,3207239.0000,42503602.0000,197180.0000,197180.0000,388157.0000,388157.0000,1149754.0000,-226719.0000,1149754.0000,0.0000,"N","N",7068048.2154,23135781.0000,30203829.2154,38571418.0000,38019338.0000,9.8568681089194077e-01,40007106.0000,38614717.0000,9.6519645784926311e-01,7.6310000000000000e+03,"Aaa","Aaa",2.7420000000000002e+01,1323625353.0000,1853145732.4400,5.0000000000000000e+00,4.7196870925684482e-02,2.9300000000000001e+01,1.4487800000000000e+03
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"T",49480060.0000,9462071.0000,62743000.0000,2644762.0000,0.0000,0.0000,4967019.0000,3983701.0000,11044785.0000,2094065.0000,11044785.0000,"N",15675412.0000,36379511.0000,53793866.0000,37658420.0000,1927541.0000,53063124.0000,106768.0000,106768.0000,260000.0000,260000.0000,577510.0000,1884526.0000,577510.0000,0.0000,"Y","N",,13256025.0000,13256025.0000,36315834.0000,35893052.0000,9.8835819108546430e-01,37252041.0000,36293882.0000,9.7427902004080802e-01,1.5795000000000000e+04,"Aa3","Aa3",3.4049999999999997e+01,1271301727.0000,1789664578.5400,3.7000000000000000e+01,5.1358846367165832e-02,2.8399999999999999e+01,2.7658200000000002e+03
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"H",192678000.0000,28604000.0000,223064000.0000,2284000.0000,4624000.0000,0.0000,1968000.0000,832000.0000,23465000.0000,16041000.0000,18841000.0000,"N",46613000.0000,83092000.0000,140901000.0000,77039000.0000,3519000.0000,133799000.0000,126000.0000,515000.0000,3579000.0000,3579000.0000,3649000.0000,1342000.0000,4038000.0000,0.0000,"N","N",,24083000.0000,24083000.0000,83132000.0000,81428000.0000,9.7950247798681611e-01,88565000.0000,83490000.0000,9.4269745384745662e-01,4.4626000000000000e+04,"Aa2","Aa2",3.3380000000000003e+01,2845323647.0000,4081383174.1400,2.6400000000000000e+02,6.3655838761858957e-02,2.9260000000000002e+01,5.5971899999999996e+03
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"M",14172017.0000,4112635.0000,18284652.0000,997734.0000,9947.0000,0.0000,72253.0000,242713.0000,3238887.0000,2913974.0000,3228940.0000,"N",1582749.0000,21326485.0000,23716546.0000,16539771.0000,906501.0000,23383146.0000,0.0000,80067.0000,425577.0000,425577.0000,-92177.0000,81293.0000,-12110.0000,0.0000,"N","N",5945675.1678,9121370.0000,15067045.1678,21321019.0000,21053694.0000,9.8746190320453253e-01,21653344.0000,21177094.0000,9.7800570664743514e-01,6.6120000000000000e+03,"Aa2","Aa2",1.0359999999999999e+01,1119610296.0000,1493863898.4700,3.0000000000000000e+00,5.2026618269812461e-02,1.8989999999999998e+01,9.3501999999999998e+02
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"F",246055000.0000,23367000.0000,274331000.0000,15806000.0000,0.0000,0.0000,0.0000,815000.0000,21983000.0000,21168000.0000,21983000.0000,"N",29508000.0000,256634000.0000,301187000.0000,171991000.0000,23357000.0000,293325000.0000,0.0000,0.0000,4685000.0000,4685000.0000,3177000.0000,2119000.0000,3177000.0000,0.0000,"N","Y",,197948188.0000,197948188.0000,256935000.0000,253640000.0000,9.8717574483818860e-01,261722000.0000,255474000.0000,9.7612734122465827e-01,6.1347000000000000e+04,"Aaa","Aaa",3.0030000000000001e+01,10889060051.0000,16145663531.3000,5.5000000000000000e+01,5.4363277051624311e-02,2.3930000000000000e+01,1.0303840000000000e+04
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"H",87902192.0000,12699697.0000,100601889.0000,3154431.0000,0.0000,0.0000,0.0000,122297.0000,9674190.0000,9551893.0000,9674190.0000,"N",13512775.0000,83594831.0000,99968583.0000,63908106.0000,7713185.0000,96586390.0000,0.0000,0.0000,2805604.0000,2805604.0000,576589.0000,839203.0000,576589.0000,0.0000,"N","N",,44250446.0000,44250446.0000,83534157.0000,83232370.0000,9.9638726227883045e-01,83932378.0000,83379021.0000,9.9340710923262532e-01,2.5627000000000000e+04,"Aaa","Aaa",2.8059999999999999e+01,3475173670.0000,4964907342.8600,4.3000000000000000e+01,4.5801526717557252e-02,2.4070000000000000e+01,4.0334099999999999e+03
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"NL",7967009.0000,1172480.0000,9141489.0000,197667.0000,0.0000,0.0000,0.0000,0.0000,867655.0000,867655.0000,867655.0000,"Y",1732750.0000,4623373.0000,6520322.0000,4360997.0000,271604.0000,6200049.0000,0.0000,0.0000,94750.0000,94750.0000,225523.0000,222147.0000,225523.0000,0.0000,"N","N",,1805130.0000,1805130.0000,4628408.0000,4575407.0000,9.8854876233901590e-01,4669923.0000,4595415.0000,9.8404513307821140e-01,1.9840000000000000e+03,,,1.9510000000000002e+01,215037865.0000,278675630.6700,6.0000000000000000e+00,6.2962962962962957e-02,2.1539999999999999e+01,2.6650999999999999e+02
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"H",220913819.0000,53075850.0000,273998196.0000,16403506.0000,223188.0000,0.0000,0.0000,1045142.0000,26916411.0000,25648081.0000,26693223.0000,"Y",20916758.0000,133909658.0000,159763437.0000,106599514.0000,10949431.0000,153504862.0000,58235.0000,11456347.0000,4401715.0000,14095794.0000,1915095.0000,5924387.0000,3619128.0000,0.0000,"N","N",,88206979.0000,88206979.0000,133617304.0000,132828871.0000,9.9409931965099374e-01,134480833.0000,133479410.0000,9.9255341465649605e-01,3.4754000000000000e+04,"Aaa","Aaa",5.1369999999999997e+01,3808546358.0000,5441509440.0000,5.8000000000000000e+01,4.4913709936756349e-02,3.5100000000000001e+01,6.5816000000000004e+03
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"L",5093443.0000,2772412.0000,8607022.0000,676296.0000,17933.0000,0.0000,36968.0000,327004.0000,1854704.0000,1472799.0000,1836771.0000,"Y",339750.0000,10028548.0000,10577971.0000,7250596.0000,0.0000,9891901.0000,51100.0000,51100.0000,636689.0000,636689.0000,100481.0000,-127779.0000,100481.0000,0.0000,"N","N",1014099.4130,0.0000,1014099.4130,9974682.0000,9875310.0000,9.9003757713779750e-01,10103088.0000,9952417.0000,9.8508663885734737e-01,2.9140000000000000e+03,,,4.3659999999999997e+01,518007170.0000,740215957.1400,5.0000000000000000e+00,5.0640634533251981e-02,1.9199999999999999e+01,3.7822000000000003e+02
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"H",46045125.0000,13186126.0000,59614106.0000,1247567.0000,0.0000,0.0000,15864.0000,1714573.0000,4601055.0000,2870618.0000,4601055.0000,"N",10814146.0000,33236196.0000,44755683.0000,30638153.0000,3457543.0000,43362672.0000,340232.0000,371532.0000,1224808.0000,1224808.0000,508435.0000,523680.0000,539735.0000,0.0000,"N","N",,27871352.0000,27871352.0000,33064702.0000,32782512.0000,9.9146552114699238e-01,33566408.0000,33055001.0000,9.8476432152049154e-01,1.1310000000000000e+04,,,4.0689999999999998e+01,954011490.0000,1363093257.1400,1.0000000000000000e+01,4.5584474198886712e-02,3.4829999999999998e+01,2.0236199999999999e+03
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"F",444529422.0000,42741230.0000,487963811.0000,30277823.0000,6245.0000,0.0000,0.0000,19473494.0000,47300136.0000,27820397.0000,47293891.0000,"N",32376036.0000,328529917.0000,391212359.0000,159830154.0000,25979658.0000,369009698.0000,5804398.0000,5804398.0000,15994000.0000,15994000.0000,12013059.0000,7742990.0000,12013059.0000,0.0000,"N","N",,117943220.0000,117943220.0000,328586523.0000,325007975.0000,9.8910926727204818e-01,334169532.0000,326866797.0000,9.7814661631090893e-01,6.2610000000000000e+04,"Aaa","Aaa",4.7829999999999998e+01,30824749610.0000,45635509075.6200,1.1900000000000000e+02,4.7982015525659491e-02,1.0675000000000001e+01,8.6606299999999992e+03
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"NL",83343269.0000,2913856.0000,86827548.0000,927768.0000,11211.0000,0.0000,0.0000,256190.0000,3964989.0000,3697588.0000,3953778.0000,"N",14451801.0000,18428474.0000,35285007.0000,28005356.0000,1692166.0000,33672866.0000,0.0000,0.0000,642999.0000,642999.0000,969142.0000,237794.0000,969142.0000,0.0000,"N","N",,17758936.0000,17758936.0000,18207564.0000,17746004.0000,9.7465009597110297e-01,19093253.0000,18156527.0000,9.5093942347068883e-01,1.1916000000000000e+04,,,3.4950000000000003e+01,695610176.0000,958388012.3800,1.4900000000000000e+02,8.0584354382657875e-02,2.6030000000000001e+01,1.8452300000000000e+03
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"NL",154930034.0000,45424903.0000,200693518.0000,3103732.0000,0.0000,0.0000,2700000.0000,4346530.0000,18488844.0000,11442314.0000,18488844.0000,"N",46217827.0000,81882690.0000,130721622.0000,82192134.0000,5707146.0000,126270189.0000,1014411.0000,1330260.0000,1913433.0000,1913433.0000,3552411.0000,1873693.0000,3868260.0000,0.0000,"N","Y",,59282038.0000,59282038.0000,80265647.0000,79198959.0000,9.8671052885177635e-01,83404327.0000,81236647.0000,9.7400998152050311e-01,4.0167000000000000e+04,"Aa2","Aa2",3.1300000000000001e+01,3868863246.0000,5453605492.4000,3.1200000000000000e+02,5.9893163546106944e-02,2.0719999999999999e+01,5.0141899999999996e+03
"GROTON (City of)",6.0000000000000000e+01,5.0100000000000000e+02,,18001407.0000,9456594.0000,28152219.0000,-3465.0000,9750.0000,0.0000,658790.0000,160862.0000,4153890.0000,3324488.0000,4144140.0000,"N",692025.0000,6166362.0000,13086079.0000,0.0000,989185.0000,16239533.0000,3119496.0000,3119496.0000,464533.0000,464533.0000,-498491.0000,445526.0000,-498491.0000,0.0000,"N","N",,5635000.0000,5635000.0000,5942495.0000,5905522.0000,9.9377820258998961e-01,6185972.0000,6140662.0000,9.9267536290173963e-01,,"Aa3","Aa3",,,,,,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"NH",45401748.0000,-11283815.0000,34117933.0000,7294102.0000,0.0000,0.0000,312053.0000,1677420.0000,7838225.0000,5848752.0000,7838225.0000,"N",11574815.0000,79780015.0000,93395758.0000,61781211.0000,3351551.0000,91998772.0000,0.0000,0.0000,176015.0000,176015.0000,1220971.0000,1533112.0000,1220971.0000,0.0000,"N","N",,36489000.0000,36489000.0000,74615429.0000,74268441.0000,9.9534964812706495e-01,75007983.0000,74564809.0000,9.9409164221893553e-01,2.2413000000000000e+04,"Aa2","Aa2",4.7049999999999997e+01,3493861794.0000,4401457458.5700,3.1000000000000000e+01,4.5729551347528874e-02,2.3059999999999999e+01,3.5590400000000000e+03
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"M",19169725.0000,8220600.0000,27485027.0000,796564.0000,0.0000,0.0000,0.0000,0.0000,3769261.0000,3769261.0000,3769261.0000,"N",2065467.0000,26605805.0000,29150891.0000,21414633.0000,260586.0000,27405281.0000,0.0000,19500.0000,1667070.0000,1667070.0000,78540.0000,476129.0000,98040.0000,0.0000,"N","N",7543526.5036,2753856.0000,10297382.5036,26502050.0000,26201284.0000,9.8865121754732177e-01,27576526.0000,26429340.0000,9.5839990867595137e-01,8.3330000000000000e+03,"Aa3","Aa3",4.4030000000000001e+01,899845277.0000,1197059823.3700,1.7000000000000000e+01,4.7733173557020170e-02,2.9480000000000000e+01,1.3390699999999999e+03
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"NH",130581284.0000,-361344455.0000,-230752294.0000,-31839012.0000,0.0000,0.0000,0.0000,1135.0000,2217340.0000,2216205.0000,2217340.0000,"N",43373808.0000,157520523.0000,208952934.0000,91700269.0000,16213367.0000,207944664.0000,0.0000,0.0000,480000.0000,480000.0000,528270.0000,494079.0000,528270.0000,0.0000,"N","Y",,119040000.0000,119040000.0000,157517657.0000,154936008.0000,9.8361041518031211e-01,161688412.0000,156674839.0000,9.6899237899621404e-01,6.1422000000000000e+04,"A3","A3",3.2780000000000001e+01,4062588948.0000,5513135592.2700,4.9500000000000000e+02,5.8357410532940468e-02,3.8940500000000000e+01,6.7070900000000001e+03
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"W",6459278.0000,570721.0000,9612364.0000,420957.0000,54562.0000,6910.0000,0.0000,233954.0000,799649.0000,504223.0000,738177.0000,"N",1929150.0000,4015434.0000,6069929.0000,4126273.0000,665546.0000,6236274.0000,0.0000,0.0000,112103.0000,112103.0000,-278448.0000,-186228.0000,-278448.0000,0.0000,"N","N",0.0000,0.0000,0.0000,3845612.0000,3799994.0000,9.8813764883196742e-01,4051030.0000,3949286.0000,9.7488441211247512e-01,1.8590000000000000e+03,,,2.5000000000000000e+01,155670037.0000,188468025.0000,1.0000000000000000e+01,6.1523437500000000e-02,2.4800000000000001e+01,1.9080000000000001e+02
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"H",983461000.0000,25662000.0000,1084843000.0000,-30868000.0000,0.0000,0.0000,0.0000,3859000.0000,16881000.0000,13022000.0000,16881000.0000,"N",286236000.0000,256765000.0000,557359000.0000,321535000.0000,54318000.0000,554418000.0000,10430000.0000,10430000.0000,26868000.0000,26868000.0000,-13497000.0000,265000.0000,-13497000.0000,0.0000,"N","Y",,527911000.0000,527911000.0000,248851000.0000,236497000.0000,9.5035583541958846e-01,287160000.0000,243420000.0000,8.4768073547847889e-01,1.2470500000000000e+05,"A2","A1",1.7309999999999999e+01,3484646856.0000,6888293807.2300,5.7720000000000000e+03,1.2184704502126412e-01,7.4290000000000006e+01,2.1784340000000000e+04
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,"H",7572679.0000,1873294.0000,9497201.0000,121244.0000,0.0000,0.0000,0.0000,183892.0000,1196728.0000,1012836.0000,1196728.0000,"N",2122498.0000,4777434.0000,7003552.0000,5134598.0000,212763.0000,6674691.0000,2519.0000,2519.0000,259787.0000,259787.0000,71593.0000,97696.0000,71593.0000,0.0000,"N","N",,904669.0000,904669.0000,4780653.0000,4723201.0000,9.8798239487367101e-01,4938078.0000,4801402.0000,9.7232202488498565e-01,2.1290000000000000e+03,"A1","A1",3.3020000000000003e+01,195097545.0000,288386501.3700,0.0000000000000000e+00,5.2212389380530973e-02,2.4500000000000000e+01,2.8656999999999999e+02
