MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2015 ESTIMATE
"ANDOVER",100321.0000
"ANSONIA",43305.0000
"ASHFORD",77870.0000
"AVON",123894.0000
"BARKHAMSTED",95735.0000
"BEACON FALLS",83155.0000
"BERLIN",87810.0000
"BETHANY",97254.0000
"BETHEL",92125.0000
"BETHLEHEM",84306.0000
"BLOOMFIELD",72762.0000
"BOLTON",97019.0000
"BOZRAH",77045.0000
"BRANFORD",71938.0000
"BRIDGEPORT",41801.0000
"BRIDGEWATER",98424.0000
"BRISTOL",61478.0000
"BROOKFIELD",112684.0000
"BROOKLYN",60694.0000
"BURLINGTON",113472.0000
"CANAAN",72321.0000
"CANTERBURY",83862.0000
"CANTON",87326.0000
"CHAPLIN",67054.0000
"CHESHIRE",106489.0000
"CHESTER",78750.0000
"CLINTON",71455.0000
"COLCHESTER",97313.0000
"COLEBROOK",81172.0000
"COLUMBIA",89986.0000
"CORNWALL",75833.0000
"COVENTRY",90309.0000
"CROMWELL",82081.0000
"DANBURY",66676.0000
"DARIEN",208906.0000
"DEEP RIVER",69395.0000
"DERBY",51596.0000
"DURHAM",113152.0000
"EAST GRANBY",72684.0000
"EAST HADDAM",82117.0000
"EAST HAMPTON",96299.0000
"EAST HARTFORD",48369.0000
"EAST HAVEN",63120.0000
"EAST LYME",84029.0000
"EAST WINDSOR",74798.0000
"EASTFORD",78466.0000
"EASTON",131189.0000
"ELLINGTON",85545.0000
"ENFIELD",67377.0000
"ESSEX",86376.0000
"FAIRFIELD",122306.0000
"FARMINGTON",91712.0000
"FRANKLIN",87708.0000
"GLASTONBURY",109018.0000
"GOSHEN",92361.0000
"GRANBY",102671.0000
"GREENWICH",128153.0000
"GRISWOLD",59153.0000
"GROTON",62137.0000
"GROTON (City of)",
"GUILFORD",99132.0000
"HADDAM",99866.0000
"HAMDEN",70791.0000
"HAMPTON",76625.0000
"HARTFORD",30630.0000
"HARTLAND",91964.0000
"HARWINTON",91875.0000
"HEBRON",105104.0000
"KENT",60714.0000
"KILLINGLY",55764.0000
"KILLINGWORTH",112137.0000
"LEBANON",89375.0000
"LEDYARD",84825.0000
"LISBON",81200.0000
"LITCHFIELD",82361.0000
"LYME",81650.0000
"MADISON",107183.0000
"MANCHESTER",63158.0000
"MANSFIELD",60263.0000
"MARLBOROUGH",108698.0000
"MERIDEN",54588.0000
"MIDDLEBURY",97756.0000
"MIDDLEFIELD",102426.0000
"MIDDLETOWN",63691.0000
"MILFORD",80247.0000
"MONROE",110558.0000
"MONTVILLE",70036.0000
"MORRIS",83750.0000
"NAUGATUCK",58078.0000
"NEW BRITAIN",40457.0000
"NEW CANAAN",168311.0000
"NEW FAIRFIELD",101273.0000
"NEW HARTFORD",87596.0000
"NEW HAVEN",37192.0000
"NEW LONDON",36250.0000
"NEW MILFORD",78343.0000
"NEWINGTON",79960.0000
"NEWTOWN",111022.0000
"NORFOLK",72875.0000
"NORTH BRANFORD",84697.0000
"NORTH CANAAN",69231.0000
"NORTH HAVEN",86340.0000
"NORTH STONINGTON",75954.0000
"NORWALK",76987.0000
"NORWICH",50078.0000
"OLD LYME",87025.0000
"OLD SAYBROOK",71796.0000
"ORANGE",107047.0000
"OXFORD",97296.0000
"PLAINFIELD",60673.0000
"PLAINVILLE",58500.0000
"PLYMOUTH",70167.0000
"POMFRET",91053.0000
"PORTLAND",90417.0000
"PRESTON",69275.0000
"PROSPECT",102397.0000
"PUTNAM",51621.0000
"REDDING",121270.0000
"RIDGEFIELD",145902.0000
"ROCKY HILL",81576.0000
"ROXBURY",96875.0000
"SALEM",105326.0000
"SALISBURY",82794.0000
"SCOTLAND",79896.0000
"SEYMOUR",76991.0000
"SHARON",74625.0000
"SHELTON",86870.0000
"SHERMAN",108398.0000
"SIMSBURY",113355.0000
"SOMERS",95605.0000
"SOUTH WINDSOR",97389.0000
"SOUTHBURY",84058.0000
"SOUTHINGTON",82704.0000
"SPRAGUE",64063.0000
"STAFFORD",62371.0000
"STAMFORD",79359.0000
"STERLING",72220.0000
"STONINGTON",77295.0000
"STRATFORD",66886.0000
"SUFFIELD",99707.0000
"THOMASTON",67191.0000
"THOMPSON",69924.0000
"TOLLAND",110593.0000
"TORRINGTON",56264.0000
"TRUMBULL",111312.0000
"UNION",95865.0000
"VERNON",59961.0000
"VOLUNTOWN",76012.0000
"WALLINGFORD",74060.0000
"WARREN",90865.0000
"WASHINGTON",81354.0000
"WATERBURY",40467.0000
"WATERFORD",75956.0000
"WATERTOWN",78722.0000
"WEST HARTFORD",86569.0000
"WEST HAVEN",50846.0000
"WESTBROOK",78346.0000
"WESTON",217171.0000
"WESTPORT",162907.0000
"WETHERSFIELD",77195.0000
"WILLINGTON",73526.0000
"WILTON",172095.0000
"WINCHESTER",52757.0000
"WINDHAM",41398.0000
"WINDSOR",81982.0000
"WINDSOR LOCKS",68944.0000
"WOLCOTT",80323.0000
"WOODBRIDGE",133412.0000
"WOODBURY",80350.0000
"WOODSTOCK",78594.0000
