MUNICIPALITY,Numbered,2015 Labor Force,2015 Unemployed,2015 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9210000000000000e+03,8.5000000000000000e+01,4.4247787610619468e-02
"ANSONIA",2.0000000000000000e+00,9.4630000000000000e+03,7.5600000000000000e+02,7.9890098277501848e-02
"ASHFORD",3.0000000000000000e+00,2.5300000000000000e+03,1.1400000000000000e+02,4.5059288537549404e-02
"AVON",4.0000000000000000e+00,9.2670000000000000e+03,3.3800000000000000e+02,3.6473508147188950e-02
"BARKHAMSTED",5.0000000000000000e+00,2.2950000000000000e+03,1.0400000000000000e+02,4.5315904139433552e-02
"BEACON FALLS",6.0000000000000000e+00,3.3920000000000000e+03,1.7300000000000000e+02,5.1002358490566037e-02
"BERLIN",7.0000000000000000e+00,1.1660000000000000e+04,5.3800000000000000e+02,4.6140651801029157e-02
"BETHANY",8.0000000000000000e+00,3.0850000000000000e+03,1.3400000000000000e+02,4.3435980551053487e-02
"BETHEL",9.0000000000000000e+00,1.0700000000000000e+04,4.9700000000000000e+02,4.6448598130841123e-02
"BETHLEHEM",1.0000000000000000e+01,1.9550000000000000e+03,8.9000000000000000e+01,4.5524296675191818e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1427000000000000e+04,7.1600000000000000e+02,6.2658615559639447e-02
"BOLTON",1.2000000000000000e+01,3.1370000000000000e+03,1.2200000000000000e+02,3.8890659866114119e-02
"BOZRAH",1.3000000000000000e+01,1.4430000000000000e+03,7.7000000000000000e+01,5.3361053361053359e-02
"BRANFORD",1.4000000000000000e+01,1.5930000000000000e+04,7.9800000000000000e+02,5.0094161958568736e-02
"BRIDGEPORT",1.5000000000000000e+01,7.1198000000000000e+04,6.1870000000000000e+03,8.6898508385066991e-02
"BRIDGEWATER",1.6000000000000000e+01,8.6000000000000000e+02,3.8000000000000000e+01,4.4186046511627906e-02
"BRISTOL",1.7000000000000000e+01,3.2899000000000000e+04,2.1270000000000000e+03,6.4652421046232408e-02
"BROOKFIELD",1.8000000000000000e+01,9.3040000000000000e+03,4.0500000000000000e+02,4.3529664660361136e-02
"BROOKLYN",1.9000000000000000e+01,4.0930000000000000e+03,2.4100000000000000e+02,5.8881016369411190e-02
"BURLINGTON",2.0000000000000000e+01,5.5270000000000000e+03,2.3500000000000000e+02,4.2518545322960018e-02
"CANAAN",2.1000000000000000e+01,7.1300000000000000e+02,2.6000000000000000e+01,3.6465638148667601e-02
"CANTERBURY",2.2000000000000000e+01,2.8530000000000000e+03,1.6600000000000000e+02,5.8184367332632318e-02
"CANTON",2.3000000000000000e+01,5.6170000000000000e+03,2.1800000000000000e+02,3.8810753071034362e-02
"CHAPLIN",2.4000000000000000e+01,1.2460000000000000e+03,7.5000000000000000e+01,6.0192616372391657e-02
"CHESHIRE",2.5000000000000000e+01,1.5394000000000000e+04,5.7800000000000000e+02,3.7547096271274526e-02
"CHESTER",2.6000000000000000e+01,2.3340000000000000e+03,9.0000000000000000e+01,3.8560411311053984e-02
"CLINTON",2.7000000000000000e+01,7.2750000000000000e+03,3.4200000000000000e+02,4.7010309278350516e-02
"COLCHESTER",2.8000000000000000e+01,9.3560000000000000e+03,4.1600000000000000e+02,4.4463445917058572e-02
"COLEBROOK",2.9000000000000000e+01,8.3900000000000000e+02,3.6000000000000000e+01,4.2908224076281289e-02
"COLUMBIA",3.0000000000000000e+01,3.2250000000000000e+03,1.5300000000000000e+02,4.7441860465116281e-02
"CORNWALL",3.1000000000000000e+01,7.6700000000000000e+02,2.7000000000000000e+01,3.5202086049543675e-02
"COVENTRY",3.2000000000000000e+01,7.6860000000000000e+03,3.4300000000000000e+02,4.4626593806921674e-02
"CROMWELL",3.3000000000000000e+01,7.9100000000000000e+03,3.7100000000000000e+02,4.6902654867256637e-02
"DANBURY",3.4000000000000000e+01,4.6733000000000000e+04,2.1420000000000000e+03,4.5834849036013092e-02
"DARIEN",3.5000000000000000e+01,8.5550000000000000e+03,3.6500000000000000e+02,4.2665108123904151e-02
"DEEP RIVER",3.6000000000000000e+01,2.8730000000000000e+03,1.2900000000000000e+02,4.4900800556909155e-02
"DERBY",3.7000000000000000e+01,6.8700000000000000e+03,4.6900000000000000e+02,6.8267831149927224e-02
"DURHAM",3.8000000000000000e+01,4.2910000000000000e+03,1.6400000000000000e+02,3.8219529247261713e-02
"EAST GRANBY",3.9000000000000000e+01,3.0380000000000000e+03,1.1800000000000000e+02,3.8841342988808425e-02
"EAST HADDAM",4.0000000000000000e+01,4.9910000000000000e+03,2.4500000000000000e+02,4.9088359046283309e-02
"EAST HAMPTON",4.1000000000000000e+01,7.5710000000000000e+03,3.2600000000000000e+02,4.3059041077796859e-02
"EAST HARTFORD",4.2000000000000000e+01,2.7408000000000000e+04,1.9930000000000000e+03,7.2715995329830710e-02
"EAST HAVEN",4.3000000000000000e+01,1.5738000000000000e+04,9.8700000000000000e+02,6.2714449104079292e-02
"EAST LYME",4.4000000000000000e+01,8.6130000000000000e+03,4.4600000000000000e+02,5.1782189713224194e-02
"EAST WINDSOR",4.5000000000000000e+01,6.4790000000000000e+03,3.7000000000000000e+02,5.7107578329989195e-02
"EASTFORD",4.6000000000000000e+01,9.3400000000000000e+02,3.7000000000000000e+01,3.9614561027837260e-02
"EASTON",4.7000000000000000e+01,3.8600000000000000e+03,1.5100000000000000e+02,3.9119170984455956e-02
"ELLINGTON",4.8000000000000000e+01,9.0800000000000000e+03,4.2900000000000000e+02,4.7246696035242293e-02
"ENFIELD",4.9000000000000000e+01,2.2983000000000000e+04,1.2470000000000000e+03,5.4257494669973462e-02
"ESSEX",5.0000000000000000e+01,3.3270000000000000e+03,1.5800000000000000e+02,4.7490231439735499e-02
"FAIRFIELD",5.1000000000000000e+01,2.9028000000000000e+04,1.3550000000000000e+03,4.6679068485600113e-02
"FARMINGTON",5.2000000000000000e+01,1.3939000000000000e+04,5.4200000000000000e+02,3.8883707583040390e-02
"FRANKLIN",5.3000000000000000e+01,1.0800000000000000e+03,5.7000000000000000e+01,5.2777777777777778e-02
"GLASTONBURY",5.4000000000000000e+01,1.8733000000000000e+04,7.0400000000000000e+02,3.7580739870816206e-02
"GOSHEN",5.5000000000000000e+01,1.6560000000000000e+03,7.6000000000000000e+01,4.5893719806763288e-02
"GRANBY",5.6000000000000000e+01,6.6790000000000000e+03,2.6400000000000000e+02,3.9526875280730650e-02
"GREENWICH",5.7000000000000000e+01,2.8665000000000000e+04,1.1610000000000000e+03,4.0502354788069073e-02
