Municipality,November 2015 Labor Force,November 2015 Unemployed,November 2015 Unemp Rate
"Andover",1.9190000000000000e+03,7.4000000000000000e+01,3.8561750911933299e-02
"Ansonia",9.4450000000000000e+03,6.9000000000000000e+02,7.3054526204340928e-02
"Ashford",2.5140000000000000e+03,9.6000000000000000e+01,3.8186157517899763e-02
"Avon ",9.2780000000000000e+03,3.0100000000000000e+02,3.2442336710497954e-02
"Barkhamsted",2.2940000000000000e+03,9.1000000000000000e+01,3.9668700959023542e-02
"Beacon Falls ",3.3770000000000000e+03,1.4200000000000000e+02,4.2049156055670715e-02
"Berlin ",1.1644000000000000e+04,4.6300000000000000e+02,3.9762968052215734e-02
"Bethany",3.0820000000000000e+03,1.1600000000000000e+02,3.7637897469175861e-02
"Bethel",1.0640000000000000e+04,4.3400000000000000e+02,4.0789473684210528e-02
"Bethlehem",1.9260000000000000e+03,7.2000000000000000e+01,3.7383177570093455e-02
"Bloomfield",1.1391000000000000e+04,6.1800000000000000e+02,5.4253357914142743e-02
"Bolton",3.1360000000000000e+03,1.0800000000000000e+02,3.4438775510204078e-02
"Bozrah ",1.4360000000000000e+03,6.5000000000000000e+01,4.5264623955431751e-02
"Branford ",1.5954000000000000e+04,7.2000000000000000e+02,4.5129748025573527e-02
"Bridgeport ",7.0767000000000000e+04,5.4800000000000000e+03,7.7437223564655849e-02
"Bridgewater",8.5100000000000000e+02,3.2000000000000000e+01,3.7602820211515862e-02
"Bristol ",3.2903000000000000e+04,1.9160000000000000e+03,5.8231772178828675e-02
"Brookfield",9.2710000000000000e+03,3.6700000000000000e+02,3.9585805199007659e-02
"Brooklyn",4.0560000000000000e+03,2.0500000000000000e+02,5.0542406311637082e-02
"Burlington ",5.5250000000000000e+03,2.1500000000000000e+02,3.8914027149321267e-02
"Canaan",6.9000000000000000e+02,1.7000000000000000e+01,2.4637681159420291e-02
"Canterbury",2.8360000000000000e+03,1.4100000000000000e+02,4.9717912552891395e-02
"Canton",5.6110000000000000e+03,1.9600000000000000e+02,3.4931384779896629e-02
"Chaplin ",1.2310000000000000e+03,6.3000000000000000e+01,5.1177904142973192e-02
"Cheshire",1.5357000000000000e+04,5.1100000000000000e+02,3.3274728137005924e-02
"Chester ",2.3260000000000000e+03,7.4000000000000000e+01,3.1814273430782462e-02
"Clinton ",7.2550000000000000e+03,2.9900000000000000e+02,4.1212956581667813e-02
"Colchester",9.3590000000000000e+03,3.6300000000000000e+02,3.8786195106314779e-02
"Colebrook ",8.3200000000000000e+02,3.5000000000000000e+01,4.2067307692307696e-02
"Columbia",3.2070000000000000e+03,1.2600000000000000e+02,3.9289055191768008e-02
"Cornwall",7.5400000000000000e+02,2.4000000000000000e+01,3.1830238726790451e-02
"Coventry ",7.6690000000000000e+03,3.0100000000000000e+02,3.9248924240448561e-02
"Cromwell",7.9250000000000000e+03,3.3700000000000000e+02,4.2523659305993694e-02
"Danbury ",4.6370000000000000e+04,1.8460000000000000e+03,3.9810222126374813e-02
"Darien ",8.5560000000000000e+03,3.4300000000000000e+02,4.0088826554464704e-02
"Deep River ",2.8580000000000000e+03,1.1200000000000000e+02,3.9188243526941918e-02
"Derby ",6.8680000000000000e+03,4.2200000000000000e+02,6.1444379732090854e-02
"Durham",4.2920000000000000e+03,1.4400000000000000e+02,3.3550792171481825e-02
"East Granby ",3.0400000000000000e+03,1.0400000000000000e+02,3.4210526315789476e-02
"East Haddam ",4.9840000000000000e+03,2.1900000000000000e+02,4.3940609951845906e-02
"East Hampton",7.5870000000000000e+03,2.9800000000000000e+02,3.9277711875576646e-02
"East Hartford ",2.7350000000000000e+04,1.7450000000000000e+03,6.3802559414990856e-02
"East Haven ",1.5735000000000000e+04,8.8400000000000000e+02,5.6180489354941215e-02
"East Lyme ",8.5960000000000000e+03,4.1100000000000000e+02,4.7812936249418334e-02
"East Windsor ",6.4540000000000000e+03,3.1600000000000000e+02,4.8961884102881936e-02
"Eastford ",9.2100000000000000e+02,2.8000000000000000e+01,3.0401737242128121e-02
"Easton  ",3.8530000000000000e+03,1.3900000000000000e+02,3.6075785102517521e-02
"Ellington ",9.0610000000000000e+03,3.6300000000000000e+02,4.0061803332965454e-02
"Enfield ",2.2908000000000000e+04,1.0840000000000000e+03,4.7319713637157326e-02
"Essex ",3.3120000000000000e+03,1.3900000000000000e+02,4.1968599033816424e-02
"Fairfield ",2.8993000000000000e+04,1.2550000000000000e+03,4.3286310488738662e-02
"Farmington ",1.3948000000000000e+04,4.8300000000000000e+02,3.4628620590765699e-02
"Franklin ",1.0620000000000000e+03,4.4000000000000000e+01,4.1431261770244823e-02
"Glastonbury",1.8733000000000000e+04,6.3400000000000000e+02,3.3844018576843007e-02
"Goshen",1.6210000000000000e+03,6.3000000000000000e+01,3.8864898210980874e-02
"Granby",6.6680000000000000e+03,2.2300000000000000e+02,3.3443311337732456e-02
"Greenwich",2.8608000000000000e+04,1.0650000000000000e+03,3.7227348993288591e-02
"Griswold ",6.3300000000000000e+03,4.0600000000000000e+02,6.4139020537124808e-02
"Groton ",1.8478000000000000e+04,8.6000000000000000e+02,4.6541833531767510e-02
