MUNICIPALITY,Numbered,2014 Labor Force,2014 Unemployed,2014 Unemp Rate,2013 Labor Force,2013 Unemployed,2013 Unemp Rate,2012 Labor Force,2012 Unemployed,2012 Unemp Rate,2011 Labor Force,2011 Unemployed,2011 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9230000000000000e+03,1.0700000000000000e+02,5.5642225689027561e-02,1.8970000000000000e+03,1.2100000000000000e+02,6.3784923563521348e-02,1.9100000000000000e+03,1.2600000000000000e+02,6.5968586387434552e-02,1.9450000000000000e+03,1.3300000000000000e+02,6.8380462724935739e-02
"ANSONIA",2.0000000000000000e+00,9.4690000000000000e+03,8.7900000000000000e+02,9.2829232231492240e-02,9.5340000000000000e+03,1.0390000000000000e+03,1.0897839311936228e-01,9.7120000000000000e+03,1.1180000000000000e+03,1.1511532125205931e-01,9.8660000000000000e+03,1.1600000000000000e+03,1.1757551185890938e-01
"ASHFORD",3.0000000000000000e+00,2.5220000000000000e+03,1.3800000000000000e+02,5.4718477398889770e-02,2.5080000000000000e+03,1.7100000000000000e+02,6.8181818181818177e-02,2.5480000000000000e+03,1.9600000000000000e+02,7.6923076923076927e-02,2.5840000000000000e+03,2.0000000000000000e+02,7.7399380804953566e-02
"AVON",4.0000000000000000e+00,9.2310000000000000e+03,4.0000000000000000e+02,4.3332250027082658e-02,9.0790000000000000e+03,4.5400000000000000e+02,5.0005507214450934e-02,9.1160000000000000e+03,4.9400000000000000e+02,5.4190434401053096e-02,9.1700000000000000e+03,5.1700000000000000e+02,5.6379498364231187e-02
"BARKHAMSTED",5.0000000000000000e+00,2.2880000000000000e+03,1.2100000000000000e+02,5.2884615384615384e-02,2.2890000000000000e+03,1.4700000000000000e+02,6.4220183486238536e-02,2.3290000000000000e+03,1.7700000000000000e+02,7.5998282524688709e-02,2.3820000000000000e+03,1.9400000000000000e+02,8.1444164567590266e-02
"BEACON FALLS",6.0000000000000000e+00,3.4140000000000000e+03,2.0600000000000000e+02,6.0339777387229059e-02,3.3600000000000000e+03,2.1600000000000000e+02,6.4285714285714279e-02,3.3960000000000000e+03,2.5100000000000000e+02,7.3910482921083626e-02,3.4480000000000000e+03,2.8700000000000000e+02,8.3236658932714619e-02
"BERLIN",7.0000000000000000e+00,1.1603000000000000e+04,6.0700000000000000e+02,5.2314056709471687e-02,1.1430000000000000e+04,6.8500000000000000e+02,5.9930008748906388e-02,1.1482000000000000e+04,7.6900000000000000e+02,6.6974394704755275e-02,1.1502000000000000e+04,8.5100000000000000e+02,7.3987132672578684e-02
"BETHANY",8.0000000000000000e+00,3.0850000000000000e+03,1.6400000000000000e+02,5.3160453808752027e-02,3.0320000000000000e+03,1.7100000000000000e+02,5.6398416886543533e-02,3.0540000000000000e+03,1.8700000000000000e+02,6.1231172233136871e-02,3.0940000000000000e+03,2.1200000000000000e+02,6.8519715578539114e-02
"BETHEL",9.0000000000000000e+00,1.0650000000000000e+04,5.7600000000000000e+02,5.4084507042253524e-02,1.0473000000000000e+04,6.7900000000000000e+02,6.4833381075145607e-02,1.0506000000000000e+04,7.2800000000000000e+02,6.9293736912240625e-02,1.0537000000000000e+04,7.7500000000000000e+02,7.3550346398405617e-02
"BETHLEHEM",1.0000000000000000e+01,1.9530000000000000e+03,1.0600000000000000e+02,5.4275473630312342e-02,1.9360000000000000e+03,1.1100000000000000e+02,5.7334710743801656e-02,1.9650000000000000e+03,1.2700000000000000e+02,6.4631043256997450e-02,2.0020000000000000e+03,1.4100000000000000e+02,7.0429570429570432e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1413000000000000e+04,8.1800000000000000e+02,7.1672653991062818e-02,1.1239000000000000e+04,9.4400000000000000e+02,8.3993237832547377e-02,1.1324000000000000e+04,1.0190000000000000e+03,8.9985870717061114e-02,1.1418000000000000e+04,1.0620000000000000e+03,9.3011035207566997e-02
"BOLTON",1.2000000000000000e+01,3.1200000000000000e+03,1.3900000000000000e+02,4.4551282051282053e-02,3.0800000000000000e+03,1.6800000000000000e+02,5.4545454545454543e-02,3.1090000000000000e+03,1.7700000000000000e+02,5.6931489224831135e-02,3.1680000000000000e+03,1.9900000000000000e+02,6.2815656565656561e-02
"BOZRAH",1.3000000000000000e+01,1.4530000000000000e+03,9.6000000000000000e+01,6.6070199587061257e-02,1.4650000000000000e+03,1.1100000000000000e+02,7.5767918088737202e-02,1.4860000000000000e+03,1.1800000000000000e+02,7.9407806191117092e-02,1.5080000000000000e+03,1.1100000000000000e+02,7.3607427055702918e-02
"BRANFORD",1.4000000000000000e+01,1.5902000000000000e+04,9.0800000000000000e+02,5.7099735882278957e-02,1.5602000000000000e+04,1.0430000000000000e+03,6.6850403794385338e-02,1.5743000000000000e+04,1.1790000000000000e+03,7.4890427491583561e-02,1.5890000000000000e+04,1.2750000000000000e+03,8.0239144115796093e-02
