Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1,"T",7961780.0000,8047795.0000,8072461.0000,8197875.0000
"ANSONIA",2,"NH",33459632.0000,34636255.0000,34550431.0000,36939951.0000
"ASHFORD",3,"W",9391615.0000,9591686.0000,9505625.0000,10205873.0000
"AVON",4,"H",72412296.0000,72652069.0000,72495850.0000,72850585.0000
"BARKHAMSTED",5,"L",9105847.0000,9335667.0000,9265559.0000,10006638.0000
"BEACON FALLS",6,"NH",14932579.0000,15358614.0000,15457733.0000,16589154.0000
"BERLIN",7,"H",62864950.0000,63580282.0000,63364914.0000,65195786.0000
"BETHANY",8,"NH",18460313.0000,18720483.0000,18689535.0000,19138800.0000
"BETHEL",9,"F",58971929.0000,59743962.0000,59633414.0000,60607798.0000
"BETHLEHEM",10,"L",7966966.0000,8164913.0000,8085047.0000,8705715.0000
"BLOOMFIELD",11,"H",71234985.0000,72246279.0000,71985888.0000,73699635.0000
"BOLTON",12,"T",15032264.0000,15144307.0000,15147306.0000,15295778.0000
"BOZRAH",13,"NL",5694949.0000,5845793.0000,5782162.0000,6210820.0000
"BRANFORD",14,"NH",91127049.0000,92508065.0000,92320789.0000,95647885.0000
"BRIDGEPORT",15,"F",291238982.0000,296309866.0000,293925589.0000,341471864.0000
"BRIDGEWATER",16,"L",6671259.0000,6692876.0000,6683659.0000,6713832.0000
"BRISTOL",17,"H",131874000.0000,134358000.0000,133389000.0000,137074000.0000
"BROOKFIELD",18,"F",56197701.0000,56741871.0000,56601661.0000,57590265.0000
"BROOKLYN",19,"W",12719935.0000,12930089.0000,12859489.0000,13214890.0000
"BURLINGTON",20,"H",26355877.0000,26632546.0000,26597793.0000,27194095.0000
"CANAAN",21,"L",3771908.0000,3876752.0000,3845690.0000,3988320.0000
"CANTERBURY",22,"W",8257891.0000,8407618.0000,8468107.0000,8770485.0000
"CANTON",23,"H",30984208.0000,31280112.0000,31359894.0000,32181396.0000
"CHAPLIN",24,"W",5172399.0000,5261336.0000,5299528.0000,5427138.0000
"CHESHIRE",25,"NH",81446709.0000,81616162.0000,81568103.0000,81792699.0000
"CHESTER",26,"M",10800076.0000,10815903.0000,10907324.0000,11034631.0000
"CLINTON",27,"M",39069648.0000,39363348.0000,39323191.0000,40152418.0000
"COLCHESTER",28,"NL",36333194.0000,36891618.0000,36865397.0000,38339338.0000
"COLEBROOK",29,"L",5101396.0000,5215130.0000,5163335.0000,5343979.0000
"COLUMBIA",30,"T",12515609.0000,12657031.0000,12627250.0000,12845143.0000
"CORNWALL",31,"L",5789468.0000,5932149.0000,5826633.0000,6253881.0000
"COVENTRY",32,"T",28117198.0000,28619285.0000,28377133.0000,29448144.0000
"CROMWELL",33,"M",39627823.0000,39984365.0000,39842928.0000,40367895.0000
"DANBURY",34,"F",186199217.0000,188954885.0000,189247771.0000,196470394.0000
"DARIEN",35,"F",123136015.0000,123644319.0000,124087954.0000,125005350.0000
"DEEP RIVER",36,"M",12574759.0000,12773007.0000,12823459.0000,13189593.0000
"DERBY",37,"NH",26093087.0000,26701973.0000,27418863.0000,28773762.0000
"DURHAM",38,"M",24405930.0000,24675940.0000,24683152.0000,25253312.0000
"EAST GRANBY",39,"H",16991969.0000,17243323.0000,17162539.0000,17623044.0000
"EAST HADDAM",40,"M",23379316.0000,23667569.0000,23679456.0000,24167503.0000
"EAST HAMPTON",41,"M",30345144.0000,30951102.0000,30864391.0000,32521173.0000
"EAST HARTFORD",42,"H",118320000.0000,121245000.0000,119407000.0000,123582000.0000
"EAST HAVEN",43,"NH",61458442.0000,62880229.0000,62399321.0000,65652928.0000
"EAST LYME",44,"NL",48806352.0000,49542790.0000,49581779.0000,51208207.0000
"EAST WINDSOR",45,"H",28059091.0000,28444386.0000,28542117.0000,29683251.0000
"EASTFORD",46,"W",3434707.0000,3507577.0000,3553493.0000,3692174.0000
"EASTON",47,"F",39015384.0000,39556949.0000,39463546.0000,40926824.0000
"ELLINGTON",48,"T",36992464.0000,37320835.0000,37433297.0000,38333050.0000
"ENFIELD",49,"H",81517000.0000,83183000.0000,83245000.0000,88311000.0000
"ESSEX",50,"M",21392865.0000,21660411.0000,21604742.0000,22104211.0000
"FAIRFIELD",51,"F",259688000.0000,263352000.0000,262289000.0000,269118000.0000
"FARMINGTON",52,"H",85189506.0000,85500544.0000,85378979.0000,85933422.0000
"FRANKLIN",53,"NL",4619691.0000,4691155.0000,4671136.0000,4764418.0000
"GLASTONBURY",54,"H",135894306.0000,136682891.0000,136374426.0000,137510468.0000
"GOSHEN",55,"L",9959014.0000,10012673.0000,10059691.0000,10160977.0000
"GRANBY",56,"H",33636733.0000,33968158.0000,33846668.0000,34455690.0000
"GREENWICH",57,"F",334539975.0000,337402140.0000,338084743.0000,344849158.0000
"GRISWOLD",58,"NL",17871418.0000,18353729.0000,18207401.0000,19239406.0000
"GROTON",59,"NL",76900430.0000,78060622.0000,77863515.0000,80161255.0000
"GROTON (City of)",60,,6160646.0000,6216893.0000,6197679.0000,6269139.0000
"GUILFORD",61,"NH",79373822.0000,79780293.0000,79679737.0000,80206174.0000
"HADDAM",62,"M",27265986.0000,27531502.0000,27533587.0000,28648884.0000
"HAMDEN",63,"NH",158039401.0000,160274044.0000,159874496.0000,164549814.0000
"HAMPTON",64,"W",3658958.0000,3706953.0000,3692354.0000,3769927.0000
"HARTFORD",65,"H",243521000.0000,253546000.0000,249707000.0000,293512000.0000
"HARTLAND",66,"H",4779329.0000,4840263.0000,4818827.0000,4975662.0000
"HARWINTON",67,"L",14330249.0000,14381702.0000,14396754.0000,14513173.0000
"HEBRON",68,"T",27598938.0000,28045844.0000,27878906.0000,29109524.0000
"KENT",69,"L",9939265.0000,10055555.0000,10020973.0000,10326284.0000
"KILLINGLY",70,"W",30824017.0000,31596382.0000,31432953.0000,32824157.0000
"KILLINGWORTH",71,"M",17521592.0000,17639742.0000,17622782.0000,17782271.0000
"LEBANON",72,"NL",16364808.0000,16712027.0000,16657640.0000,17192456.0000
"LEDYARD",73,"NL",32784407.0000,33183288.0000,33047766.0000,33691824.0000
"LISBON",74,"NL",7093532.0000,7228592.0000,7179053.0000,7398232.0000
"LITCHFIELD",75,"L",25611000.0000,25906000.0000,25907000.0000,26447000.0000
"LYME",76,"NL",8615124.0000,8694963.0000,8676580.0000,8895127.0000
"MADISON",77,"NH",71381525.0000,71781400.0000,71605782.0000,72486972.0000
"MANCHESTER",78,"H",133806000.0000,136376000.0000,136161000.0000,141540000.0000
